sample_index,defect_type,true_area_bin,true_area,pred_area,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,area_relation,max_abs_bz,peak_to_peak_bz,mean_abs_bz,std_bz,l2_energy_bz,signal_snr,num_defects,num_vertices,complexity_level
0,rotated_rect,large,12.821701456477996,6.989502337913777,0.4634420697412823,0.633358954650269,0.45486935866983375,0.6125524044036865,0,1,0,pred_area_lt_true,8.726391792297363,14.303486824035645,2.6429093012679368,2.9623889123292657,2239.6495998027794,nan,1.0,nan,2.0
1,polygon,small,3.091217809578424,4.613985203459421,0.11699779249448124,0.20948616600790515,0.49261083743842365,1.3912712335586548,0,0,1,pred_area_gt_true,6.08453893661499,9.286437273025513,2.049067791067064,1.8765476162035473,1190.6056505347146,nan,1.0,5.0,2.0
2,multi_defect,small,7.019957685791397,3.8982845283353527,0.5553145336225597,0.7140864714086471,0.44468546637744033,0.20385627448558807,0,1,0,pred_area_lt_true,7.990758895874023,13.096033573150635,2.289216689839959,2.708052376324984,1814.0443582394616,nan,2.0,nan,3.0
3,multi_defect,large,21.57761397129373,7.6899753390990355,0.21415034744156664,0.35275754422476585,0.6436132674664785,3.491194248199463,0,1,0,pred_area_lt_true,7.529473304748535,13.199891090393066,2.857657526880503,3.2109719294958223,2504.930582667193,nan,3.0,nan,3.0
4,rotated_rect,medium,11.100974301392469,8.695001819060494,0.24045801526717558,0.38769230769230767,0.2167352537722908,1.7348198890686035,0,1,0,pred_area_lt_true,11.381318092346191,20.373549461364746,3.477235519294627,4.206071114059558,4073.1970913210994,nan,1.0,nan,2.0
5,rotated_rect,large,11.923268694088208,9.121376689347173,0.38615847542627885,0.557163531114327,0.23499361430395913,1.1394240856170654,0,1,0,pred_area_lt_true,13.777337074279785,24.53269100189209,3.6757762829121203,5.086127918488016,5497.050963453416,nan,1.0,nan,2.0
6,polygon,small,5.786516096747789,0.0,0.0,0.0,1.0,nan,1,1,0,zero,4.9213995933532715,6.937464475631714,1.7076744452118873,1.3445675671819477,793.8026663024348,nan,1.0,6.0,2.0
7,polygon,large,15.85200857030118,10.78119314867746,0.2020618556701031,0.3361921097770154,0.31988472622478387,2.0978219509124756,0,1,0,pred_area_lt_true,16.825197219848633,30.941149711608887,4.909976701363921,6.385315547279529,8713.253064452494,nan,1.0,9.0,2.0
8,polygon,small,5.3449135525223,4.735806594969901,0.1800356506238859,0.30513595166163143,0.11396011396011396,1.5227617025375366,0,1,0,pred_area_lt_true,9.147215843200684,14.993767261505127,2.4690789756784217,3.001656341242178,2169.741955383845,nan,1.0,8.0,2.0
9,rotated_rect,medium,8.588408101488824,5.17740913919539,0.4795417348608838,0.6482300884955752,0.3971631205673759,0.9578953385353088,0,1,0,pred_area_lt_true,8.918783187866211,15.071222305297852,2.6834381873346866,3.127491832158896,2390.519701609942,nan,1.0,nan,2.0
10,rotated_rect,small,7.446332556078076,8.238171600896194,0.7697594501718213,0.8699029126213592,0.10633946830265849,0.14378350973129272,0,0,1,pred_area_gt_true,10.143938064575195,17.26621437072754,3.0062880421290172,3.551701534123994,3016.171129785367,nan,1.0,nan,2.0
11,rotated_rect,small,7.431104882139266,6.806770250648057,0.2238219895287958,0.3657754010695187,0.08401639344262295,1.5821125507354736,0,1,0,pred_area_lt_true,7.785528659820557,12.516802787780762,2.428950283844024,2.607474538904231,1831.5480327864666,nan,1.0,nan,2.0
12,polygon,large,12.669424717089896,6.882908620342107,0.284,0.4423676012461059,0.4567307692307692,1.511512279510498,0,1,0,pred_area_lt_true,8.281722068786621,13.653049945831299,2.563303037798032,2.828027338721948,2085.2553830305224,nan,1.0,9.0,2.0
13,rotated_rect,medium,9.227970406918843,6.6544935112599575,0.1812004530011325,0.3068072866730585,0.27887788778877887,1.7708593606948853,0,1,0,pred_area_lt_true,9.668734550476074,16.53710412979126,2.762547114007175,3.399703637840801,2718.2107766205727,nan,1.0,nan,2.0
14,rotated_rect,medium,9.106149015408363,8.588408101488824,0.5514018691588785,0.7108433734939759,0.056856187290969896,0.7909207940101624,0,1,0,pred_area_lt_true,11.31285285949707,19.15369176864624,3.2468802027916537,3.9231127311303964,3588.653429298273,nan,1.0,nan,2.0
15,polygon,large,11.770991954700108,11.801447302577728,0.5449101796407185,0.7054263565891473,0.00258732212160414,0.6989573240280151,0,0,1,pred_area_gt_true,18.9112606048584,34.982927322387695,5.35442322390154,7.281975385597808,11066.606299626626,nan,1.0,9.0,2.0
16,polygon,large,15.62359346121903,13.765817240684214,0.6566523605150214,0.7927461139896373,0.1189083820662768,0.37856659293174744,0,1,0,pred_area_lt_true,23.80953598022461,44.53623008728027,6.676761015481316,9.268757993404826,17619.5722561879,nan,1.0,8.0,2.0
17,rotated_rect,medium,8.177260905140955,5.31445820464468,0.23743016759776536,0.3837471783295711,0.3500931098696462,1.2761794328689575,0,1,0,pred_area_lt_true,6.949221611022949,10.554506540298462,2.181469876542687,2.157958480809001,1424.4587098671527,nan,1.0,nan,2.0
18,rotated_rect,medium,9.837077364471241,8.238171600896194,0.3488636363636364,0.5172704296545914,0.16253869969040247,1.4202560186386108,0,1,0,pred_area_lt_true,13.144657135009766,23.389809608459473,3.7240952411666512,4.851988934680381,5158.021494700401,nan,1.0,nan,2.0
19,multi_defect,large,13.796272588561834,11.146657323208899,0.18352601156069365,0.31013431013431014,0.19205298013245034,1.9420655965805054,0,1,0,pred_area_lt_true,18.198442459106445,30.1102876663208,4.902723318287172,6.6084656976036,9077.575804929802,nan,2.0,nan,3.0
20,multi_defect,small,5.832199118564219,8.405676014223104,0.17462311557788945,0.29732620320855613,0.4412532637075718,0.5314587354660034,0,0,1,pred_area_gt_true,6.00211763381958,8.983803272247314,2.2829576415498742,2.404071577454492,1581.7178220232167,nan,2.0,nan,3.0
21,rotated_rect,small,5.954020510074699,7.400649534261646,0.2728592162554427,0.42873432155074115,0.24296675191815856,1.475480318069458,0,0,1,pred_area_gt_true,9.2296142578125,15.577425956726074,2.7551266081258654,3.202071513081885,2517.695146669736,nan,1.0,nan,2.0
22,polygon,medium,8.283854622712624,6.6392658373211475,0.18500604594921402,0.3122448979591837,0.19852941176470587,1.4950510263442993,0,1,0,pred_area_lt_true,6.419785022735596,9.850982666015625,2.1751291997358204,1.9764990155089166,1315.592145710517,nan,1.0,9.0,2.0
23,rotated_rect,medium,10.87255919231032,11.847130324394158,0.7328687572590011,0.8458445040214477,0.0896358543417367,0.1997721940279007,0,0,1,pred_area_gt_true,15.412572860717773,27.51907444000244,4.669117526710034,5.679933397908981,7196.19994164255,nan,1.0,nan,2.0
24,rotated_rect,medium,10.73551012686103,7.096096055485447,0.18522267206477733,0.3125533731853117,0.33900709219858155,1.8562618494033813,0,1,0,pred_area_lt_true,9.64412784576416,16.344894886016846,2.8116937700286506,3.3665585260072564,2711.7930574027837,nan,1.0,nan,2.0
25,polygon,small,6.380395380361378,2.3298341126379256,0.3,0.46153846153846156,0.6348448687350835,0.5934499502182007,0,1,0,pred_area_lt_true,9.977982521057129,16.862183570861816,2.6538511108979583,3.4693588394131534,2725.307703428169,nan,1.0,8.0,2.0
