sample_index,defect_type,true_area_bin,true_area,pred_area,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,area_relation,max_abs_bz,peak_to_peak_bz,mean_abs_bz,std_bz,l2_energy_bz,signal_snr,num_defects,num_vertices,complexity_level
26,multi_defect,large,13.156710283131815,6.410850728238998,0.19202226345083487,0.32217898832684827,0.5127314814814815,0.07838549464941025,0,1,0,pred_area_lt_true,6.8546552658081055,11.915005683898926,2.464379687793553,2.5435007203336104,1785.458457739695,nan,2.0,nan,3.0
27,multi_defect,large,13.674451197051354,15.242901612748781,0.34776437189496096,0.516061084781464,0.11469933184855234,0.631078839302063,0,0,1,pred_area_gt_true,11.68155288696289,21.308578491210938,4.8503428522124885,5.656849982642637,6835.361920075303,nan,3.0,nan,3.0
28,polygon,small,3.8373738325801128,0.0,0.0,0.0,1.0,nan,1,1,0,zero,4.168682098388672,5.124829411506653,1.639540263444651,0.9767474846005472,680.9833268622439,nan,1.0,7.0,2.0
29,polygon,small,7.552926273649746,6.928591642158537,0.413075780089153,0.5846477392218717,0.08266129032258064,0.6631643176078796,0,1,0,pred_area_lt_true,9.780794143676758,16.343680381774902,2.7197281839326024,3.3634270564634967,2656.8800022403275,nan,1.0,6.0,2.0
30,polygon,medium,9.243198080857653,6.273801662789708,0.2849936948297604,0.4435721295387635,0.3212520593080725,1.1380740404129028,0,1,0,pred_area_lt_true,8.343037605285645,13.703850746154785,2.553967271737638,2.8567545402474432,2096.8241107193985,nan,1.0,7.0,2.0
31,multi_defect,medium,9.136604363285983,8.390448340284294,0.41748768472906406,0.5890529973935708,0.08166666666666667,0.5041595697402954,0,1,0,pred_area_lt_true,11.660465240478516,20.440800666809082,3.3680005592294036,4.2705704434433365,4081.081746099203,nan,2.0,nan,3.0
32,polygon,small,2.8323473526186547,0.7918390448181185,0.0,0.0,0.7204301075268817,2.3234639167785645,0,1,0,pred_area_lt_true,4.586025714874268,6.596343755722046,1.714568346682936,1.2445517881812587,776.2997019259454,nan,1.0,6.0,2.0
33,polygon,small,4.857627986480381,4.842400312541571,0.2894736842105263,0.4489795918367347,0.003134796238244514,1.2050095796585083,0,1,0,pred_area_lt_true,8.151005744934082,13.483505249023438,2.3494668384455144,2.7028191656272336,1863.3591010610064,nan,1.0,5.0,2.0
34,rotated_rect,medium,9.745711320838382,4.355114746499652,0.2914923291492329,0.4514038876889849,0.553125,1.2495543956756592,0,1,0,pred_area_lt_true,7.875034332275391,13.011510848999023,2.4083856866322457,2.6558171145115654,1860.9144849082693,nan,1.0,nan,2.0
35,rotated_rect,large,11.801447302577728,8.390448340284294,0.3286573146292585,0.4947209653092006,0.28903225806451616,1.4704091548919678,0,1,0,pred_area_lt_true,12.852678298950195,22.606818199157715,3.545733149170992,4.676579515298816,4771.630255829105,nan,1.0,nan,2.0
36,rotated_rect,medium,8.512269731794774,10.46141199596245,0.5478260869565217,0.7078651685393258,0.22898032200357782,0.7272887825965881,0,0,1,pred_area_gt_true,12.649730682373047,22.335888862609863,3.924355234950781,4.588263853781187,4875.6605195864,nan,1.0,nan,2.0
37,polygon,small,2.116646677494586,0.0,0.0,0.0,1.0,nan,1,1,0,zero,4.122244358062744,5.164390206336975,1.6058448812179267,1.0458677549778874,668.5088366992306,nan,1.0,5.0,2.0
38,polygon,small,5.801743770686599,4.339887072560842,0.058823529411764705,0.1111111111111111,0.25196850393700787,1.7436506748199463,0,1,0,pred_area_lt_true,8.781417846679688,14.615764617919922,2.563563650706783,3.1116226037250647,2322.790112618349,nan,1.0,7.0,2.0
39,multi_defect,large,16.87226272420145,2.4821108520260253,0.10138648180242635,0.1841070023603462,0.8528880866425993,2.926629066467285,0,1,0,pred_area_lt_true,6.56687593460083,9.133135795593262,2.238863180698827,2.187265867963727,1463.6890309802288,nan,3.0,nan,3.0
40,multi_defect,large,18.851860336246745,8.420903688161914,0.14587332053742802,0.254606365159129,0.5533117932148627,3.540236711502075,0,1,0,pred_area_lt_true,16.623695373535156,28.690296173095703,4.791307157655247,6.149970859798036,8007.4799692404185,nan,3.0,nan,3.0
41,multi_defect,large,21.9887611676416,11.146657323208899,0.42036553524804177,0.5919117647058824,0.4930747922437673,3.532829523086548,0,1,0,pred_area_lt_true,15.52670955657959,28.544920921325684,4.740893328506499,6.055743663898462,7824.87327679091,nan,3.0,nan,3.0
42,multi_defect,medium,8.892961580265023,3.3348605925993837,0.22408536585365854,0.36612702366127026,0.625,2.1217219829559326,0,1,0,pred_area_lt_true,8.165380477905273,12.155877590179443,2.271829726214346,2.581543636382585,1754.3280037372767,nan,2.0,nan,3.0
43,multi_defect,large,24.851563868137873,9.700028299021952,0.3055235903337169,0.46804759806081975,0.6096813725490197,1.0429233312606812,0,1,0,pred_area_lt_true,17.02390480041504,33.18008995056152,6.578824800252915,7.686062132484146,12593.982876393566,nan,3.0,nan,3.0
44,polygon,small,4.720578921031091,6.289029336728518,0.2573913043478261,0.4094052558782849,0.33225806451612905,0.5890337228775024,0,0,1,pred_area_gt_true,8.010808944702148,13.130056858062744,2.4693950353562832,2.695179991351862,1917.0283556943077,nan,1.0,7.0,2.0
45,rotated_rect,small,7.1570067512406865,9.288881102674083,0.41361256544502617,0.5851851851851851,0.2978723404255319,1.1324418783187866,0,0,1,pred_area_gt_true,9.960505485534668,16.51273202896118,2.9991827173903585,3.3272234964231044,2794.2654569934275,nan,1.0,nan,2.0
46,polygon,small,2.740981308985795,3.5328203538039133,0.32903225806451614,0.49514563106796117,0.28888888888888886,0.20080123841762543,0,0,1,pred_area_gt_true,5.108976364135742,6.84670102596283,1.8011912090936675,1.333299729171497,851.5232716878638,nan,1.0,7.0,2.0
47,polygon,small,7.1570067512406865,7.1722344251794965,0.6168384879725086,0.7630180658873539,0.002127659574468085,0.26452207565307617,0,0,1,pred_area_gt_true,9.666213989257812,16.30570411682129,2.710189786918927,3.307435432668294,2592.9501540204915,nan,1.0,9.0,2.0
48,multi_defect,large,17.892516878101716,12.562830999518226,0.3140604467805519,0.478,0.2978723404255319,1.4738051891326904,0,1,0,pred_area_lt_true,14.736664772033691,28.76325798034668,5.348820309713483,7.005984375103708,10142.619520112581,nan,3.0,nan,3.0
49,multi_defect,large,11.968951715904637,10.21776921294149,0.42424242424242425,0.5957446808510638,0.14631043256997456,1.0187815427780151,0,1,0,pred_area_lt_true,12.650872230529785,21.834596633911133,3.515847869059071,4.689594958021024,4755.10323579081,nan,2.0,nan,3.0
50,multi_defect,large,12.760790760722756,7.385421860322836,0.4522502744237102,0.6228269085411943,0.4212410501193317,0.6761578321456909,0,1,0,pred_area_lt_true,11.649975776672363,20.379693031311035,3.3420655320584776,4.235362486102866,4032.752815698039,nan,2.0,nan,3.0
51,polygon,small,7.370194186384026,7.080868381546637,0.48513302034428796,0.6533192834562698,0.03925619834710744,0.2167697697877884,0,1,0,pred_area_lt_true,7.689746379852295,12.604535579681396,2.440077773164958,2.506419756096969,1782.4813226790002,nan,1.0,8.0,2.0
52,rotated_rect,small,4.416025442254892,0.12182139151047977,0.024054982817869417,0.04697986577181208,0.9724137931034482,0.7834432125091553,0,1,0,pred_area_lt_true,5.351691722869873,7.794585227966309,1.8146717061288655,1.5305775153271708,919.4789849851343,nan,1.0,nan,2.0
53,polygon,large,13.902866306133504,8.999555297836693,0.4905847373637265,0.6582446808510638,0.35268346111719606,0.18679191172122955,0,1,0,pred_area_lt_true,9.467720031738281,16.25759267807007,2.959928135201335,3.2862718853981385,2733.1041114088907,nan,1.0,9.0,2.0
54,polygon,small,5.801743770686599,0.0,0.0,0.0,1.0,nan,1,1,0,zero,4.158139228820801,5.381328463554382,1.7274877836182714,1.1037016731237619,747.6869187835624,nan,1.0,9.0,2.0
55,rotated_rect,large,15.212446264871161,4.400797768316082,0.28542914171656686,0.4440993788819876,0.7107107107107107,0.6296183466911316,0,1,0,pred_area_lt_true,8.18588924407959,13.318889141082764,2.2785390120240847,2.706623722410273,1820.6780272819258,nan,1.0,nan,2.0
56,multi_defect,medium,9.288881102674083,3.273949896844144,0.07561929595827901,0.1406060606060606,0.6475409836065574,2.0873122215270996,0,1,0,pred_area_lt_true,6.505007743835449,10.082666397094727,2.085121832676232,2.090911301389798,1291.0962295753222,nan,2.0,nan,3.0
57,multi_defect,large,21.21214979676229,15.91291926605642,0.5199501246882793,0.6841673502871206,0.2498205312275664,0.33065345883369446,0,1,0,pred_area_lt_true,23.648639678955078,40.87944984436035,7.133356895111501,9.234411754870711,17586.549204180705,nan,3.0,nan,3.0
58,polygon,medium,8.055439513630475,8.603635775427634,0.4300653594771242,0.6014625228519196,0.06805293005671077,0.8312358856201172,0,0,1,pred_area_gt_true,13.207935333251953,23.797998428344727,3.5310751294530927,4.882249732700228,5078.888627851142,nan,1.0,9.0,2.0
59,rotated_rect,medium,10.70505477898341,10.46141199596245,0.38033763654419067,0.5510791366906475,0.02275960170697013,1.6783190965652466,0,1,0,pred_area_lt_true,15.52563762664795,27.838991165161133,4.390224466403015,5.768900279909325,7132.297327472249,nan,1.0,nan,2.0
60,rotated_rect,small,5.832199118564219,0.0,0.0,0.0,1.0,nan,1,1,0,zero,4.111413955688477,5.19569194316864,1.6228104537911714,1.0509331059554043,679.1909973136665,nan,1.0,nan,2.0
61,polygon,small,6.410850728238998,1.644588785391477,0.0975103734439834,0.1776937618147448,0.7434679334916865,1.0471258163452148,0,1,0,pred_area_lt_true,6.072920322418213,9.172434091567993,1.8725892680697143,1.8518602551656274,1073.1765776716993,nan,1.0,5.0,2.0
62,polygon,medium,7.857479752425945,0.9136604363285983,0.03041144901610018,0.059027777777777776,0.8837209302325582,1.2095082998275757,0,1,0,pred_area_lt_true,7.326663017272949,11.705261707305908,2.085576999881305,2.358083406743177,1476.9930158803293,nan,1.0,7.0,2.0
63,polygon,medium,9.517296211756232,9.258425754796463,0.54125,0.7023519870235199,0.0272,0.28961482644081116,0,1,0,pred_area_lt_true,13.902384757995605,24.888916969299316,3.8580349011626094,5.214803956282721,5813.29487730763,nan,1.0,9.0,2.0
64,rotated_rect,large,14.938348133972582,12.943522847988476,0.5622866894197952,0.7198252321135992,0.13353720693170235,0.9267972111701965,0,1,0,pred_area_lt_true,22.991724014282227,42.68971633911133,6.170767886592075,8.850666826513535,15995.255734335662,nan,1.0,nan,2.0
65,polygon,medium,9.593434581450282,9.745711320838382,0.49940968122786306,0.6661417322834645,0.015873015873015872,0.7631203532218933,0,0,1,pred_area_gt_true,14.635311126708984,26.226024627685547,4.235300552304834,5.397689438330851,6368.2232306929845,nan,1.0,6.0,2.0
66,multi_defect,large,26.16114382687553,15.044941851544252,0.42196531791907516,0.5934959349593496,0.42491268917345754,0.18916945159435272,0,1,0,pred_area_lt_true,23.145553588867188,41.20131492614746,8.182835185825825,9.994566904162806,20654.394093208262,nan,3.0,nan,3.0
67,polygon,medium,10.050264799614581,10.141630843247441,0.4151547491995731,0.5867269984917044,0.00909090909090909,1.064574956893921,0,0,1,pred_area_gt_true,12.47878646850586,22.367599487304688,3.914114641547203,4.584279024927329,4886.24055744354,nan,1.0,6.0,2.0
68,polygon,small,2.9998517659455644,0.0,0.0,0.0,1.0,nan,1,1,0,zero,3.9953269958496094,4.808734774589539,1.5746738258539699,0.9189328041454994,626.818808148942,nan,1.0,5.0,2.0
69,polygon,small,6.289029336728518,2.2536957429438758,0.0851063829787234,0.1568627450980392,0.6416464891041163,1.7562896013259888,0,1,0,pred_area_lt_true,6.598373889923096,10.191221237182617,1.9624021620338317,2.0167618293145027,1208.1491966593467,nan,1.0,5.0,2.0
70,rotated_rect,small,4.081016615601072,2.9237133962515145,0.0,0.0,0.2835820895522388,2.3251659870147705,0,1,0,pred_area_lt_true,6.0825581550598145,9.304481029510498,1.986224513594061,1.8764773579107534,1160.0664035130685,nan,1.0,nan,2.0
71,polygon,medium,8.999555297836693,6.563127467627098,0.10367170626349892,0.18786692759295498,0.2707275803722504,1.6899149417877197,0,1,0,pred_area_lt_true,8.508504867553711,14.120720386505127,2.53386702555581,2.828579265827078,2072.6145741760965,nan,1.0,5.0,2.0
72,multi_defect,large,16.23270041877143,8.146805557263335,0.2212051868802441,0.3622735790131168,0.4981238273921201,3.2880678176879883,0,1,0,pred_area_lt_true,9.249335289001465,16.496498584747314,3.4482397373393177,3.775321142932557,3420.663649507752,nan,3.0,nan,3.0
73,rotated_rect,small,4.903311008296811,0.0,0.0,0.0,1.0,nan,1,1,0,zero,4.287260055541992,5.385747909545898,1.6328320323117078,1.102117068773116,696.91392696126,nan,1.0,nan,2.0
74,polygon,medium,9.030010645714313,12.014634737721067,0.6163742690058479,0.7626628075253257,0.3305227655986509,0.4477222263813019,0,0,1,pred_area_gt_true,14.39062786102295,26.058908462524414,4.46476577706635,5.452305454254684,6612.4067605210985,nan,1.0,7.0,2.0
75,polygon,large,15.85200857030118,6.6240381633823375,0.34303912647861695,0.510840108401084,0.5821325648414986,0.3996868431568146,0,1,0,pred_area_lt_true,11.28306770324707,19.33675765991211,3.19551943030383,3.98137693321795,3620.236167342571,nan,1.0,9.0,2.0
76,polygon,large,12.288732868619647,8.892961580265023,0.5387168141592921,0.700215672178289,0.27633209417596033,0.592867374420166,0,1,0,pred_area_lt_true,11.840253829956055,20.965116500854492,3.354093019058928,4.333404170383237,4169.490542186433,nan,1.0,9.0,2.0
77,multi_defect,large,21.92785047188636,14.618566981257572,0.2631578947368421,0.4166666666666667,0.3333333333333333,0.7730237245559692,0,1,0,pred_area_lt_true,15.31135368347168,30.14735221862793,5.546485525146127,6.684908607824308,9558.552441035547,nan,2.0,nan,3.0
78,polygon,small,6.471761423994238,4.5226191598265615,0.6152125279642058,0.7617728531855956,0.30117647058823527,0.2790710926055908,0,1,0,pred_area_lt_true,6.392461776733398,9.681538343429565,2.1208303682506084,1.9945233944112324,1295.5899487511713,nan,1.0,6.0,2.0
79,rotated_rect,medium,10.050264799614581,9.060465993591933,0.30457380457380456,0.46693227091633466,0.09848484848484848,1.637769341468811,0,1,0,pred_area_lt_true,12.905374526977539,22.621602058410645,3.703426097044721,4.713323074099114,4916.883285699742,nan,1.0,nan,2.0
80,rotated_rect,large,12.715107738906326,14.085598393399223,0.651031894934334,0.7886363636363637,0.10778443113772455,0.6920740008354187,0,0,1,pred_area_gt_true,20.356380462646484,37.76337432861328,6.033506834506989,7.721933477582667,12706.328226522477,nan,1.0,nan,2.0
81,multi_defect,large,15.69973183091308,4.339887072560842,0.16563330380868024,0.28419452887537994,0.7235693501454898,3.9081618785858154,0,1,0,pred_area_lt_true,7.5616865158081055,13.126554489135742,3.0180942627391776,3.120271429607817,2491.144261194532,nan,3.0,nan,3.0
82,multi_defect,large,15.59313811334141,10.93346988806556,0.4965635738831615,0.6636050516647531,0.298828125,0.2505563497543335,0,1,0,pred_area_lt_true,14.99001693725586,27.216838836669922,4.287557954904623,5.752639572327935,7015.733787987518,nan,2.0,nan,3.0
83,multi_defect,large,15.60836578728022,8.512269731794774,0.26618705035971224,0.42045454545454547,0.45463414634146343,0.6239838600158691,0,1,0,pred_area_lt_true,16.17646026611328,28.840864181518555,5.069037220925093,6.258616246432781,8523.345546193237,nan,2.0,nan,3.0
84,polygon,medium,11.02483593169842,6.502216771871858,0.33993015133876603,0.5073848827106864,0.4102209944751381,0.7185220122337341,0,1,0,pred_area_lt_true,6.535782337188721,10.39201283454895,2.194553790856153,1.9804466834090861,1329.140865360426,nan,1.0,9.0,2.0
85,rotated_rect,small,7.370194186384026,0.4263748702866792,0.05785123966942149,0.109375,0.9421487603305785,0.2854895293712616,0,1,0,pred_area_lt_true,5.933218479156494,8.723308801651001,1.8747211832925677,1.733770144187134,1027.8377788872501,nan,1.0,nan,2.0
86,rotated_rect,large,14.694705350951622,13.339442370397535,0.7701923076923077,0.8701792504073873,0.0922279792746114,0.2186334878206253,0,1,0,pred_area_lt_true,19.526830673217773,36.02481651306152,5.280516528994776,7.536640433061407,11686.164995304007,nan,1.0,nan,2.0
87,rotated_rect,medium,9.562979233572662,9.852305038410051,0.27372627372627373,0.42980392156862746,0.030254777070063694,1.8210965394973755,0,0,1,pred_area_gt_true,15.530667304992676,28.412519454956055,4.297090056110173,5.906132873066076,7356.853628505892,nan,1.0,nan,2.0
88,rotated_rect,small,7.492015577894506,5.862654466441839,0.08004926108374384,0.14823261117445838,0.21747967479674796,2.0782933235168457,0,1,0,pred_area_lt_true,9.470349311828613,15.6186203956604,2.730206276648678,3.2387824327757975,2545.3138048513924,nan,1.0,nan,2.0
89,multi_defect,medium,11.07051895351485,5.45150727009397,0.04326923076923077,0.08294930875576037,0.5075653370013755,2.6056807041168213,0,1,0,pred_area_lt_true,5.6612677574157715,8.186412572860718,2.0038700394541955,1.916550132985821,1191.4210304205499,nan,2.0,nan,3.0
90,rotated_rect,small,7.126551403363067,5.634239357359689,0.2872503840245776,0.44630071599045346,0.2094017094017094,1.3159708976745605,0,1,0,pred_area_lt_true,6.711978435516357,10.206238746643066,2.1654243109426896,2.139569024151336,1395.517120098184,nan,1.0,nan,2.0
91,polygon,small,4.431253116193702,5.52764563978802,0.3185483870967742,0.4831804281345566,0.24742268041237114,0.9143787622451782,0,0,1,pred_area_gt_true,6.9870285987854,11.089751243591309,2.154434568379074,2.243275147780213,1437.4007717504953,nan,1.0,5.0,2.0
92,rotated_rect,medium,7.796569056670705,6.197663293095658,0.46570972886762363,0.6354733405875952,0.205078125,0.9213389158248901,0,1,0,pred_area_lt_true,6.184993267059326,9.476698637008667,2.1690697303041815,1.9273848573058954,1272.7800634025239,nan,1.0,nan,2.0
93,polygon,medium,7.979301143936425,2.208012721127446,0.16958041958041958,0.28998505231689087,0.7232824427480916,1.10247802734375,0,1,0,pred_area_lt_true,5.0084686279296875,7.117637395858765,1.8041353076417,1.382886154924326,866.2063259239931,nan,1.0,9.0,2.0
94,multi_defect,large,16.21747274483262,12.973978195866096,0.334958217270195,0.5018257694314032,0.2,0.48531508445739746,0,1,0,pred_area_lt_true,10.991936683654785,20.698078155517578,4.1635892978310585,4.735234042521745,5067.38237499838,nan,3.0,nan,3.0
95,polygon,small,4.827172638602761,0.0,0.0,0.0,1.0,nan,1,1,0,zero,4.0883564949035645,5.297982811927795,1.5862999619543552,1.0484553963289982,657.3927759522564,nan,1.0,7.0,2.0
96,rotated_rect,large,14.055143045521604,11.435983128046288,0.3973288814691152,0.5686977299880526,0.18634886240520043,1.389902949333191,0,1,0,pred_area_lt_true,17.649473190307617,32.540818214416504,5.0160779274115335,6.689052080010674,9444.013058924485,nan,1.0,nan,2.0
97,multi_defect,medium,11.694853585006058,4.659668225275851,0.22323462414578588,0.3649906890130354,0.6015625,3.189502477645874,0,1,0,pred_area_lt_true,4.792590618133545,7.1566479206085205,1.9926220754161477,1.7954100925100913,1125.5933972961136,nan,2.0,nan,3.0
98,multi_defect,large,14.100826067338033,6.410850728238998,0.4002079002079002,0.5716406829992576,0.5453563714902808,0.8391008973121643,0,1,0,pred_area_lt_true,16.236495971679688,29.588212966918945,4.120196458678692,6.020960370928106,7493.93497902628,nan,2.0,nan,3.0
99,multi_defect,medium,8.953872276020263,1.7968655247795766,0.13141025641025642,0.23229461756373937,0.7993197278911565,2.5031206607818604,0,1,0,pred_area_lt_true,4.798641681671143,7.218017816543579,1.7618099368177353,1.58091295382927,903.1244992469823,nan,2.0,nan,3.0
100,polygon,small,5.801743770686599,5.31445820464468,0.5904139433551199,0.7424657534246575,0.08398950131233596,0.23393529653549194,0,1,0,pred_area_lt_true,7.470014572143555,11.79577350616455,2.3229842342063787,2.4713629289189263,1682.9014815740506,nan,1.0,8.0,2.0
101,multi_defect,large,15.65404880909665,14.283558154603753,0.4103299856527977,0.5818921668362157,0.08754863813229571,1.1681134700775146,0,1,0,pred_area_lt_true,14.347677230834961,27.05787467956543,5.160106675475836,6.374781534947931,8552.680647611545,nan,3.0,nan,3.0
102,polygon,medium,10.6898271050446,4.948994030113241,0.32858990944372574,0.4946445959104187,0.5370370370370371,1.063307285308838,0,1,0,pred_area_lt_true,7.047769069671631,11.2331862449646,2.216962950699963,2.3093646624086137,1522.400064569404,nan,1.0,7.0,2.0
103,multi_defect,large,17.755467812652427,9.136604363285983,0.2569395017793594,0.4088335220838052,0.4854202401372213,2.4050350189208984,0,1,0,pred_area_lt_true,17.826871871948242,30.24721336364746,5.181771236017812,6.665670430645428,9324.131395137705,nan,3.0,nan,3.0
104,rotated_rect,medium,10.29390758263554,10.035037125675771,0.35121457489878544,0.5198501872659176,0.02514792899408284,1.7875657081604004,0,1,0,pred_area_lt_true,11.44568157196045,20.341103553771973,3.6346847237157633,4.2114892629274205,4184.65451964516,nan,1.0,nan,2.0
