sample_id,split,dataset_id,feature_schema_version,scan_line_count,sensor_x_count,piao_full_compatible,exact_piao_full,full_feature_ready,full_candidate_mode,degraded_mode,degraded_mode_reason,A1__Bx_center_abs_peak,A1__Bx_center_peak_x_m,A1__Bx_center_signed_peak,A1__Bx_center_signed_peak_x_m,A1__Bx_center_min,A1__Bx_center_min_x_m,A1__Bx_center_width50_x_m,A1__Bx_center_energy,A2__Bx_center_grad_abs_peak,A2__Bx_center_grad_energy,A2__Bx_center_left_right_energy_ratio,A2__Bx_center_peak_asymmetry,A2__Bx_outer_peak_decay_ratio,A2__Bx_outer_width_decay_ratio,T1__Bx_env_abs_peak,T1__Bx_env_peak_y_m,T1__Bx_env_width50_y_m,T1__Bx_env_gauss_A,T1__Bx_env_gauss_y0_m,T1__Bx_env_gauss_sigma_m,T1__Bx_env_gauss_rmse,T1__Bx_env_gauss_fit_success,R1__Bx_tangential_gauss_nrmse,R1__Bx_tangential_fit_residual_peak_ratio,A1__By_center_abs_peak,A1__By_center_peak_x_m,A1__By_center_signed_peak,A1__By_center_signed_peak_x_m,A1__By_center_min,A1__By_center_min_x_m,A1__By_center_width50_x_m,A1__By_center_energy,A2__By_center_grad_abs_peak,A2__By_center_grad_energy,A2__By_center_left_right_energy_ratio,A2__By_center_peak_asymmetry,A2__By_outer_peak_decay_ratio,A2__By_outer_width_decay_ratio,T1__By_env_abs_peak,T1__By_env_peak_y_m,T1__By_env_width50_y_m,T1__By_env_gauss_A,T1__By_env_gauss_y0_m,T1__By_env_gauss_sigma_m,T1__By_env_gauss_rmse,T1__By_env_gauss_fit_success,R1__By_tangential_gauss_nrmse,R1__By_tangential_fit_residual_peak_ratio,A1__Bz_center_abs_peak,A1__Bz_center_peak_x_m,A1__Bz_center_signed_peak,A1__Bz_center_signed_peak_x_m,A1__Bz_center_min,A1__Bz_center_min_x_m,A1__Bz_center_width50_x_m,A1__Bz_center_energy,A2__Bz_center_grad_abs_peak,A2__Bz_center_grad_energy,A2__Bz_center_left_right_energy_ratio,A2__Bz_center_peak_asymmetry,A2__Bz_outer_peak_decay_ratio,A2__Bz_outer_width_decay_ratio,T1__Bz_env_abs_peak,T1__Bz_env_peak_y_m,T1__Bz_env_width50_y_m,T1__Bz_env_gauss_A,T1__Bz_env_gauss_y0_m,T1__Bz_env_gauss_sigma_m,T1__Bz_env_gauss_rmse,T1__Bz_env_gauss_fit_success,R1__Bz_tangential_gauss_nrmse,R1__Bz_tangential_fit_residual_peak_ratio,X1__center_Bx_Bz_abs_peak_ratio,X1__center_By_Bz_abs_peak_ratio,X1__center_Bx_By_abs_peak_ratio,X1__center_Bx_Bz_corr,X1__center_By_Bz_corr,X1__center_Bx_By_corr,X1__center_vmag_abs_peak,X1__center_vmag_peak_x_m,X1__center_vmag_width50_x_m,X1__center_vmag_energy,valid__A1__Bx_center_abs_peak,valid__A1__Bx_center_peak_x_m,valid__A1__Bx_center_signed_peak,valid__A1__Bx_center_signed_peak_x_m,valid__A1__Bx_center_min,valid__A1__Bx_center_min_x_m,valid__A1__Bx_center_width50_x_m,valid__A1__Bx_center_energy,valid__A2__Bx_center_grad_abs_peak,valid__A2__Bx_center_grad_energy,valid__A2__Bx_center_left_right_energy_ratio,valid__A2__Bx_center_peak_asymmetry,valid__A2__Bx_outer_peak_decay_ratio,valid__A2__Bx_outer_width_decay_ratio,valid__T1__Bx_env_abs_peak,valid__T1__Bx_env_peak_y_m,valid__T1__Bx_env_width50_y_m,valid__T1__Bx_env_gauss_A,valid__T1__Bx_env_gauss_y0_m,valid__T1__Bx_env_gauss_sigma_m,valid__T1__Bx_env_gauss_rmse,valid__T1__Bx_env_gauss_fit_success,valid__R1__Bx_tangential_gauss_nrmse,valid__R1__Bx_tangential_fit_residual_peak_ratio,valid__A1__By_center_abs_peak,valid__A1__By_center_peak_x_m,valid__A1__By_center_signed_peak,valid__A1__By_center_signed_peak_x_m,valid__A1__By_center_min,valid__A1__By_center_min_x_m,valid__A1__By_center_width50_x_m,valid__A1__By_center_energy,valid__A2__By_center_grad_abs_peak,valid__A2__By_center_grad_energy,valid__A2__By_center_left_right_energy_ratio,valid__A2__By_center_peak_asymmetry,valid__A2__By_outer_peak_decay_ratio,valid__A2__By_outer_width_decay_ratio,valid__T1__By_env_abs_peak,valid__T1__By_env_peak_y_m,valid__T1__By_env_width50_y_m,valid__T1__By_env_gauss_A,valid__T1__By_env_gauss_y0_m,valid__T1__By_env_gauss_sigma_m,valid__T1__By_env_gauss_rmse,valid__T1__By_env_gauss_fit_success,valid__R1__By_tangential_gauss_nrmse,valid__R1__By_tangential_fit_residual_peak_ratio,valid__A1__Bz_center_abs_peak,valid__A1__Bz_center_peak_x_m,valid__A1__Bz_center_signed_peak,valid__A1__Bz_center_signed_peak_x_m,valid__A1__Bz_center_min,valid__A1__Bz_center_min_x_m,valid__A1__Bz_center_width50_x_m,valid__A1__Bz_center_energy,valid__A2__Bz_center_grad_abs_peak,valid__A2__Bz_center_grad_energy,valid__A2__Bz_center_left_right_energy_ratio,valid__A2__Bz_center_peak_asymmetry,valid__A2__Bz_outer_peak_decay_ratio,valid__A2__Bz_outer_width_decay_ratio,valid__T1__Bz_env_abs_peak,valid__T1__Bz_env_peak_y_m,valid__T1__Bz_env_width50_y_m,valid__T1__Bz_env_gauss_A,valid__T1__Bz_env_gauss_y0_m,valid__T1__Bz_env_gauss_sigma_m,valid__T1__Bz_env_gauss_rmse,valid__T1__Bz_env_gauss_fit_success,valid__R1__Bz_tangential_gauss_nrmse,valid__R1__Bz_tangential_fit_residual_peak_ratio,valid__X1__center_Bx_Bz_abs_peak_ratio,valid__X1__center_By_Bz_abs_peak_ratio,valid__X1__center_Bx_By_abs_peak_ratio,valid__X1__center_Bx_Bz_corr,valid__X1__center_By_Bz_corr,valid__X1__center_Bx_By_corr,valid__X1__center_vmag_abs_peak,valid__X1__center_vmag_peak_x_m,valid__X1__center_vmag_width50_x_m,valid__X1__center_vmag_energy,fit_failure_reasons
rbc_pilot_001_shallow_small_compact_sharp,val,comsol_true_3d_rbc_imported_watertight_pilot_v3_240,nls_full_compatible_v1,3,201,True,False,False,False,True,scan_line_count_lt_5,0.0014092999044805765,-0.0015999999595806003,0.00016829937521833926,-0.03680000081658363,-0.0014092999044805765,-0.0015999999595806003,0.02000000048428774,3.946028668060865e-07,0.3413927171742279,0.006053477473138108,0.6933387540486323,-0.18109858126034506,1.0004939330696516,0.9900990267909691,0.0014160036807879806,0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,0.00015683994570281357,0.02280000038444996,0.00014278857270255685,-0.02199999988079071,-0.00015683994570281357,0.02280000038444996,0.06120000220835209,5.692678239987225e-09,0.14601099811974383,0.001334255017885071,3.380052868261481,0.5433845069560005,0.9252138824845134,1.0000000152176889,0.00018144631758332253,-0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,0.0009577610180713236,-0.013199999928474426,0.0009257145575247705,0.01360000018030405,-0.0009577610180713236,-0.013199999928474426,0.057200001552700996,3.528718733806115e-07,0.3154993877965865,0.01174219133505283,1.0265057775435364,0.013079546990320417,0.9139938490895007,1.1259842754984157,0.0010960568906739354,0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,1.471452562684721,0.1637568691390756,8.985592912350103,-0.05689639888907186,-0.7107341898222186,-0.23590712974182074,0.0014155271481225318,-0.0015999999595806003,0.04320000112056732,7.531674184266851e-07,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,
rbc_pilot_002_shallow_medium_balanced_sharp,test,comsol_true_3d_rbc_imported_watertight_pilot_v3_240,nls_full_compatible_v1,3,201,True,False,False,False,True,scan_line_count_lt_5,0.0014381371438503265,0.005200000014156103,0.00011076762166339904,-0.03999999910593033,-0.0014381371438503265,0.005200000014156103,0.02280000038444996,4.664829042715794e-07,0.31656594611786065,0.006944813461949693,1.8408356128803276,0.29598179108568806,0.9993235649051688,0.9827586497588798,0.0014572942163795233,0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,0.000177299851202406,-0.018799999728798866,0.000177299851202406,-0.018799999728798866,-0.00016024433716665953,0.010400000028312206,0.05920000001788139,6.231774333372423e-09,0.12397644426535982,0.0015124493918798262,1.0219197292857602,0.010841048221782494,0.9757794883616985,0.8835820800917111,0.0002314288285560906,-0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,0.0009851173963397741,0.020400000736117363,0.0009851173963397741,0.020400000736117363,-0.000979956123046577,-0.014000000432133675,0.06280000135302544,3.8785470250321474e-07,0.40624307548478616,0.01312149845140855,1.6661809678909647,0.2498633723343751,0.9711542169338402,1.0194805315559827,0.0010312162339687347,0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,1.4598637169476019,0.17997839837279048,8.111327415658941,-0.028785849364794728,-0.7896186405596586,-0.03194855433413952,0.0015188768756276584,0.00559999980032444,0.04639999940991402,8.605693811081665e-07,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,
rbc_pilot_003_shallow_large_wide_sharp,train,comsol_true_3d_rbc_imported_watertight_pilot_v3_240,nls_full_compatible_v1,3,201,True,False,False,False,True,scan_line_count_lt_5,0.0012651927536353469,0.007600000128149986,0.00024319591466337442,-0.03720000013709068,-0.0012651927536353469,0.007600000128149986,0.03399999998509884,5.016811091284069e-07,0.29854056047669825,0.005687761514726749,1.7270530562830269,0.26660759482032226,1.014960073954019,0.8994708979065716,0.0012651927536353469,0.0,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,0.0001494883035775274,0.00800000037997961,9.62527992669493e-05,-0.029999999329447746,-0.0001494883035775274,0.00800000037997961,0.05559999868273735,3.449081918755333e-09,0.14409523779686145,0.0015609015499388086,0.6417650244823563,-0.21820112511569323,0.8640925304830478,0.9055374377416926,0.00017650706286076456,0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,0.0010889980476349592,0.020400000736117363,0.0010889980476349592,0.020400000736117363,-0.0010417773155495524,-0.01679999940097332,0.06680000200867653,3.3606924852334004e-07,0.3380637927230572,0.012023607774384997,0.997176740023286,-0.0014136255045114733,1.0402360475348857,1.0915032946296774,0.0010889980476349592,0.0,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,1.1617952450723306,0.1372714155936091,8.463489941065486,0.013219631931406673,-0.5686620644304621,0.22946878598151918,0.0013063996797575126,0.007600000128149986,0.05159999988973141,8.411994395705024e-07,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,
rbc_pilot_004_shallow_elongated_sharp,train,comsol_true_3d_rbc_imported_watertight_pilot_v3_240,nls_full_compatible_v1,3,201,True,False,False,False,True,scan_line_count_lt_5,0.0012836039531975985,0.003599999938160181,0.00022041086049284786,-0.03920000046491623,-0.0012836039531975985,0.003599999938160181,0.027199999429285526,4.1205356536459263e-07,0.3131217293559341,0.005408151596451032,1.5081976357502629,0.2026146697958467,1.0076611342243875,0.9855072204578365,0.0012836039531975985,0.0,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,0.00018658977933228016,0.009600000455975533,9.550801041768864e-05,0.031599998474121094,-0.00018658977933228016,0.009600000455975533,0.02559999842196703,4.680052988350947e-09,0.1315905576863638,0.001163602944134712,0.6977750753898291,-0.17801234627076643,0.9890565387033726,0.7272726911935982,0.00019851350225508213,-0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,0.0010095937177538872,0.019600000232458115,0.0010095937177538872,0.019600000232458115,-0.0009674669709056616,-0.01759999990463257,0.052400000393390656,3.1121557108739165e-07,0.37220572886360603,0.011924915116619313,1.2070184960278385,0.09380007299459775,1.0052233434040037,0.9776119436698578,0.0010480255587026477,0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,1.2714064386744806,0.1848167000755505,6.879283301534695,0.003325456308252716,-0.6525522055051803,0.3958635137712207,0.0013074925115747474,0.003599999938160181,0.04959999956190586,7.279491894403351e-07,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,
rbc_pilot_005_medium_small_compact_sharp,val,comsol_true_3d_rbc_imported_watertight_pilot_v3_240,nls_full_compatible_v1,3,201,True,False,False,False,True,scan_line_count_lt_5,0.0013050015550106764,-0.0015999999595806003,0.00021208649559412152,-0.03880000114440918,-0.0013050015550106764,-0.0015999999595806003,0.020400000736117363,3.579103508485377e-07,0.2637655112603861,0.005940604141090309,0.632960380536892,-0.22476945787406746,1.0007578524413356,0.9357798608027321,0.001316200359724462,0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,0.0001321824238402769,-0.009200000204145908,0.0001321824238402769,-0.009200000204145908,-0.00011293697025394067,0.007199999876320362,0.03960000164806843,2.8361139909638423e-09,0.12177755588999956,0.0011331834992897812,0.9759654104430877,-0.012163466743844855,0.88047247608424,0.8319327885644234,0.000175723442225717,-0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,0.0008952247444540262,0.017999999225139618,0.0008952247444540262,0.017999999225139618,-0.0008563474984839559,-0.013199999928474426,0.05480000004172325,2.9464680699073205e-07,0.42453387376424356,0.010823806217246705,1.1591758667625585,0.07372065852200582,0.9696370951357611,1.0073529285883087,0.0009361584088765085,-0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,1.4577362423181925,0.14765278178374242,9.872731314017813,-0.06496790398617168,-0.5141439554422352,-0.17807793480302977,0.001328483154136009,0.004800000227987766,0.04839999973773956,6.553932718302336e-07,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,
rbc_pilot_006_medium_medium_balanced_sharp,train,comsol_true_3d_rbc_imported_watertight_pilot_v3_240,nls_full_compatible_v1,3,201,True,False,False,False,True,scan_line_count_lt_5,0.0012729180743917823,-0.0015999999595806003,0.00023020629305392504,-0.03920000046491623,-0.0012729180743917823,-0.0015999999595806003,0.026800000108778477,4.0374135606387236e-07,0.2887517484125315,0.004565782113668084,0.8668518727548996,-0.07132227745986865,0.9974480622514085,0.9640287875829909,0.0013145363191142678,-0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,0.00019076223543379456,0.008799999952316284,8.777376206126064e-05,-0.009200000204145908,-0.00019076223543379456,0.008799999952316284,0.05880000256001949,5.150068545432733e-09,0.12215737402822144,0.0014694289837012527,0.44656966806052645,-0.38258118095444354,0.9605176138747447,1.101123631954298,0.0002155833935830742,-0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,0.0010232002241536975,-0.015200000256299973,0.000912560208234936,0.01360000018030405,-0.0010232002241536975,-0.015200000256299973,0.057600000873208046,3.3098547827864603e-07,0.449941501757264,0.011226682111100113,1.366055158212508,0.15471116847886715,0.9786953483530881,0.9965398143545394,0.0010638327803462744,0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,1.2440557032174517,0.18643685852549197,6.672799107733029,-0.01791603400160334,-0.7019651194481601,0.12283164222657354,0.0012776426086887117,-0.0015999999595806003,0.04999999888241291,7.398769028879512e-07,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,
rbc_pilot_007_medium_large_wide_sharp,train,comsol_true_3d_rbc_imported_watertight_pilot_v3_240,nls_full_compatible_v1,3,201,True,False,False,False,True,scan_line_count_lt_5,0.0011619972065091133,0.007600000128149986,0.0001031650390359573,-0.03880000114440918,-0.0011619972065091133,0.007600000128149986,0.03959999978542328,4.4572616204076305e-07,0.2701323778944351,0.00506170326656668,1.8094063737366326,0.28810583662914063,1.0026815746055,0.9705882171671647,0.001195356366224587,0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,0.0001668043405516073,0.02280000038444996,0.00010188460873905569,-0.009200000204145908,-0.0001668043405516073,0.02280000038444996,0.058400001376867294,4.18151054127726e-09,0.11327158734277129,0.0014190468348837053,1.6581704319870176,0.24760279629437698,0.9173530818045291,1.0855018680028226,0.00019189387967344373,-0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,0.0010643329005688429,-0.01759999990463257,0.0009679713402874768,0.020400000736117363,-0.0010643329005688429,-0.01759999990463257,0.06239999830722809,3.3331572601965797e-07,0.3828073017504827,0.01237373995554207,1.2597105215828917,0.11493088123560559,0.966176657236214,1.0097087214773417,0.001142003107815981,0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,1.0917610513478186,0.15672196214404077,6.966228832334282,0.03161057670826621,-0.4628708977046134,0.04469657773824384,0.0012572290663598045,-0.01360000018030405,0.05920000001788139,7.832233986016984e-07,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,
rbc_pilot_008_medium_elongated_sharp,train,comsol_true_3d_rbc_imported_watertight_pilot_v3_240,nls_full_compatible_v1,3,201,True,False,False,False,True,scan_line_count_lt_5,0.0011377418413758278,-0.0015999999595806003,0.00019950367277488112,-0.03720000013709068,-0.0011377418413758278,-0.0015999999595806003,0.03759999945759773,4.153271844094679e-07,0.32650046260399745,0.006126778333171365,0.8755370640450932,-0.06636122438789316,1.0032686646025315,0.9999999752307829,0.0011399048380553722,0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,0.00023213715758174658,0.02280000038444996,9.945521742338315e-05,0.03680000081658363,-0.00023213715758174658,0.02280000038444996,0.01880000066012144,5.307437285209592e-09,0.16983263125574696,0.0021618887209670272,0.744182679052503,-0.146668880513402,1.0491099741394576,0.3164983243641274,0.00024680644855834544,-0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,0.0009382133721373975,0.019999999552965164,0.0009382133721373975,0.019999999552965164,-0.0008994206436909735,-0.01720000058412552,0.06719999760389328,3.0410676625974547e-07,0.3271069762979225,0.011461435050986665,0.8574960076045256,-0.07671833038244383,0.9774071976404042,0.9999999307051679,0.0010191891342401505,0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,1.2126685412550378,0.24742469514466806,4.901162111348652,0.02850528371844399,-0.49433943420213955,0.21218116735836984,0.0011817774236186273,0.00559999980032444,0.058400001376867294,7.247413879544228e-07,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,
rbc_pilot_009_deep_small_compact_sharp,test,comsol_true_3d_rbc_imported_watertight_pilot_v3_240,nls_full_compatible_v1,3,201,True,False,False,False,True,scan_line_count_lt_5,0.001252450398169458,-0.0015999999595806003,0.00021166821534279734,-0.035999998450279236,-0.001252450398169458,-0.0015999999595806003,0.022799999453127384,3.303487649128057e-07,0.2509679017301032,0.005314485749818692,0.8585481071520604,-0.0761088143500858,0.9970119205774263,0.9999999591525194,0.0012590099358931184,0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,0.0001543054822832346,-0.010400000028312206,0.0001543054822832346,-0.010400000028312206,-0.0001403141941409558,0.00800000037997961,0.04560000076889992,4.475290544229699e-09,0.1495945364533725,0.0015480622035961024,0.9965620183330743,-0.0017219508511917053,0.8302949597703474,1.0270270440343787,0.00021453347289934754,-0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,0.0009863394079729915,-0.015200000256299973,0.0008161635487340391,0.019999999552965164,-0.0009863394079729915,-0.015200000256299973,0.05040000006556511,2.8188984147232436e-07,0.3168139946952476,0.011449084619733419,1.0691064788197888,0.03339918922838948,1.0057858328945,0.9960474375229794,0.0009863394079729915,0.0,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,1.2697965710843353,0.15644258055180524,8.116694103392447,-0.014934305047359837,-0.8040723949437868,0.051976978939923535,0.0012560809206685892,-0.0015999999595806003,0.04240000061690807,6.167138969293598e-07,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,
rbc_pilot_010_deep_medium_balanced_sharp,train,comsol_true_3d_rbc_imported_watertight_pilot_v3_240,nls_full_compatible_v1,3,201,True,False,False,False,True,scan_line_count_lt_5,0.0012317668879404664,0.003599999938160181,0.00012066898489138111,-0.03959999978542328,-0.0012317668879404664,0.003599999938160181,0.02879999950528145,3.8900976948187426e-07,0.27366653501798444,0.005983407102799289,1.2266903615747442,0.10180596525078851,1.0081218199630053,0.9795918238050454,0.0012380930129438639,0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,0.00020448595751076937,0.02280000038444996,0.00018788521992973983,-0.018400000408291817,-0.00020448595751076937,0.02280000038444996,0.04839999973773956,6.501267567279518e-09,0.15414903534103916,0.001664748305173572,1.3294947297439275,0.1414447199801768,0.9847144737071695,1.0431034140157058,0.0002331478608539328,-0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,0.000876677397172898,-0.020400000736117363,0.0007870187982916832,0.01600000075995922,-0.000876677397172898,-0.020400000736117363,0.06239999830722809,2.485591318012721e-07,0.41097164282816223,0.009248139540370778,0.7265776454961805,-0.15836087952201183,0.9999314510784273,0.9999999701499176,0.0008977451361715794,-0.0010000000474974513,0.0020000000949949026,nan,nan,nan,nan,0.0,nan,nan,1.4050400887631618,0.2332510889070415,6.023723599091613,-0.012102030353498121,-0.7880641456773169,0.04826445041900266,0.0012440273067922732,0.003599999938160181,0.05719999969005585,6.440701688504257e-07,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,
