seed,sample_id,split,defect_group,task_group,defect_type,component_count,component_type_combination,source_dataset,source_pack,true_connected_component_count,pred_connected_component_count,IoU,Dice,area_error,center_error,pred_area,true_area,failure_category,distance_bin,short_note,preview_path
42,cc3_v4_topup_029,val,multi_defect,multi_defect_cc3,multi_defect,3,rectangular_notch+rectangular_notch+rectangular_notch,three_component_pilot_v4,pilot_v4_topup,3,2,0.04921077065923862,0.09380530973451327,0.7493917274939172,7.289841759720694,719,411,component_count_mismatch,medium,"pred_cc=2, true_cc=3",C:\Users\19166\Desktop\PINN_project\results\previews\comsol_data_baseline_v3_topology_gated_v2_poc\cc3_v4_topup_029_val_rectangular_notch_rectangular_notch_rectangular_notch.png
42,cc2_sample_221,test,multi_defect,multi_defect_cc2,multi_defect,2,rectangular_notch+rectangular_notch,multi_defect_pilot_v3,multi_defect_pilot_v3,2,4,0.0825593395252838,0.15252621544327932,0.38863287250384027,1.7899402243295937,398,651,component_count_mismatch,,"pred_cc=4, true_cc=2",C:\Users\19166\Desktop\PINN_project\results\previews\comsol_data_baseline_v3_topology_gated_v2_poc\cc2_sample_221_test_rectangular_notch_rectangular_notch.png
42,cc3_v3_sample_019,test,multi_defect,multi_defect_cc3,multi_defect,3,rectangular_notch+rotated_rect+rotated_rect,three_component_pilot_v4,pilot_v3,3,6,0.15324384787472037,0.26576139670223087,0.5394088669950738,4.862449805694414,625,406,component_count_mismatch,medium,"pred_cc=6, true_cc=3",C:\Users\19166\Desktop\PINN_project\results\previews\comsol_data_baseline_v3_topology_gated_v2_poc\cc3_v3_sample_019_test_rectangular_notch_rotated_rect_rotated_rect.png
42,cc2_sample_215,test,multi_defect,multi_defect_cc2,multi_defect,2,rotated_rect+polygon,multi_defect_pilot_v3,multi_defect_pilot_v3,2,3,0.18045862412761715,0.30574324324324326,0.5560975609756098,3.3270060133022477,364,820,component_count_mismatch,,"pred_cc=3, true_cc=2",C:\Users\19166\Desktop\PINN_project\results\previews\comsol_data_baseline_v3_topology_gated_v2_poc\cc2_sample_215_test_rotated_rect_polygon.png
42,cc2_sample_214,test,multi_defect,multi_defect_cc2,multi_defect,2,rectangular_notch+polygon,multi_defect_pilot_v3,multi_defect_pilot_v3,2,3,0.20708154506437768,0.3431111111111111,0.3624454148471616,7.023218992099394,438,687,component_count_mismatch,,"pred_cc=3, true_cc=2",C:\Users\19166\Desktop\PINN_project\results\previews\comsol_data_baseline_v3_topology_gated_v2_poc\cc2_sample_214_test_rectangular_notch_polygon.png
42,cc3_v4_topup_126,test,multi_defect,multi_defect_cc3,multi_defect,3,rectangular_notch+rectangular_notch+rotated_rect,three_component_pilot_v4,pilot_v4_topup,3,3,0.25774877650897227,0.4098573281452659,0.1298342541436464,4.237601470491323,409,362,boundary/shape smoothing,medium,mask area and component count are plausible but boundary remains coarse,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_data_baseline_v3_topology_gated_v2_poc\cc3_v4_topup_126_test_rectangular_notch_rectangular_notch_rotated_rect.png
42,cc3_v4_topup_089,val,multi_defect,multi_defect_cc3,multi_defect,3,rectangular_notch+rectangular_notch+rectangular_notch,three_component_pilot_v4,pilot_v4_topup,3,3,0.26533742331288346,0.4193939393939394,0.10459183673469388,4.616276033619034,433,392,boundary/shape smoothing,medium,mask area and component count are plausible but boundary remains coarse,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_data_baseline_v3_topology_gated_v2_poc\cc3_v4_topup_089_val_rectangular_notch_rectangular_notch_rectangular_notch.png
42,cc3_v3_sample_182,val,multi_defect,multi_defect_cc3,multi_defect,3,rectangular_notch+rectangular_notch+rotated_rect,three_component_pilot_v4,pilot_v3,3,3,0.2732824427480916,0.4292565947242206,0.019002375296912115,5.160633776951918,413,421,boundary/shape smoothing,near,mask area and component count are plausible but boundary remains coarse,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_data_baseline_v3_topology_gated_v2_poc\cc3_v3_sample_182_val_rectangular_notch_rectangular_notch_rotated_rect.png
42,cc2_sample_207,test,multi_defect,multi_defect_cc2,multi_defect,2,rectangular_notch+rotated_rect,multi_defect_pilot_v3,multi_defect_pilot_v3,2,5,0.30438931297709926,0.4667154352596928,0.09610027855153204,1.6862273088359148,649,718,component_count_mismatch,,"pred_cc=5, true_cc=2",C:\Users\19166\Desktop\PINN_project\results\previews\comsol_data_baseline_v3_topology_gated_v2_poc\cc2_sample_207_test_rectangular_notch_rotated_rect.png
42,cc3_v4_topup_160,val,multi_defect,multi_defect_cc3,multi_defect,3,rotated_rect+rotated_rect+rotated_rect,three_component_pilot_v4,pilot_v4_topup,3,3,0.3150074294205052,0.47909604519774013,0.14853556485355648,2.9433842028731445,407,478,boundary/shape smoothing,near,mask area and component count are plausible but boundary remains coarse,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_data_baseline_v3_topology_gated_v2_poc\cc3_v4_topup_160_val_rotated_rect_rotated_rect_rotated_rect.png
