sample_id,base_sample_id,perturb_sample_id,source_index,split,source_defect_type,source_pack,generated_geometry_type,variant_type,perturb_level,expected_quality_rank,requires_comsol_forward,reused_original,center_x,center_y,angle_rad,angle_deg,length,depth,profile_params_json,polygon_vertices_json,vertex_count,polygon_area_m2,polygon_valid,polygon_finite,polygon_in_bounds,polygon_self_intersects,mask_non_empty,component_count,profile_mask_area,quality_iou_vs_true,quality_dice_vs_true,quality_area_error_vs_true,quality_center_error_px_vs_true,profile_l2_delta,roughness_delta,area_delta_ratio,observed_delta_bz_reference_sample_id,notes,u_station_0,u_station_1,u_station_2,u_station_3,u_station_4,u_station_5,u_station_6,u_station_7,half_width_0,half_width_1,half_width_2,half_width_3,half_width_4,half_width_5,half_width_6,half_width_7,center_offset_0,center_offset_1,center_offset_2,center_offset_3,center_offset_4,center_offset_5,center_offset_6,center_offset_7,occupancy_0,occupancy_1,occupancy_2,occupancy_3,occupancy_4,occupancy_5,occupancy_6,occupancy_7
profile_perturb_000_00,rect_v9_0011,rect_v9_0011__true_reference,130,train,rectangular_notch,pilot_v9_topup_rectangular_notch,original_rect_rot_reference,true_reference,reference,0,0,1,-0.0015,0.0005,0.0,0.0,0.0095,0.0016,"{""angle_deg"": 0.0, ""angle_rad"": 0.0, ""area_proxy"": 0.00014249999999999997, ""center_offsets"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""center_x"": -0.0015, ""center_y"": 0.0005, ""depth_proxy"": 0.0016, ""half_widths"": [0.0075, 0.0075, 0.0075, 0.0075, 0.0075, 0.0075, 0.0075, 0.0075], ""length"": 0.0095, ""occupancy"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""roughness"": 0.0, ""u_stations"": [-0.00475, -0.0033928571428571428, -0.0020357142857142857, -0.0006785714285714286, 0.0006785714285714286, 0.0020357142857142857, 0.0033928571428571428, 0.00475]}","[[-0.00625, 0.008], [-0.004892857142857143, 0.008], [-0.0035357142857142857, 0.008], [-0.0021785714285714286, 0.008], [-0.0008214285714285715, 0.008], [0.0005357142857142856, 0.008], [0.0018928571428571427, 0.008], [0.00325, 0.008], [0.00325, -0.006999999999999999], [0.0018928571428571427, -0.006999999999999999], [0.0005357142857142856, -0.006999999999999999], [-0.0008214285714285715, -0.006999999999999999], [-0.0021785714285714286, -0.006999999999999999], [-0.0035357142857142857, -0.006999999999999999], [-0.004892857142857143, -0.006999999999999999], [-0.00625, -0.006999999999999999]]",16,0.0001425,1,1,1,0,1,1,705.0,0.46153846153846156,0.631578947368421,0.020833333333333332,0.7071067811865476,0.004238391698463163,-9.96215324634243e-08,1.2649673245007522,rect_v9_0011,true_reference reuses original NPZ arrays,-0.00475,-0.0033928571428571428,-0.0020357142857142857,-0.0006785714285714286,0.0006785714285714286,0.0020357142857142857,0.0033928571428571428,0.00475,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
profile_perturb_000_01,rect_v9_0011,rect_v9_0011__profile_extracted_reference,130,train,rectangular_notch,pilot_v9_topup_rectangular_notch,profile_polygon_notch,profile_extracted_reference,reference,1,1,0,-0.0005090873060255961,5.690326493924613e-05,-0.002284562458214623,-0.1308957868897304,0.009445400000547059,0.001500000013038516,"{""angle_deg"": -0.1308957868897304, ""angle_rad"": -0.002284562458214623, ""area_proxy"": 6.291481491081115e-05, ""center_offsets"": [-0.00022526301269874837, 9.36355568423211e-05, 9.651374303891546e-05, -0.0002166284534440707, -0.00021375026704800797, -0.00021087208065194522, 0.00010802648835720858, 0.000429803258114834], ""center_x"": -0.0005090873060255961, ""center_y"": 5.690326493924613e-05, ""depth_proxy"": 0.001500000013038516, ""half_widths"": [0.002749199154520033, 0.0032326587022931635, 0.0032263670768393035, 0.0034908168331186846, 0.003490816833118684, 0.0034908168331186846, 0.0034920543252410616, 0.0030300026179020975], ""length"": 0.009445400000547059, ""occupancy"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""roughness"": 9.96215324634243e-08, ""u_stations"": [-0.0048423159377686, -0.003492973080547591, -0.002143630223326583, -0.000794287366105575, 0.0005550554911154335, 0.001904398348336442, 0.0032537412055574496, 0.004603084062778459]}","[[-0.005345624522489194, 0.0025918953838465334], [-0.003994452150890709, 0.0033911687519642673], [-0.002645120613138975, 0.0033846726662613994], [-0.0012958925180029672, 0.0033328976977728014], [5.345339334803239e-05, 0.0033326932213045618], [0.0014027993046990318, 0.003332488744836323], [0.0027528700108497457, 0.003649541315183697], [0.004101888880232415, 0.00350618408831212], [0.004088044431817004, -0.0025538053332316442], [0.0027369143923020997, -0.0033345491094869334], [0.0013868493404025576, -0.003649126702048301], [3.750342905155799e-05, -0.0036489222255800613], [-0.0013118424822994414, -0.0036487177491118226], [-0.0026598622745159575, -0.003068044648286807], [-0.004009222559465311, -0.0030741317806542603], [-0.005358185945919514, -0.0029064885765090966]]",16,6.291481491081115e-05,1,1,1,0,1,1,307.0,0.4263888888888889,0.5978578383641675,0.5736111111111111,2.2031021140117684,0.0,0.0,0.0,rect_v9_0011,real COMSOL forward required,-0.0048423159377686,-0.003492973080547591,-0.002143630223326583,-0.000794287366105575,0.0005550554911154335,0.001904398348336442,0.0032537412055574496,0.004603084062778459,0.002749199154520033,0.0032326587022931635,0.0032263670768393035,0.0034908168331186846,0.003490816833118684,0.0034908168331186846,0.0034920543252410616,0.0030300026179020975,-0.00022526301269874837,9.36355568423211e-05,9.651374303891546e-05,-0.0002166284534440707,-0.00021375026704800797,-0.00021087208065194522,0.00010802648835720858,0.000429803258114834,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
profile_perturb_000_02,rect_v9_0011,rect_v9_0011__half_width_shrink_local,130,train,rectangular_notch,pilot_v9_topup_rectangular_notch,profile_polygon_notch,half_width_shrink_local,small,2,1,0,-0.0005090873060255961,5.690326493924613e-05,-0.002284562458214623,-0.1308957868897304,0.009445400000547059,0.001500000013038516,"{""angle_deg"": -0.1308957868897304, ""angle_rad"": -0.002284562458214623, ""area_proxy"": 6.0277042005415245e-05, ""center_offsets"": [-0.00022526301269874837, 9.36355568423211e-05, 9.651374303891546e-05, -0.0002166284534440707, -0.00021375026704800797, -0.00021087208065194522, 0.00010802648835720858, 0.000429803258114834], ""center_x"": -0.0005090873060255961, ""center_y"": 5.690326493924613e-05, ""depth_proxy"": 0.001500000013038516, ""half_widths"": [0.002749199154520033, 0.0032326587022931635, 0.0032263670768393035, 0.0030021024764820686, 0.003002102476482068, 0.0034908168331186846, 0.0034920543252410616, 0.0030300026179020975], ""length"": 0.009445400000547059, ""occupancy"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""roughness"": 1.7146255643262299e-07, ""u_stations"": [-0.0048423159377686, -0.003492973080547591, -0.002143630223326583, -0.000794287366105575, 0.0005550554911154335, 0.001904398348336442, 0.0032537412055574496, 0.004603084062778459]}","[[-0.005345624522489194, 0.0025918953838465334], [-0.003994452150890709, 0.0033911687519642673], [-0.002645120613138975, 0.0033846726662613994], [-0.0012970090155037203, 0.0028441846164908775], [5.233689584727911e-05, 0.002843980140022638], [0.0014027993046990318, 0.003332488744836323], [0.0027528700108497457, 0.003649541315183697], [0.004101888880232415, 0.00350618408831212], [0.004088044431817004, -0.0025538053332316442], [0.0027369143923020997, -0.0033345491094869334], [0.0013868493404025576, -0.003649126702048301], [3.861992655231116e-05, -0.0031602091442981374], [-0.0013107259847986883, -0.0031600046678298987], [-0.0026598622745159575, -0.003068044648286807], [-0.004009222559465311, -0.0030741317806542603], [-0.005358185945919514, -0.0029064885765090966]]",16,6.027704200541524e-05,1,1,1,0,1,1,297.0,0.4125,0.584070796460177,0.5875,2.2578123895197706,0.000244357178318308,7.184102396919869e-08,-0.04192610133456246,rect_v9_0011,real COMSOL forward required,-0.0048423159377686,-0.003492973080547591,-0.002143630223326583,-0.000794287366105575,0.0005550554911154335,0.001904398348336442,0.0032537412055574496,0.004603084062778459,0.002749199154520033,0.0032326587022931635,0.0032263670768393035,0.0030021024764820686,0.003002102476482068,0.0034908168331186846,0.0034920543252410616,0.0030300026179020975,-0.00022526301269874837,9.36355568423211e-05,9.651374303891546e-05,-0.0002166284534440707,-0.00021375026704800797,-0.00021087208065194522,0.00010802648835720858,0.000429803258114834,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
profile_perturb_000_03,rect_v9_0011,rect_v9_0011__half_width_expand_local,130,train,rectangular_notch,pilot_v9_topup_rectangular_notch,profile_polygon_notch,half_width_expand_local,small,2,1,0,-0.0005090873060255961,5.690326493924613e-05,-0.002284562458214623,-0.1308957868897304,0.009445400000547059,0.001500000013038516,"{""angle_deg"": -0.1308957868897304, ""angle_rad"": -0.002284562458214623, ""area_proxy"": 6.545267446708283e-05, ""center_offsets"": [-0.00022526301269874837, 9.36355568423211e-05, 9.651374303891546e-05, -0.0002166284534440707, -0.00021375026704800797, -0.00021087208065194522, 0.00010802648835720858, 0.000429803258114834], ""center_x"": -0.0005090873060255961, ""center_y"": 5.690326493924613e-05, ""depth_proxy"": 0.001500000013038516, ""half_widths"": [0.002749199154520033, 0.0032326587022931635, 0.0036780584675968056, 0.0034908168331186846, 0.003490816833118684, 0.0039795311897553, 0.0034920543252410616, 0.0030300026179020975], ""length"": 0.009445400000547059, ""occupancy"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""roughness"": 2.7153009644893585e-07, ""u_stations"": [-0.0048423159377686, -0.003492973080547591, -0.002143630223326583, -0.000794287366105575, 0.0005550554911154335, 0.001904398348336442, 0.0032537412055574496, 0.004603084062778459]}","[[-0.005345624522489194, 0.0025918953838465334], [-0.003994452150890709, 0.0033911687519642673], [-0.002644088696842586, 0.003836362878279773], [-0.0012958925180029672, 0.0033328976977728014], [5.345339334803239e-05, 0.0033326932213045618], [0.0014039158021997848, 0.0038212018261182456], [0.0027528700108497457, 0.003649541315183697], [0.004101888880232415, 0.00350618408831212], [0.004088044431817004, -0.0025538053332316442], [0.0027369143923020997, -0.0033345491094869334], [0.001385732842901804, -0.0041378397833302235], [3.750342905155799e-05, -0.0036489222255800613], [-0.0013118424822994414, -0.0036487177491118226], [-0.0026608941908123464, -0.003519734860305181], [-0.004009222559465311, -0.0030741317806542603], [-0.005358185945919514, -0.0029064885765090966]]",16,6.545267446708282e-05,1,1,1,0,1,1,322.0,0.44722222222222224,0.6180422264875239,0.5527777777777778,2.2739303485304854,0.00023528356159833688,1.7190856398551154e-07,0.04033802785352514,rect_v9_0011,real COMSOL forward required,-0.0048423159377686,-0.003492973080547591,-0.002143630223326583,-0.000794287366105575,0.0005550554911154335,0.001904398348336442,0.0032537412055574496,0.004603084062778459,0.002749199154520033,0.0032326587022931635,0.0036780584675968056,0.0034908168331186846,0.003490816833118684,0.0039795311897553,0.0034920543252410616,0.0030300026179020975,-0.00022526301269874837,9.36355568423211e-05,9.651374303891546e-05,-0.0002166284534440707,-0.00021375026704800797,-0.00021087208065194522,0.00010802648835720858,0.000429803258114834,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
profile_perturb_000_04,rect_v9_0011,rect_v9_0011__smooth_global_width_scale,130,train,rectangular_notch,pilot_v9_topup_rectangular_notch,profile_polygon_notch,smooth_global_width_scale,small,2,1,0,-0.0005090873060255961,5.690326493924613e-05,-0.002284562458214623,-0.1308957868897304,0.009445400000547059,0.001500000013038516,"{""angle_deg"": -0.1308957868897304, ""angle_rad"": -0.002284562458214623, ""area_proxy"": 6.794800010367605e-05, ""center_offsets"": [-0.00022526301269874837, 9.36355568423211e-05, 9.651374303891546e-05, -0.0002166284534440707, -0.00021375026704800797, -0.00021087208065194522, 0.00010802648835720858, 0.000429803258114834], ""center_x"": -0.0005090873060255961, ""center_y"": 5.690326493924613e-05, ""depth_proxy"": 0.001500000013038516, ""half_widths"": [0.002969135086881636, 0.003491271398476617, 0.003484476442986448, 0.0037700821797681796, 0.003770082179768179, 0.0037700821797681796, 0.0037714186712603467, 0.0032724028273342655], ""length"": 0.009445400000547059, ""occupancy"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""roughness"": 1.1619855546533808e-07, ""u_stations"": [-0.0048423159377686, -0.003492973080547591, -0.002143630223326583, -0.000794287366105575, 0.0005550554911154335, 0.001904398348336442, 0.0032537412055574496, 0.004603084062778459]}","[[-0.005345122065551981, 0.002811830742260759], [-0.003993861334547724, 0.0036497807732690088], [-0.0026445309466838953, 0.0036427813588433278], [-0.0012952545194311082, 0.0036121623156481863], [5.4091391919891324e-05, 0.003611957839179947], [0.0014034373032708906, 0.003611753362711708], [0.0027535082355916517, 0.003928904932170523], [0.004102442658169032, 0.003748583665173871], [0.004087490653880387, -0.0027962049100933952], [0.0027362761675601937, -0.0036139127264737587], [0.0013862113418306983, -0.003928391319923686], [3.6865430479698946e-05, -0.003928186843455446], [-0.0013124804808713004, -0.003927982366987207], [-0.002660451940971037, -0.0033261533408687357], [-0.004009813375808295, -0.003332743801959002], [-0.005358688402856727, -0.003126423934923322]]",16,6.794800010367604e-05,1,1,1,0,1,1,330.0,0.4583333333333333,0.6285714285714286,0.5416666666666666,2.273440292193116,0.00026283133535150757,1.6577023001913786e-08,0.08000000000000011,rect_v9_0011,real COMSOL forward required,-0.0048423159377686,-0.003492973080547591,-0.002143630223326583,-0.000794287366105575,0.0005550554911154335,0.001904398348336442,0.0032537412055574496,0.004603084062778459,0.002969135086881636,0.003491271398476617,0.003484476442986448,0.0037700821797681796,0.003770082179768179,0.0037700821797681796,0.0037714186712603467,0.0032724028273342655,-0.00022526301269874837,9.36355568423211e-05,9.651374303891546e-05,-0.0002166284534440707,-0.00021375026704800797,-0.00021087208065194522,0.00010802648835720858,0.000429803258114834,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
profile_perturb_000_05,rect_v9_0011,rect_v9_0011__centerline_offset_small,130,train,rectangular_notch,pilot_v9_topup_rectangular_notch,profile_polygon_notch,centerline_offset_small,small,3,1,0,-0.0005090873060255961,5.690326493924613e-05,-0.002284562458214623,-0.1308957868897304,0.009445400000547059,0.001500000013038516,"{""angle_deg"": -0.1308957868897304, ""angle_rad"": -0.002284562458214623, ""area_proxy"": 6.291481491081115e-05, ""center_offsets"": [-0.00022526301269874837, 0.00035396580031285595, 0.0005656126325197333, 0.0003683282938650235, 0.00037120648026108617, 0.0002582268088288727, 0.0003683567318277435, 0.00042980325811483406], ""center_x"": -0.0005090873060255961, ""center_y"": 5.690326493924613e-05, ""depth_proxy"": 0.001500000013038516, ""half_widths"": [0.002749199154520033, 0.0032326587022931635, 0.0032263670768393035, 0.0034908168331186846, 0.003490816833118684, 0.0034908168331186846, 0.0034920543252410616, 0.0030300026179020975], ""length"": 0.009445400000547059, ""occupancy"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""roughness"": 9.96215324634243e-08, ""u_stations"": [-0.0048423159377686, -0.003492973080547591, -0.002143630223326583, -0.000794287366105575, 0.0005550554911154335, 0.001904398348336442, 0.0032537412055574496, 0.004603084062778459]}","[[-0.005345624522489194, 0.0025918953838465334], [-0.0039938574107070855, 0.0036514983160739587], [-0.002644048928359105, 0.003853770331576277], [-0.0012945561489408548, 0.003917852918571937], [5.478976241014475e-05, 0.0039176484421036975], [0.0014038709894789018, 0.003801586410151201], [0.002753464751033369, 0.003909870879293388], [0.004101888880232415, 0.00350618408831212], [0.004088044431817004, -0.0025538053332316442], [0.002737509132485723, -0.0030742195453772416], [0.0013879210251824276, -0.003180029036733423], [3.883979811367035e-05, -0.003063967004780926], [-0.0013105061132373291, -0.0030637625283126873], [-0.0026587905897360875, -0.002598946982971929], [-0.0040086278192816875, -0.0028138022165445694], [-0.005358185945919514, -0.0029064885765090966]]",16,6.291481491081114e-05,1,1,1,0,1,1,312.0,0.43333333333333335,0.6046511627906976,0.5666666666666667,1.476899984238977,0.0003968626966596886,0.0,0.0,rect_v9_0011,real COMSOL forward required,-0.0048423159377686,-0.003492973080547591,-0.002143630223326583,-0.000794287366105575,0.0005550554911154335,0.001904398348336442,0.0032537412055574496,0.004603084062778459,0.002749199154520033,0.0032326587022931635,0.0032263670768393035,0.0034908168331186846,0.003490816833118684,0.0034908168331186846,0.0034920543252410616,0.0030300026179020975,-0.00022526301269874837,0.00035396580031285595,0.0005656126325197333,0.0003683282938650235,0.00037120648026108617,0.0002582268088288727,0.0003683567318277435,0.00042980325811483406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
profile_perturb_000_06,rect_v9_0011,rect_v9_0011__roughness_noise,130,train,rectangular_notch,pilot_v9_topup_rectangular_notch,profile_polygon_notch,roughness_noise,small,3,1,0,-0.0005090873060255961,5.690326493924613e-05,-0.002284562458214623,-0.1308957868897304,0.009445400000547059,0.001500000013038516,"{""angle_deg"": -0.1308957868897304, ""angle_rad"": -0.002284562458214623, ""area_proxy"": 6.306666025801491e-05, ""center_offsets"": [-0.00022526301269874837, 9.36355568423211e-05, 9.651374303891546e-05, -0.0002166284534440707, -0.00021375026704800797, -0.00021087208065194522, 0.00010802648835720858, 0.000429803258114834], ""center_x"": -0.0005090873060255961, ""center_y"": 5.690326493924613e-05, ""depth_proxy"": 0.001500000013038516, ""half_widths"": [0.00252926322215843, 0.0033942916374078216, 0.0031295760645341244, 0.003735174011436993, 0.003141735149806816, 0.003700265843105806, 0.003352372152231419, 0.0033027028535132863], ""length"": 0.009445400000547059, ""occupancy"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""roughness"": 9.515055295680005e-07, ""u_stations"": [-0.0048423159377686, -0.003492973080547591, -0.002143630223326583, -0.000794287366105575, 0.0005550554911154335, 0.001904398348336442, 0.0032537412055574496, 0.004603084062778459]}","[[-0.005346126979426407, 0.002371960025432308], [-0.003994082890676343, 0.0035528012652797304], [-0.0026453417380596293, 0.003287881906543176], [-0.0012953342692525905, 0.0035772542384137633], [5.2655895133208635e-05, 0.002983612448960331], [0.001403277803627926, 0.003541937208242862], [0.002752550898478793, 0.003509859506690284], [0.004102511880411108, 0.00377888361228159], [0.00408742143163831, -0.0028265048572011136], [0.0027372335046730524, -0.0031948673009935206], [0.0013863708414736634, -0.00385857516545484], [3.8300927266381635e-05, -0.0032998414532358303], [-0.001312400731049818, -0.0038930742897527845], [-0.0026596411495953026, -0.002971253888568584], [-0.004009591819679676, -0.0032357642939697235], [-0.005357683488982301, -0.002686553218094871]]",16,6.306666025801491e-05,1,1,1,0,1,1,313.0,0.43472222222222223,0.6060019361084221,0.5652777777777778,2.213544560674965,0.00022449370483485168,8.518839971045762e-07,0.0024135070160980943,rect_v9_0011,real COMSOL forward required,-0.0048423159377686,-0.003492973080547591,-0.002143630223326583,-0.000794287366105575,0.0005550554911154335,0.001904398348336442,0.0032537412055574496,0.004603084062778459,0.00252926322215843,0.0033942916374078216,0.0031295760645341244,0.003735174011436993,0.003141735149806816,0.003700265843105806,0.003352372152231419,0.0033027028535132863,-0.00022526301269874837,9.36355568423211e-05,9.651374303891546e-05,-0.0002166284534440707,-0.00021375026704800797,-0.00021087208065194522,0.00010802648835720858,0.000429803258114834,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
profile_perturb_000_07,rect_v9_0011,rect_v9_0011__mixed_profile_perturbation,130,train,rectangular_notch,pilot_v9_topup_rectangular_notch,profile_polygon_notch,mixed_profile_perturbation,mixed,4,1,0,-0.0010878846268968243,0.00060768776140297,0.13177236897604816,7.550000598768185,0.009445400000547059,0.001500000013038516,"{""angle_deg"": 7.550000598768185, ""angle_rad"": 0.13177236897604816, ""area_proxy"": 6.694526983896015e-05, ""center_offsets"": [-0.00022526301269874837, 9.36355568423211e-05, 9.651374303891546e-05, -0.0002166284534440707, -0.00021375026704800797, -0.00021087208065194522, 0.00010802648835720858, 0.000429803258114834], ""center_x"": -0.0010878846268968243, ""center_y"": 0.00060768776140297, ""depth_proxy"": 0.001500000013038516, ""half_widths"": [0.002982856621303628, 0.003507405928994401, 0.004114017207552086, 0.00378750520394515, 0.0037875052039451494, 0.004451223366044175, 0.003788847871887185, 0.0032875258805884883], ""length"": 0.009445400000547059, ""occupancy"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""roughness"": 5.348412883208558e-07, ""u_stations"": [-0.004520655705330995, -0.003260945565733062, -0.0020012354261351294, -0.0007415252865371969, 0.0005181848530607361, 0.001777894992658669, 0.003037605132256601, 0.004297315271854535]}","[[-0.005931672806752143, 0.0027473995609344068], [-0.004793705383942572, 0.0037490502495663705], [-0.0036249978490926985, 0.004518770810183945], [-0.0022921636397406743, 0.0040501770608877274], [-0.001043752629114177, 0.004218545312970185], [0.0001174515550936958, 0.005044877673592082], [0.0014113706319694112, 0.00486989351313191], [0.0026837505007334603, 0.0048574198629821146], [0.0035476554386623437, -0.001660629992640237], [0.0024070143179740233, -0.002642107980194309], [0.0012871560640241725, -0.0037803899812418633], [-4.846177302094941e-05, -0.003290794124784881], [-0.0012968727836474468, -0.0034591623768673377], [-0.002543905286045732, -0.003637931293378695], [-0.0038720197725012695, -0.003204947236530557], [-0.005147829680377488, -0.0031665943895405847]]",16,6.694526983896015e-05,1,1,1,0,1,1,333.0,0.4625,0.6324786324786325,0.5375,0.34253326955562097,0.0005209172117917205,4.3521975585743145e-07,0.0640620962465299,rect_v9_0011,real COMSOL forward required,-0.004520655705330995,-0.003260945565733062,-0.0020012354261351294,-0.0007415252865371969,0.0005181848530607361,0.001777894992658669,0.003037605132256601,0.004297315271854535,0.002982856621303628,0.003507405928994401,0.004114017207552086,0.00378750520394515,0.0037875052039451494,0.004451223366044175,0.003788847871887185,0.0032875258805884883,-0.00022526301269874837,9.36355568423211e-05,9.651374303891546e-05,-0.0002166284534440707,-0.00021375026704800797,-0.00021087208065194522,0.00010802648835720858,0.000429803258114834,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
profile_perturb_001_00,rect_p2_0046,rect_p2_0046__true_reference,45,train,rectangular_notch,pilot_v2_rectangular_notch,original_rect_rot_reference,true_reference,reference,0,0,1,0.0,-0.001,0.0,0.0,0.01,0.0016,"{""angle_deg"": 0.0, ""angle_rad"": 0.0, ""area_proxy"": 0.00014000000000000001, ""center_offsets"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""center_x"": 0.0, ""center_y"": -0.001, ""depth_proxy"": 0.0016, ""half_widths"": [0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007], ""length"": 0.01, ""occupancy"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""roughness"": 0.0, ""u_stations"": [-0.005, -0.0035714285714285718, -0.002142857142857143, -0.0007142857142857142, 0.0007142857142857142, 0.0021428571428571425, 0.0035714285714285718, 0.005]}","[[-0.005, 0.006], [-0.0035714285714285718, 0.006], [-0.002142857142857143, 0.006], [-0.0007142857142857142, 0.006], [0.0007142857142857142, 0.006], [0.0021428571428571425, 0.006], [0.0035714285714285718, 0.006], [0.005, 0.006], [0.005, -0.008], [0.0035714285714285718, -0.008], [0.0021428571428571425, -0.008], [0.0007142857142857142, -0.008], [-0.0007142857142857142, -0.008], [-0.002142857142857143, -0.008], [-0.0035714285714285718, -0.008], [-0.005, -0.008]]",16,0.00014,1,1,1,0,1,1,704.0,0.5714285714285714,0.7272727272727273,0.0,0.0,0.0032790552198778003,-1.1211000925475288e-07,0.5492289807704829,rect_p2_0046,true_reference reuses original NPZ arrays,-0.005,-0.0035714285714285718,-0.002142857142857143,-0.0007142857142857142,0.0007142857142857142,0.0021428571428571425,0.0035714285714285718,0.005,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
profile_perturb_001_01,rect_p2_0046,rect_p2_0046__profile_extracted_reference,45,train,rectangular_notch,pilot_v2_rectangular_notch,profile_polygon_notch,profile_extracted_reference,reference,1,1,0,5.0755245361793746e-05,0.00010126494035683984,0.03273804275082437,1.8757516791410962,0.011909303321152025,0.001500000013038516,"{""angle_deg"": 1.8757516791410962, ""angle_rad"": 0.03273804275082437, ""area_proxy"": 9.036753232590148e-05, ""center_offsets"": [0.00023435475282140123, -0.00012417286617022854, -0.000186028978036137, 9.002380798690088e-05, -0.00028912250352844464, 0.0002836017889223162, -5.430713303707046e-05, -0.000433453448362945], ""center_x"": 5.0755245361793746e-05, ""center_y"": 0.00010126494035683984, ""depth_proxy"": 0.001500000013038516, ""half_widths"": [0.0032315956348349336, 0.003788100848233295, 0.003700680738068211, 0.003807482429186897, 0.004101039193724858, 0.003991418817567087, 0.003807482435586309, 0.0034918418693158635], ""length"": 0.011909303321152025, ""occupancy"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""roughness"": 1.1211000925475288e-07, ""u_stations"": [-0.005998303159410291, -0.004296974113531431, -0.00259564506765257, -0.0008943160217737096, 0.0008070130241051516, 0.0025083420699840127, 0.004209671115862872, 0.0059110001617417324]}","[[-0.006057781936318804, 0.00336902049760286], [-0.004363844775000648, 0.0036225802415361997], [-0.00265854123402382, 0.003529072242162819], [-0.0009706554988954035, 0.003967409804058375], [0.0007325634374101681, 0.003937554353752165], [0.0024178224322419744, 0.004456098353790222], [0.004135320977085152, 0.003990220910617619], [0.0058584802793839996, 0.0033514945591255575], [0.006087071577828731, -0.003628447029419762], [0.0043845754927046435, -0.003620663543612145], [0.002679118230932641, -0.0035224617427748943], [0.0010010354671730665, -0.004260129016755916], [-0.0007214009836948455, -0.0036434746373794225], [-0.0024162784263984096, -0.0038683232746713164], [-0.004115859063177192, -0.003949561808919184], [-0.005846227498900943, -0.0030907075236334524]]",16,9.036753232590148e-05,1,1,1,0,1,1,445.0,0.6274787535410765,0.7711053089643168,0.3678977272727273,3.1350243587705315,0.0,0.0,0.0,rect_p2_0046,real COMSOL forward required,-0.005998303159410291,-0.004296974113531431,-0.00259564506765257,-0.0008943160217737096,0.0008070130241051516,0.0025083420699840127,0.004209671115862872,0.0059110001617417324,0.0032315956348349336,0.003788100848233295,0.003700680738068211,0.003807482429186897,0.004101039193724858,0.003991418817567087,0.003807482435586309,0.0034918418693158635,0.00023435475282140123,-0.00012417286617022854,-0.000186028978036137,9.002380798690088e-05,-0.00028912250352844464,0.0002836017889223162,-5.430713303707046e-05,-0.000433453448362945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
