angle_deg,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_zero_sum
-30.0,train,6,0.969481585870274,0.9843478709968544,0.015064965607511957,0.18690144717366267,0
-20.0,train,5,0.941810653363915,0.9694482615531538,0.027066346132736174,0.4294415963873364,0
-10.0,train,5,0.902570590295559,0.9472187867957766,0.024561551893484666,0.6707941274543291,0
10.0,train,5,0.9595972702767229,0.9793009613743676,0.02877696533158718,0.2864706202037791,0
20.0,train,6,0.9518772854103722,0.9749651089285658,0.01606382673453467,0.3339943499250142,0
30.0,train,5,0.9349304916177378,0.9655405930235521,0.024960317460317457,0.3069699905720162,0
-30.0,val,1,0.7068702290076336,0.8282647584973166,0.0,2.819334970857554,0
-20.0,val,1,0.7929373996789727,0.8845120859444942,0.005357142857142857,2.5166392575904055,0
-10.0,val,1,0.62,0.7654320987654321,0.025,4.321517969348938,0
10.0,val,2,0.7217281923164276,0.8378537735849056,0.016697588126159554,3.2137825532797146,0
20.0,val,1,0.9858407079646018,0.9928698752228164,0.0035587188612099642,0.13240332735757865,0
30.0,val,2,0.6149501661129568,0.7597099214134244,0.02060185185185185,1.5657525453251746,0
-30.0,test,1,0.6375838926174496,0.7786885245901639,0.03333333333333333,3.6760449124967844,0
-20.0,test,2,0.6797830270881009,0.7976320208354751,0.15081834946980177,3.5473622932896802,0
-10.0,test,2,0.7324011153926162,0.8455090739406722,0.0073120157153770595,2.9124359116327705,0
10.0,test,1,0.5509065550906556,0.710431654676259,0.017825311942959002,6.029952150322445,0
20.0,test,1,0.8631756756756757,0.9265639165911151,0.0338680926916221,1.0348161317028206,0
30.0,test,1,0.7663398692810458,0.8677150786308974,0.06964285714285715,1.9931415273211945,0
-30.0,all,8,0.8951679546058409,0.9391300636335758,0.015465390872300634,0.9520985707995393,0
-20.0,all,8,0.8576945900843438,0.9158771794226517,0.05529069655755341,1.469821478263306,0
-10.0,all,8,0.8247068977828784,0.8990680225782075,0.02030397386227218,1.6875450537357655,0
10.0,all,8,0.8490436613883907,0.9103305010897385,0.02438816435665175,1.736233794737596,0
20.0,all,8,0.9450350120128138,0.9711530556731658,0.01672622149500501,0.39639819482631056,0
30.0,all,8,0.833861582449456,0.9018547358219382,0.02945601851851852,0.8324370713539531,0
