candidate,epoch,train_loss,val_loss
PPF1_profile_station_mlp,1,1.174130529165268,1.9559069871902466
PPF1_profile_station_mlp,2,1.1610273867845535,1.9356597661972046
PPF1_profile_station_mlp,3,1.1425122916698456,1.8822238445281982
PPF1_profile_station_mlp,4,1.0990537703037262,1.7832335233688354
PPF1_profile_station_mlp,5,1.0402983725070953,1.6499801874160767
PPF1_profile_station_mlp,6,0.9857891649007797,1.5616710186004639
PPF1_profile_station_mlp,7,0.931733176112175,1.609104871749878
PPF1_profile_station_mlp,8,0.8890851885080338,1.6140509843826294
PPF1_profile_station_mlp,9,0.8637509346008301,1.5333001613616943
PPF1_profile_station_mlp,10,0.850275844335556,1.522230863571167
PPF1_profile_station_mlp,11,0.8207689076662064,1.621849775314331
PPF1_profile_station_mlp,12,0.8042657375335693,1.6752766370773315
PPF1_profile_station_mlp,13,0.7988094836473465,1.6163465976715088
PPF1_profile_station_mlp,14,0.7849530875682831,1.6250529289245605
PPF1_profile_station_mlp,15,0.7734818309545517,1.7484534978866577
PPF1_profile_station_mlp,16,0.7631826549768448,1.7839354276657104
PPF1_profile_station_mlp,17,0.7595963478088379,1.7514461278915405
PPF1_profile_station_mlp,18,0.7540337890386581,1.8129491806030273
PPF1_profile_station_mlp,19,0.7473803460597992,1.8287817239761353
PPF1_profile_station_mlp,20,0.7435465008020401,1.8469425439834595
PPF1_profile_station_mlp,21,0.7434925585985184,1.8727843761444092
PPF1_profile_station_mlp,22,0.7277950793504715,1.8943843841552734
PPF1_profile_station_mlp,23,0.7170426398515701,1.9734622240066528
PPF1_profile_station_mlp,24,0.7126379609107971,1.8525049686431885
PPF1_profile_station_mlp,25,0.7198559492826462,1.9667922258377075
PPF1_profile_station_mlp,26,0.6969811618328094,1.9777374267578125
PPF1_profile_station_mlp,27,0.7052019089460373,1.96967351436615
PPF1_profile_station_mlp,28,0.6848396807909012,2.0230209827423096
PPF1_profile_station_mlp,29,0.6750743687152863,2.0183029174804688
PPF1_profile_station_mlp,30,0.6696858108043671,2.0045440196990967
PPF1_profile_station_mlp,31,0.6638519763946533,2.034127712249756
PPF1_profile_station_mlp,32,0.6554023176431656,1.9919122457504272
PPF1_profile_station_mlp,33,0.6509003341197968,2.0701797008514404
PPF1_profile_station_mlp,34,0.6452016085386276,2.064549207687378
PPF1_profile_station_mlp,35,0.6338737979531288,2.080986261367798
PPF1_profile_station_mlp,36,0.6296563595533371,2.02253794670105
PPF1_profile_station_mlp,37,0.6250035762786865,2.0827834606170654
PPF1_profile_station_mlp,38,0.616387739777565,2.0679566860198975
PPF1_profile_station_mlp,39,0.6140836775302887,2.118560314178467
