sample_id,split,true_shape_type,pred_shape_type,shape_correct,true_L_mm,pred_L_mm,L_error_mm,true_W_mm,pred_W_mm,W_error_mm,true_D_mm,pred_D_mm,D_error_mm,true_burial_depth_mm,pred_burial_depth_mm,burial_depth_error_mm,true_center_x_mm,pred_center_x_mm,center_x_error_mm,true_center_y_mm,pred_center_y_mm,center_y_error_mm,true_center_z_mm,pred_center_z_mm,center_z_error_mm,center_xyz_error_mm,total_abs_normalized_error,burial_depth_level,size_level,aspect_bin
internal_pilot_001,train,internal_sphere,internal_sphere,True,1.0,1.4633783102035522,0.46337828040122986,1.0,1.357191562652588,0.3571915328502655,1.0,1.029159426689148,0.029159359633922577,0.7999999523162842,0.8124784827232361,0.012478500604629517,-12.0,-10.106781005859375,1.8932195901870728,-3.0,-2.7348997592926025,0.26510027050971985,-1.2999999523162842,-1.415421724319458,0.11542171984910965,1.9151711463928223,0.12122304737567902,shallow,small,compact
internal_pilot_002,train,internal_sphere,internal_sphere,True,1.0,1.088079571723938,0.08807948231697083,1.0,0.9412791132926941,0.05872093513607979,1.0,1.0111196041107178,0.011119525879621506,0.7999999523162842,0.7474839091300964,0.05251605808734894,-12.0,-11.925183296203613,0.07481686770915985,3.0,2.473107099533081,0.5268929600715637,-1.2999999523162842,-1.2271106243133545,0.07288938015699387,0.5371466875076294,0.0546080581843853,shallow,small,compact
internal_pilot_003,train,internal_sphere,internal_sphere,True,1.2000000476837158,1.4191327095031738,0.21913263201713562,1.2000000476837158,1.4452890157699585,0.2452889382839203,1.2000000476837158,1.1724073886871338,0.027592644095420837,0.7999999523162842,0.8635497689247131,0.06354978680610657,-12.0,-10.68648624420166,1.3135141134262085,-3.0,-2.601670742034912,0.3983292281627655,-1.399999976158142,-1.4943145513534546,0.0943145751953125,1.3758200407028198,0.09983337670564651,shallow,medium,compact
internal_pilot_004,train,internal_sphere,internal_sphere,True,1.2000000476837158,1.5255202054977417,0.32552018761634827,1.2000000476837158,1.249656081199646,0.04965602606534958,1.2000000476837158,1.1947715282440186,0.005228561349213123,0.7999999523162842,0.7782359719276428,0.02176401950418949,-12.0,-11.286172866821289,0.7138270735740662,3.0,2.327474594116211,0.6725254654884338,-1.399999976158142,-1.419690728187561,0.01969083771109581,0.9809319376945496,0.06653827428817749,shallow,medium,compact
internal_pilot_005,train,internal_sphere,internal_sphere,True,1.399999976158142,1.4349660873413086,0.034966155886650085,1.399999976158142,1.6323812007904053,0.23238128423690796,1.399999976158142,1.382901668548584,0.017098266631364822,0.7999999523162842,0.7511058449745178,0.04889414459466934,-12.0,-11.253396034240723,0.7466040849685669,-3.0,-2.7281885147094727,0.2718116044998169,-1.5,-1.4791135787963867,0.02088642120361328,0.7948178052902222,0.057853419333696365,shallow,large,compact
internal_pilot_006,test,internal_sphere,internal_sphere,True,1.399999976158142,1.4911857843399048,0.0911857932806015,1.399999976158142,1.2386499643325806,0.16135001182556152,1.399999976158142,1.210955262184143,0.18904462456703186,0.7999999523162842,1.859673261642456,1.0596733093261719,-12.0,-8.386366844177246,3.613633155822754,3.0,1.5202269554138184,1.4797730445861816,-1.5,-2.8072550296783447,1.3072551488876343,4.117886543273926,0.5369745492935181,shallow,large,compact
internal_pilot_007,train,internal_sphere,internal_sphere,True,1.0,1.0298324823379517,0.029832474887371063,1.0,0.9942073225975037,0.005792709998786449,1.0,0.9729077816009521,0.027092289179563522,2.0,1.9421303272247314,0.05786982178688049,-12.0,-11.900762557983398,0.09923707693815231,-3.0,-3.024606227874756,0.024606240913271904,-2.5,-2.4819538593292236,0.018046004697680473,0.10382255166769028,0.03635171055793762,medium,small,compact
internal_pilot_008,train,internal_sphere,internal_sphere,True,1.0,1.1562507152557373,0.15625067055225372,1.0,1.0365843772888184,0.03658432886004448,1.0,1.0117522478103638,0.011752243153750896,2.0,1.8813600540161133,0.11864002048969269,-12.0,-11.59189224243164,0.4081073999404907,3.0,2.6156623363494873,0.38433772325515747,-2.5,-2.4145195484161377,0.08548028022050858,0.5670749545097351,0.06443408131599426,medium,small,compact
internal_pilot_009,train,internal_sphere,internal_sphere,True,1.2000000476837158,1.3637856245040894,0.16378553211688995,1.2000000476837158,1.343248963356018,0.14324893057346344,1.2000000476837158,1.174349069595337,0.025650952011346817,2.0,2.0078928470611572,0.007892725989222527,-12.0,-11.064166069030762,0.9358339309692383,-3.0,-2.3075151443481445,0.6924849152565002,-2.5999999046325684,-2.6523473262786865,0.05234731361269951,1.165358543395996,0.08493921905755997,medium,medium,compact
internal_pilot_010,train,internal_sphere,internal_sphere,True,1.2000000476837158,1.622423529624939,0.42242348194122314,1.2000000476837158,1.249266505241394,0.049266498535871506,1.2000000476837158,1.2212467193603516,0.021246612071990967,2.0,1.9068683385849,0.09313179552555084,-12.0,-10.88200569152832,1.1179940700531006,3.0,2.5955240726470947,0.40447595715522766,-2.5999999046325684,-2.4787447452545166,0.12125517427921295,1.1950792074203491,0.09932883083820343,medium,medium,compact
internal_pilot_011,val,internal_sphere,internal_sphere,True,1.399999976158142,1.6552320718765259,0.2552320957183838,1.399999976158142,1.4243658781051636,0.02436595968902111,1.399999976158142,1.0589162111282349,0.34108373522758484,2.0,2.130978584289551,0.13097840547561646,-12.0,-9.889250755310059,2.1107494831085205,-3.0,-2.4627346992492676,0.5372653007507324,-2.700000047683716,-2.4838902950286865,0.21610967814922333,2.188748598098755,0.39532899856567383,medium,large,compact
