seed,source_index,sample_id,split,defect_group,task_group,defect_type,component_count,component_types,component_type_combination,source_dataset,source_pack,angle_deg,vertex_count,distance_bin,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,true_task_label,pred_task_label,task_gate_correct,gate_prob_single,gate_prob_cc2,gate_prob_cc3,true_count_label,pred_count_label,count_head_correct,true_connected_component_count,pred_connected_component_count,predicted_component_count_correct,predicted_component_count_is_1,predicted_component_count_is_2,predicted_component_count_is_3,component_count_error,missed_component_flag,merged_component_flag,split_component_flag,extra_fragment_flag,largest_component_area_ratio,second_largest_component_area_ratio,third_largest_component_area_ratio,component_recall_heuristic,polygon_component_present,notes
2026,110,single_rect_p2_0111,train,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,,0.6,0.7164502164502164,0.8348045397225725,0.11190476190476191,0.684850172403616,373,420,0,0.045684583485126495,0.16360563039779663,0.20929020643234253,0.0,1.0,0.046667128801345825,0,0,1,1.0,3.139021023655263e-27,2.499374660882162e-26,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,111,single_rect_p2_0112,test,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,,0.6,0.7841191066997518,0.8789986091794159,0.13988095238095238,2.6975149416893207,383,336,0,0.031552694737911224,0.1649150252342224,0.19646772742271423,0.0,0.9999979734420776,0.049099624156951904,0,0,1,1.0,5.578569186477097e-42,1.5487896783157433e-29,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,112,single_rect_p2_0113,train,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,,0.6,0.8971119133574007,0.9457659372026641,0.00946969696969697,0.2587592266057895,523,528,0,0.016265414655208588,0.07920557260513306,0.09547098726034164,0.0,0.9999871253967285,0.06547519564628601,0,0,1,1.0,1.2166869762686313e-17,1.2846649091735607e-11,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,113,single_rect_p2_0114,test,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,,0.6,0.6587473002159827,0.7942708333333334,0.4935064935064935,1.2574860899988671,460,308,0,0.057328905910253525,0.22538655996322632,0.28271546959877014,0.0,0.9999862909317017,0.05774801969528198,0,0,1,1.0,1.4864009054709236e-24,2.0275631455049605e-19,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,114,single_rect_p2_0115,test,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,,0.6,0.673469387755102,0.8048780487804879,0.1693121693121693,2.7087297175438354,442,378,0,0.05907394737005234,0.2009042501449585,0.25997820496559143,0.0,0.9999958276748657,0.054591674357652664,0,0,1,1.0,1.0793571586316127e-24,2.530103824711948e-16,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,115,single_rect_p2_0116,test,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,,0.6,0.7097625329815304,0.8302469135802469,0.11764705882352941,1.5297875641573124,342,306,0,0.034944068640470505,0.18303143978118896,0.21797551214694977,0.0,0.9999992847442627,0.04289291054010391,0,0,1,1.0,1.6648792813634916e-33,8.789564441490394e-22,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,116,single_rect_p2_0117,test,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,,0.6,0.7528344671201814,0.8589909443725744,0.1595238095238095,0.4322922042414378,353,420,0,0.028137316927313805,0.14800488948822021,0.17614220082759857,0.0,0.9999983310699463,0.04493886977434158,0,0,1,1.0,7.407543942113848e-41,9.20517379922826e-28,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,117,single_rect_p2_0118,test,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,,0.6,0.806930693069307,0.8931506849315068,0.005494505494505495,0.9868835817449306,366,364,0,0.03569122031331062,0.11730170249938965,0.15299291908740997,0.0,0.9999998807907104,0.04557930678129196,0,0,1,1.0,1.0267608120785443e-38,2.7296677415430454e-32,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,118,single_rect_p2_0119,train,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,,0.6,0.724025974025974,0.839924670433145,0.2532894736842105,1.1496446998192693,454,608,0,0.04421590641140938,0.15862780809402466,0.20284371078014374,0.0,0.9999982118606567,0.05761883407831192,0,0,1,1.0,9.155383516666192e-41,2.7929897683261915e-27,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,119,single_rect_p2_0120,test,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,,0.6,0.615916955017301,0.7623126338329764,0.3527336860670194,2.280191632910849,367,567,0,0.07263949513435364,0.22194236516952515,0.2945818603038788,0.0,0.9999997615814209,0.04704625904560089,0,0,1,1.0,1.5843781086888544e-40,3.2731425923893955e-27,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,120,single_rect_v9_0001,val,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v9_topup_rectangular_notch,0.0,0,,0.6,0.5555555555555556,0.7142857142857143,0.16533333333333333,4.762268837246989,437,375,0,0.12862718105316162,0.30782264471054077,0.4364498257637024,0.0,0.9999990463256836,0.05409038066864014,0,0,1,1.0,2.2778547660416574e-16,4.035246442546381e-11,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,121,single_rect_v9_0002,train,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v9_topup_rectangular_notch,0.0,0,,0.6,0.6357615894039735,0.7773279352226721,0.20363636363636364,3.9791383283413446,438,550,0,0.07349836826324463,0.228898286819458,0.3031577169895172,0.0,0.9988190531730652,0.05541514605283737,0,0,1,0.9933919310569763,3.872152592521161e-05,0.006569267250597477,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
