candidate,seed,split,group_type,group,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,bz_mse,composite,macro_area_composite,avg_polygon_area,invalid_count,out_of_image_count
deformable_quad_forward_screening,42,val,area_bin,small,0.5,43,0.24229383213489283,0.37231339828013177,1.5117014092318966,1.2088398754943248,0,0,43,0.35516404620436737,-0.8970941788168719,0.023074672547587143,10.02211429282719,0,0
deformable_quad_forward_screening,42,val,area_bin,medium,0.5,43,0.391029534003667,0.5569595965320701,0.7616528491339735,1.0295974515205206,0,0,43,0.3019264722459538,0.18633628140176361,0.023074672547587143,13.715566528737211,0,0
deformable_quad_forward_screening,42,val,area_bin,large,0.5,43,0.46004267408581917,0.6231222398135285,0.3031829988414781,1.0305349388441374,0,2,41,0.1895138490078754,0.7799819150578697,0.023074672547587143,15.896436232400939,0,0
deformable_quad_forward_screening,42,val,signal_bin,low_signal,0.5,43,0.27836037956444437,0.41512570864346693,1.2888827028980019,1.136728590311006,0,1,42,0.3633305201696795,-0.5953966146900906,0.023074672547587143,9.613825873677435,0,0
deformable_quad_forward_screening,42,val,signal_bin,non_low_signal,0.5,86,0.4075028303299675,0.5686347629911316,0.6438272771546731,1.0661218377739885,0,1,85,0.24163692364425854,0.3323103161664259,0.023074672547587143,15.010145590143951,0,0
deformable_quad_forward_screening,42,val,defect_type,polygon,0.5,72,0.3084719434202885,0.45185606158857006,1.12157554513852,1.126917629295753,0,1,71,0.2910658635923432,-0.36124754012966154,0.023074672547587143,12.239855652866883,0,0
deformable_quad_forward_screening,42,val,defect_type,rotated_rect,0.5,57,0.43517122462083374,0.6003396255180588,0.5269765405253074,1.0425918968884569,0,1,56,0.2710043091588376,0.5085343096135851,0.023074672547587143,14.438551338843759,0,0
deformable_quad_forward_screening,42,val,overall,all,0.6,129,0.36402718064271056,0.5164484751274747,0.7894793830907385,1.0917524107435876,0,2,127,0.28220145581939887,0.09099627267944677,0.09099627267944659,13.21137235132178,0,0
deformable_quad_forward_screening,42,val,area_bin,small,0.6,43,0.24108122399456774,0.36996501990213637,1.4032434555450215,1.2123960495688195,0,0,43,0.35516404620436737,-0.7921972116483174,0.09099627267944659,10.02211429282719,0,0
deformable_quad_forward_screening,42,val,area_bin,medium,0.6,43,0.39208723453309513,0.557598686588238,0.7000083537320956,1.0317428772186124,0,0,43,0.3019264722459538,0.24967756738923752,0.09099627267944659,13.715566528737211,0,0
deformable_quad_forward_screening,42,val,area_bin,large,0.6,43,0.45891308340046894,0.6217817188920496,0.26518633999509883,1.0311183054433313,0,2,41,0.1895138490078754,0.8155084622974196,0.09099627267944659,15.896436232400939,0,0
deformable_quad_forward_screening,42,val,signal_bin,low_signal,0.6,43,0.2774561346568745,0.41329004120202584,1.1893698004313047,1.1394637258246887,0,1,42,0.3633305201696795,-0.4986236245724043,0.09099627267944659,9.613825873677435,0,0
deformable_quad_forward_screening,42,val,signal_bin,non_low_signal,0.6,86,0.4073127036356286,0.5680276920901991,0.5895341744204553,1.0678967532030372,0,1,85,0.24163692364425854,0.38580622130537245,0.09099627267944659,15.010145590143951,0,0
deformable_quad_forward_screening,42,val,defect_type,polygon,0.6,72,0.3069108537850045,0.4495879004688542,1.0378004292002818,1.1288680381452043,0,1,71,0.2910658635923432,-0.2813016749464231,0.09099627267944659,12.239855652866883,0,0
deformable_quad_forward_screening,42,val,defect_type,rotated_rect,0.6,57,0.436174119831392,0.6009039378541531,0.47581069326815784,1.0448695129731245,0,1,56,0.2710043091588376,0.5612673644173871,0.09099627267944659,14.438551338843759,0,0
deformable_quad_forward_screening,42,val,overall,all,0.7,129,0.36410649275107027,0.5158427961360889,0.7131741756528471,1.091302760522957,0,3,126,0.28220145581939887,0.16677511323431204,0.16677511323431193,13.21137235132178,0,0
deformable_quad_forward_screening,42,val,area_bin,small,0.7,43,0.23982530294573615,0.36757513862167807,1.2853165504869144,1.211398829207864,0,0,43,0.35516404620436737,-0.6779161089195002,0.16677511323431193,10.02211429282719,0,0
deformable_quad_forward_screening,42,val,area_bin,medium,0.7,43,0.3941943340424262,0.5591619101527163,0.6311382990597512,1.027870232802491,0,0,43,0.3019264722459538,0.32221794513539137,0.16677511323431193,13.715566528737211,0,0
deformable_quad_forward_screening,42,val,area_bin,large,0.7,43,0.4582998412650484,0.6207913396338719,0.22306767741187575,1.0346392195585161,0,3,40,0.1895138490078754,0.8560235034870446,0.16677511323431193,15.896436232400939,0,0
deformable_quad_forward_screening,42,val,signal_bin,low_signal,0.7,43,0.276423636947723,0.41146728272792504,1.0798687696334568,1.1349626523117686,0,2,41,0.3633305201696795,-0.3919778499578088,0.16677511323431193,9.613825873677435,0,0
deformable_quad_forward_screening,42,val,signal_bin,non_low_signal,0.7,86,0.4079479206527438,0.5680305528401707,0.5298268786625424,1.0694728146285513,0,1,85,0.24163692364425854,0.44615159483037203,0.16677511323431193,15.010145590143951,0,0
deformable_quad_forward_screening,42,val,defect_type,polygon,0.7,72,0.30672757638026293,0.4485677681388604,0.9461290725594969,1.1266739960345957,0,1,71,0.2910658635923432,-0.19083372804037357,0.16677511323431193,12.239855652866883,0,0
