model,observation_config,seed,best_epoch,selected_model,val_selection_score,test_total_normalized_mae,test_burial_depth_mae_mm,test_center_xyz_component_mae_mm,test_shape_macro_f1,test_catastrophic_failure_count,test_geometry_branch_failure_count
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,5,True,0.9783618450164795,0.6295425295829773,0.8789317607879639,2.094998359680176,0.6,4,1
O3_richer_observation_tail_aware,R1_plus_R2_combined,42,11,False,1.0515693167845408,0.5210983753204346,0.6190357208251953,1.5733941793441772,0.3333333333333333,2,0
O2_richer_observation_feature_fusion,R1_plus_R2_combined,42,6,False,1.1483042351404826,0.5924105644226074,0.8343492746353149,1.8385238647460938,0.3333333333333333,2,0
O2_richer_observation_feature_fusion,R1_plus_R2_combined,2026,18,False,1.1723471442858378,0.42827531695365906,0.4850636124610901,1.3703142404556274,0.6,0,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,123,9,False,1.2824737230936685,0.44509652256965637,0.4863068461418152,1.5635813474655151,0.5,3,0
O1_richer_observation_conv1d,R1_plus_R2_combined,42,11,False,1.2987479877471924,0.5871881246566772,0.9588714241981506,2.0380911827087402,0.5,4,0
O2_richer_observation_feature_fusion,R1_plus_R2_combined,123,68,False,1.3002304963270823,0.4260655641555786,0.44394904375076294,1.3340544700622559,0.5,0,0
O1_richer_observation_conv1d,R1_plus_R2_combined,2026,75,False,1.3260147027174631,0.4393751323223114,0.6099489331245422,1.2260446548461914,0.6,1,0
O1_richer_observation_conv1d,R1_plus_R2_combined,123,7,False,1.3679272584120434,0.6225138306617737,0.8544063568115234,1.6770308017730713,0.3333333333333333,3,0
