variant,seed,feature_set,selected_by_validation,sample_id,split,curvature_template,depth_bin,aspect_bin,size_bin,normalized_param_mae_mean,dimension_param_mae_norm,curvature_param_mae_norm,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error,curvature_mae_mean,projected_mask_iou,projected_mask_dice,profile_depth_rmse_m
H1_curv_fusion_F1F2_w0p5,42,FS_F1F2_curvature_only,False,rbc_pilot_003_shallow_large_wide_sharp,train,sharp,shallow,wide,large_wide,0.23226702213287354,0.10655947774648666,0.3579745590686798,0.10214932262897491,0.33243465423583984,0.3496468961238861,0.07224202156066895,0.08066916465759277,0.08141845464706421,0.07810988277196884,0.948905109489051,0.9737827715355806,0.00011844153050333261
H1_curv_fusion_F1F2_w0p5,42,FS_F1F2_curvature_only,False,rbc_pilot_004_shallow_elongated_sharp,train,sharp,shallow,narrow,elongated,0.3349643051624298,0.058820586651563644,0.6111080646514893,0.009240582585334778,0.4328307807445526,0.11990579962730408,0.11991363763809204,0.1336391568183899,0.14567142724990845,0.13307474553585052,0.8666666666666667,0.9285714285714286,5.812366362079047e-05
H1_curv_fusion_F1F2_w0p5,42,FS_F1F2_curvature_only,False,rbc_pilot_006_medium_medium_balanced_sharp,train,sharp,medium,balanced,medium_balanced,0.17862729728221893,0.06674201041460037,0.2905125617980957,0.030746683478355408,0.26124343276023865,0.20915968716144562,0.04600244760513306,0.0748140811920166,0.0686713457107544,0.06316262483596802,0.9477124183006536,0.9731543624161074,6.357463280437514e-05
H1_curv_fusion_F1F2_w0p5,42,FS_F1F2_curvature_only,False,rbc_pilot_007_medium_large_wide_sharp,train,sharp,medium,wide,large_wide,0.41475749015808105,0.12667906284332275,0.7028358578681946,0.07684528827667236,0.43815746903419495,0.41204366087913513,0.11308777332305908,0.20310288667678833,0.1445421576499939,0.15357761085033417,0.9214092140921409,0.9590973201692524,0.00013037239841651171
H1_curv_fusion_F1F2_w0p5,42,FS_F1F2_curvature_only,False,rbc_pilot_008_medium_elongated_sharp,train,sharp,medium,narrow,elongated,0.4390462338924408,0.3065924644470215,0.5715000033378601,1.0639597177505493,1.0983963012695312,0.7683106064796448,0.10096746683120728,0.1387668251991272,0.13353180885314941,0.12442203611135483,0.8759124087591241,0.933852140077821,0.0002467466110829264
H1_curv_fusion_F1F2_w0p5,42,FS_F1F2_curvature_only,False,rbc_pilot_010_deep_medium_balanced_sharp,train,sharp,deep,balanced,medium_balanced,0.16380071640014648,0.08105508238077164,0.24654634296894073,0.3683883547782898,0.2724267542362213,0.18778955936431885,0.04077059030532837,0.0563126802444458,0.06326490640640259,0.053449392318725586,0.9842105263157894,0.9920424403183024,7.335142436204478e-05
H1_curv_fusion_F1F2_w0p5,42,FS_F1F2_curvature_only,False,rbc_pilot_011_deep_large_wide_sharp,train,sharp,deep,wide,large_wide,0.19801749289035797,0.06855925172567368,0.32747575640678406,0.3279987573623657,0.3931298851966858,0.0995313748717308,0.049498677253723145,0.08686959743499756,0.07717639207839966,0.07118155807256699,0.9862068965517241,0.9930555555555556,0.00011504143913043663
H1_curv_fusion_F1F2_w0p5,42,FS_F1F2_curvature_only,False,rbc_pilot_013_shallow_small_compact_round,train,round,shallow,compact,small_compact,0.15854325890541077,0.0035818417090922594,0.3135046660900116,0.0,0.04825787618756294,0.0,0.0744086503982544,0.06565433740615845,0.06606465578079224,0.06870921701192856,0.9782608695652174,0.989010989010989,2.151508851966355e-05
H1_curv_fusion_F1F2_w0p5,42,FS_F1F2_curvature_only,False,rbc_pilot_014_shallow_medium_balanced_round,train,round,shallow,balanced,medium_balanced,0.33786284923553467,0.06859826296567917,0.6071274280548096,0.0008102506399154663,0.27325934171676636,0.2209397554397583,0.0972360372543335,0.17888396978378296,0.12214082479476929,0.13275361061096191,0.9557522123893806,0.9773755656108597,7.385860226349905e-05
H1_curv_fusion_F1F2_w0p5,42,FS_F1F2_curvature_only,False,rbc_pilot_016_shallow_elongated_round,train,round,shallow,narrow,elongated,0.09888333827257156,0.053206101059913635,0.1445605754852295,0.4762820899486542,0.10613584518432617,0.09026937186717987,0.03944438695907593,0.05410975217819214,0.004375576972961426,0.032643239945173264,0.9540229885057471,0.9764705882352941,3.64504630852025e-05
