model,family,selected_by_validation,split,group_field,group_value,sample_count,normalized_param_mae_mean,L_mae_mm,W_mae_mm,D_mae_mm,curvature_mae_mean,projected_mask_iou,projected_mask_dice,profile_depth_rmse_m,volume_proxy_rel_error
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,train,curvature_template,LD_dominant,31,0.15145241108632856,0.5372494954255319,0.5268522366400687,0.2532672061014079,0.04005763463435635,0.9289662389412214,0.9624440482966665,0.0001218692718060582,0.1459370136997021
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,train,curvature_template,WD_dominant,34,0.1430423349580344,0.4552290222662337,0.5385217193294974,0.19246712373569608,0.0396034040433519,0.9261477076607597,0.9607499829107996,9.767209594964002e-05,0.1455109731719159
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,train,curvature_template,boxy,32,0.18461874616332352,0.7568406632635742,0.6239704901818186,0.26247872615931556,0.04916192863311153,0.9067702015864584,0.9499803391796893,0.00013132969141338435,0.17332995650971725
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,train,curvature_template,round,33,0.14901524782180786,0.6381365282065941,0.6131917807188901,0.2698370582903876,0.03487505042699702,0.9076046045382997,0.9500681846112651,0.00011273422740376907,0.20533263113304648
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,train,curvature_template,sharp,32,0.18534597341204062,0.3778464160859585,0.5746880501974374,0.21438966266578063,0.056981606170666055,0.922815726521948,0.9588614224938516,9.442251220548314e-05,0.1593452460739708
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,train,depth_bin,deep,49,0.1594324346099581,0.7025431639381817,0.6697685946615375,0.31298513512830345,0.035850159586312214,0.9265855586044146,0.9612218024700473,0.0001436566107425891,0.10541564892096719
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,train,depth_bin,medium,57,0.16430238088625565,0.4857671583692233,0.5569912411533949,0.1751371683846963,0.0489999947205529,0.9231670474162089,0.95888318089156,8.3942324029825e-05,0.12001078994318923
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,train,depth_bin,shallow,56,0.16316809518528835,0.4890655361648117,0.5119178207990315,0.23643726326658257,0.04618061910982111,0.9064546971881496,0.9496471741078157,0.00011105736271994309,0.2658396785484871
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,train,aspect_bin,balanced,44,0.17286363785917108,0.5864246585829691,0.45430467650294304,0.19045640401203523,0.05249133120841262,0.9318937237224919,0.964027027654744,9.54040588732658e-05,0.10563951352741045
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,train,aspect_bin,compact,43,0.1603460552733998,0.5677111332499704,0.29408814844697023,0.23470018940522921,0.04772369055683876,0.9171226680400832,0.9558162970918359,0.00010647659490682282,0.18191664137385083
