split,group_name,group_value,sample_count,forward_mse_mean,forward_mae_mean,forward_rmse_mean,forward_nrmse_mean,forward_correlation_mean,forward_amplitude_abs_error_mean,forward_abs_peak_index_error_mean
train,overall,rect_rot,268,0.1807153171915283,0.311066708346801,0.40115403959265844,0.4627902227624131,0.9382068281071145,1.2600206163392138,28.517412935323385
train,defect_type,rectangular_notch,134,0.2350432414895118,0.36226499536589013,0.4719377605422815,0.49118343502425116,0.9307074228798244,1.7446898257554466,28.440298507462693
train,defect_type,rotated_rect,134,0.12638739289354478,0.25986842132771193,0.3303703186430353,0.434397010500575,0.9457062333344046,0.7753514069229809,28.594527363184085
train,source_pack,pilot_v2_rectangular_notch,81,0.2648693507100329,0.39160129906218727,0.5049169495087743,0.37917957176316686,0.9450489225942437,2.1464029329794423,20.547325102880656
train,source_pack,pilot_v3_rotated_rect,30,0.2943966540197531,0.4115016102790833,0.5323124261299499,0.40245273711249513,0.9387659298633084,2.2188107411066693,21.94444444444444
train,source_pack,pilot_v7_topup_rotated_rect,16,0.061769113410264254,0.1902280831709504,0.24448099835503564,0.3500102675620582,0.9547952651909516,0.27683550119400024,29.47916666666667
train,source_pack,pilot_v8_topup_rotated_rect,24,0.05139331294534107,0.17782618353764215,0.22195538069493295,0.32771930844060465,0.9624182121415422,0.2115090787410736,30.569444444444446
train,source_pack,pilot_v9_topup_rectangular_notch,53,0.18945994249211168,0.31743026707532274,0.42153560381990574,0.6623591505742104,0.908789281806844,1.130750926035755,40.503144654088054
train,source_pack,pilot_v9_topup_rotated_rect,64,0.09191040159203112,0.23696628771722317,0.2978378875610823,0.5104717126583556,0.9404202505696677,0.4347996935248375,30.75
val,overall,rect_rot,66,0.18015745519237084,0.30594490920052386,0.39718721661365286,0.451981464946171,0.9348156416802392,1.2299216479966135,31.424242424242433
val,defect_type,rectangular_notch,33,0.23025658218698067,0.3504880973787019,0.45968385788143357,0.5132508788128002,0.9236584602120287,1.6052337126298384,32.02020202020202
val,defect_type,rotated_rect,33,0.130058328197761,0.2614017210223458,0.334690575345872,0.3907120510795416,0.9459728231484497,0.8546095833633885,30.82828282828283
val,source_pack,pilot_v2_rectangular_notch,19,0.3083641944747222,0.4100614676350041,0.5484356747227166,0.43263658805940447,0.9225134746755191,2.2884930184012964,23.631578947368425
val,source_pack,pilot_v3_rotated_rect,9,0.2825668255488078,0.4068322380383809,0.5282618650200332,0.40423076551507536,0.9373504979369649,2.347117821375529,19.85185185185185
val,source_pack,pilot_v7_topup_rotated_rect,8,0.06644351128488779,0.199856111779809,0.25329487563553676,0.36562706031088,0.9537842958736739,0.25558996200561523,31.499999999999996
val,source_pack,pilot_v8_topup_rotated_rect,8,0.0814470830373466,0.2097438182681799,0.2679760868399534,0.4124352535940744,0.9503794693270375,0.4267009496688843,32.833333333333336
val,source_pack,pilot_v9_topup_rectangular_notch,14,0.1242533940821886,0.2696385234594345,0.3392349635968352,0.6226559876924088,0.9252123691544346,0.6779532262257167,43.404761904761905
val,source_pack,pilot_v9_topup_rotated_rect,8,0.07071233075112104,0.210995901376009,0.2650330626786945,0.37886528559369514,0.9434548201075575,0.20246607065200806,40.5
test,overall,rect_rot,66,0.20402116828005423,0.32119208642027597,0.41345579403770955,0.45149890841862,0.9362786386216083,1.2064870523683953,27.91414141414141
test,defect_type,rectangular_notch,33,0.2569414801669843,0.36456786637956445,0.47291334034557947,0.4728885544130926,0.9286307374811735,1.5000496199636748,21.07070707070707
test,defect_type,rotated_rect,33,0.15110085639312412,0.27781630646098743,0.35399824772983957,0.43010926242414727,0.9439265397620429,0.9129244847731157,34.757575757575765
test,source_pack,pilot_v2_rectangular_notch,20,0.3551669083535671,0.44184987992048264,0.5799504028977511,0.4320453618439347,0.9221632020551602,2.1667158126831056,20.083333333333336
test,source_pack,pilot_v3_rotated_rect,9,0.3231654018163681,0.424855993853675,0.5492242357948924,0.397689093099763,0.9426142863260841,2.1713049146864147,23.77777777777778
test,source_pack,pilot_v7_topup_rotated_rect,8,0.08311570691876113,0.21199039742350578,0.2667500804883079,0.39036281948791857,0.9484196940792523,0.5112096071243286,29.625
test,source_pack,pilot_v8_topup_rotated_rect,8,0.07418554183095694,0.20975099131464958,0.266090322263385,0.38195446820768447,0.9436865711367208,0.3079588711261749,52.125
test,source_pack,pilot_v9_topup_rectangular_notch,13,0.10582543680301079,0.24567246093199804,0.30824093641916145,0.53572423528872,0.9385807919827326,0.47440932347224307,22.589743589743595
test,source_pack,pilot_v9_topup_rotated_rect,8,0.1024287068285048,0.24628788232803345,0.30952510386464127,0.5544831900667708,0.9411496391856092,0.5039269924163818,34.875
