model,selected_model,seed,best_epoch,best_val_selection_score,train_total_normalized_mae,val_total_normalized_mae,test_total_normalized_mae,test_L_mae_mm,test_W_mae_mm,test_D_mae_mm,test_burial_depth_mae_mm,test_center_xyz_component_mae_mm,test_shape_accuracy,test_shape_macro_f1,test_catastrophic_failure_count,test_catastrophic_failure_rate,test_geometry_branch_failure_count,test_geometry_branch_failure_rate,test_center_p95_mm,test_center_max_mm,test_burial_p95_mm,test_burial_max_mm
H1_B2_feature_fusion_burial_head_hardcase_aug,False,42,256,0.6533837318086603,0.07101745903491974,0.32844078540802,0.4362282156944275,0.8349550366401672,1.1311061382293701,0.08154087513685226,0.5375959277153015,1.7171448469161987,0.75,0.762861169837914,10,0.16666666666666666,2,0.03333333333333333,8.379115104675293,12.820659637451172,1.763537049293518,2.7449653148651123
H1_B2_feature_fusion_burial_head_hardcase_aug,False,123,296,0.6507321584196317,0.06989679485559464,0.31927284598350525,0.43697500228881836,0.8749867677688599,1.0809462070465088,0.08441054821014404,0.5245035290718079,1.7105273008346558,0.8,0.8086680761099365,10,0.16666666666666666,2,0.03333333333333333,9.899396896362305,15.461932182312012,1.8631027936935425,2.5121443271636963
H1_B2_feature_fusion_burial_head_hardcase_aug,False,2026,289,0.6758169843746324,0.06600594520568848,0.3377629816532135,0.4364608824253082,0.8282517790794373,1.053179144859314,0.08467064797878265,0.5290311574935913,1.8700662851333618,0.7666666666666667,0.7783650458069062,10,0.16666666666666666,6,0.1,9.175617218017578,19.619077682495117,1.9709967374801636,2.4626991748809814
H2_B2_hardcase_tail_weighted,True,42,294,0.6327493662963987,0.05670883134007454,0.32293206453323364,0.4217822849750519,0.7921104431152344,1.0381202697753906,0.07965001463890076,0.5313616991043091,1.7092565298080444,0.7666666666666667,0.7781625781625782,9,0.15,2,0.03333333333333333,8.886297225952148,14.608484268188477,1.5986099243164062,2.8612265586853027
H2_B2_hardcase_tail_weighted,False,123,271,0.6373889519437131,0.06641936302185059,0.3227459192276001,0.4452356696128845,0.8563754558563232,1.1316746473312378,0.08018118888139725,0.5750623941421509,1.7904317378997803,0.8,0.8078023072720845,10,0.16666666666666666,3,0.05,8.771566390991211,17.763362884521484,1.8145747184753418,2.789435386657715
H2_B2_hardcase_tail_weighted,False,2026,217,0.6495804354389579,0.06475202739238739,0.33512696623802185,0.4171726107597351,0.7857325673103333,1.0519516468048096,0.08314234763383865,0.5035814046859741,1.6684794425964355,0.75,0.7625566374240816,9,0.15,5,0.08333333333333333,9.106953620910645,17.34344482421875,1.6454105377197266,2.6830055713653564
