seed,selected_seed,sample_id,split,curvature_template,depth_bin,aspect_bin,size_bin,clip_applied,clip_fraction,normalized_param_mae_mean,dimension_param_mae_norm,curvature_param_mae_norm,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error,curvature_mae_mean,projected_mask_iou,projected_mask_dice,projected_mask_area_error,projected_mask_center_error_px,profile_depth_rmse_m,volume_proxy_rel_error
42,True,rbc_pilot_001_shallow_small_compact_sharp,val,sharp,shallow,compact,small_compact,True,0.15178571428571427,0.7219820618629456,0.18846173584461212,1.255502462387085,1.7347214221954346,0.0,0.44649362564086914,0.24143946170806885,0.255390465259552,0.343458354473114,0.2800960838794708,0.7543859649122807,0.86,0.32558139534883723,0.0,0.00026458632783032954,1.1026044439231397
42,True,rbc_pilot_002_shallow_medium_balanced_sharp,test,sharp,shallow,balanced,medium_balanced,False,0.15178571428571427,0.8116030097007751,0.3572830259799957,1.2659229040145874,1.6172062158584595,2.0583794116973877,0.5569814443588257,0.2652554512023926,0.26376593112945557,0.32085150480270386,0.28329095244407654,0.7766990291262136,0.8743169398907104,0.22330097087378642,0.0,0.00033666129456833005,0.2295076627622405
42,True,rbc_pilot_003_shallow_large_wide_sharp,train,sharp,shallow,wide,large_wide,False,0.15178571428571427,0.8687078356742859,0.47547638416290283,1.2619391679763794,0.5430374145507812,0.6986865997314453,1.825421929359436,0.3207934498786926,0.2074999213218689,0.3234044313430786,0.2838992774486542,0.8441558441558441,0.9154929577464789,0.18461538461538463,0.0,0.0009146187803708017,1.8325008198857717
42,True,rbc_pilot_004_shallow_elongated_sharp,train,sharp,shallow,narrow,elongated,False,0.15178571428571427,0.8116199970245361,0.34960854053497314,1.2736314535140991,0.5468335151672363,2.7966480255126953,0.5326645970344543,0.2933465242385864,0.26509737968444824,0.2995256781578064,0.2859898507595062,0.6341463414634146,0.7761194029850746,0.5769230769230769,0.0,0.0003657634661067277,1.2913784881705157
42,True,rbc_pilot_005_medium_small_compact_sharp,val,sharp,medium,compact,small_compact,False,0.15178571428571427,0.8347558975219727,0.39144814014434814,1.2780637741088867,4.820054531097412,1.42780601978302,0.14659319818019867,0.288591206073761,0.26574528217315674,0.3059709668159485,0.28676915168762207,0.5263157894736842,0.6896551724137931,0.9,0.0,0.00024047886836342514,1.2392322525472457
42,True,rbc_pilot_006_medium_medium_balanced_sharp,train,sharp,medium,balanced,medium_balanced,False,0.15178571428571427,0.7846396565437317,0.2853676378726959,1.2839115858078003,1.6647670269012451,1.7571253776550293,0.3154999613761902,0.2981734275817871,0.26826244592666626,0.2987632155418396,0.28839969635009766,0.8344827586206897,0.9097744360902256,0.16551724137931034,0.0,0.000157839574967511,0.16876970594360288
42,True,rbc_pilot_007_medium_large_wide_sharp,train,sharp,medium,wide,large_wide,False,0.15178571428571427,0.8180375099182129,0.36116185784339905,1.2749131917953491,2.7546491622924805,1.8804957866668701,0.3575328588485718,0.32655972242355347,0.21679949760437012,0.31759291887283325,0.28698405623435974,0.8911764705882353,0.942457231726283,0.10882352941176471,0.0,0.0003927079669665545,0.1078692949260138
42,True,rbc_pilot_008_medium_elongated_sharp,train,sharp,medium,narrow,elongated,False,0.15178571428571427,0.8964788317680359,0.5303575396537781,1.262600064277649,2.257009983062744,4.2010087966918945,0.47371000051498413,0.3163427710533142,0.24527829885482788,0.29119372367858887,0.28427159786224365,0.627906976744186,0.7714285714285715,0.5547445255474452,0.0,0.00020737732120323926,0.4825082843981686
42,True,rbc_pilot_009_deep_small_compact_sharp,test,sharp,deep,compact,small_compact,False,0.15178571428571427,0.9617679119110107,0.651746928691864,1.2717889547348022,2.647932529449463,0.4444010555744171,2.211451530456543,0.2859031558036804,0.2643072009086609,0.3057284951210022,0.2853129506111145,0.7053571428571429,0.8272251308900523,0.4177215189873418,0.0,0.0007665271405130625,0.20624886162813022
42,True,rbc_pilot_010_deep_medium_balanced_sharp,train,sharp,deep,balanced,medium_balanced,False,0.15178571428571427,0.9618584513664246,0.649333655834198,1.2743831872940063,1.7280802726745605,1.2599742412567139,2.1484875679016113,0.30813050270080566,0.25744616985321045,0.2942713499069214,0.2866159975528717,0.9157894736842105,0.9560439560439561,0.08421052631578947,0.0,0.0007222051499411464,0.4153102877171333
42,True,rbc_pilot_011_deep_large_wide_sharp,train,sharp,deep,wide,large_wide,False,0.15178571428571427,1.191175937652588,1.0727895498275757,1.3095623254776,5.661524772644043,4.434164524078369,2.067497730255127,0.33321183919906616,0.22133922576904297,0.32951122522354126,0.294687420129776,0.7053364269141531,0.8272108843537415,0.29466357308584684,0.0,0.0006795693770982325,0.5094706805080367
