case_type,method,split,rank,sample_id,curvature_template,depth_bin,aspect_bin,curvature_mae_mean,wLD_abs_error,wWD_abs_error,wLW_abs_error,D_mae_mm,projected_mask_dice,profile_depth_rmse_m
high_w_error_low_profile_error,20.77_neural_selected_seed,test,1,rbc_v3topup_110_test_sharp_medium_compact,sharp,medium,compact,0.2788890600204468,0.2776215076446533,0.2459723949432373,0.3130732774734497,0.5396185517311096,0.7973856209150327,0.00017279497114941478
low_w_error_high_profile_error,20.77_neural_selected_seed,test,1,rbc_v2topup_043_deep_medium_balanced_LD_dominant,LD_dominant,deep,balanced,0.13661883771419525,0.30385732650756836,0.04411965608596802,0.061879515647888184,1.23860502243042,0.9601873536299765,0.0006377585814334452
low_w_error_high_profile_error,20.77_neural_selected_seed,test,2,rbc_v3topup_120_test_round_deep_narrow,round,deep,narrow,0.08341868966817856,0.04247629642486572,0.10850000381469727,0.09927976131439209,1.5264866352081299,0.7136150234741784,0.0005864002741873264
low_w_error_high_profile_error,20.77_neural_selected_seed,test,3,rbc_pilot_015_shallow_large_wide_round,round,shallow,wide,0.06031004711985588,0.0028125643730163574,0.10415422916412354,0.07396334409713745,1.2839637994766235,0.9139072847682119,0.0005763266235589981
high_dice_high_profile_error,20.77_neural_selected_seed,test,1,rbc_v2topup_043_deep_medium_balanced_LD_dominant,LD_dominant,deep,balanced,0.13661883771419525,0.30385732650756836,0.04411965608596802,0.061879515647888184,1.23860502243042,0.9601873536299765,0.0006377585814334452
high_dice_high_curvature_error,20.77_neural_selected_seed,test,1,rbc_v3topup_123_test_boxy_medium_wide,boxy,medium,wide,0.36494752764701843,0.3910132050514221,0.3494616746902466,0.3543676733970642,0.13078446686267853,0.9567496723460026,0.00030969345243647695
high_dice_high_curvature_error,20.77_neural_selected_seed,test,2,rbc_pilot_002_shallow_medium_balanced_sharp,sharp,shallow,balanced,0.27115824818611145,0.26321905851364136,0.24584871530532837,0.304407000541687,0.22848090529441833,0.9607843137254902,0.00019230064935982227
high_w_error_low_profile_error,20.77_neural_selected_seed,val,1,rbc_v3topup_088_val_sharp_shallow_compact,sharp,shallow,compact,0.31814250349998474,0.3205445408821106,0.2953149080276489,0.3385680913925171,0.1311235874891281,0.8543689320388349,0.00014166223991196603
high_w_error_low_profile_error,20.77_neural_selected_seed,val,2,rbc_v3topup_102_val_boxy_medium_balanced,boxy,medium,balanced,0.2863329350948334,0.31500887870788574,0.287897527217865,0.2560924291610718,0.16323617100715637,0.7579908675799086,0.00013901562488172203
low_w_error_high_profile_error,20.77_neural_selected_seed,val,1,rbc_v3topup_097_val_round_deep_wide,round,deep,wide,0.05924646183848381,0.024538874626159668,0.07465934753417969,0.07854115962982178,1.9816043376922607,0.919431279620853,0.0007990851299837232
