candidate,seed,split,group_type,group,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,bz_mse,composite,macro_area_composite
current_grid_baseline_val,42,val,overall,all,0.9,200,0.3352410503786938,0.47333697469088565,0.2974684679673945,1.1680362071765928,4,111,89,0.34931466496083885,0.5111095571021849,0.5118061660128489
current_grid_baseline_val,42,val,area_bin,small,0.9,67,0.2671403431774461,0.38256970617643077,0.40762543625358116,1.1374792266814482,4,21,46,0.3193774615178135,0.24208461310029572,0.5118061660128489
current_grid_baseline_val,42,val,area_bin,medium,0.9,66,0.360591361722771,0.5052519951425017,0.21471540871960354,1.2848697054115208,0,40,26,0.29888604166494176,0.6511279481456693,0.5118061660128489
current_grid_baseline_val,42,val,area_bin,large,0.9,67,0.3783698090917458,0.5326655663425546,0.26882943864171843,1.0816791756495612,0,50,17,0.4289278256804196,0.6422059367925819,0.5118061660128489
current_grid_baseline_val,42,val,signal_bin,low_signal,0.9,67,0.25616185896346433,0.3734808899770614,0.4054145872174157,1.2668140174022742,4,37,30,0.33869867336783394,0.22422816172311005,0.5118061660128489
current_grid_baseline_val,42,val,signal_bin,non_low_signal,0.9,133,0.37507793627959884,0.5236404158625115,0.2430895958640004,1.1212467181223227,0,74,59,0.3546625705001722,0.65562875627811,0.5118061660128489
current_grid_baseline_val,42,val,defect_type,multi_defect,0.9,71,0.3459154950460193,0.4958885393175173,0.31551616127212423,1.1679530849444195,0,49,22,0.4391580428403448,0.5262878730914125,0.5118061660128489
current_grid_baseline_val,42,val,defect_type,polygon,0.9,72,0.26210132912219986,0.3793634929284398,0.3552748657814242,1.2528385169913663,4,31,41,0.2655604110590907,0.2861899562692154,0.5118061660128489
current_grid_baseline_val,42,val,defect_type,rotated_rect,0.9,57,0.4143318286082979,0.5639497746629075,0.20196940012097456,1.0669720775464124,0,31,26,0.3431993395482239,0.7763122031502309,0.5118061660128489
current_grid_baseline_val,123,val,overall,all,0.9,200,0.33256863811415727,0.4726055521830527,0.30650780285082446,1.1595637473158347,5,144,56,0.34389207638334485,0.4986663874463856,0.49927893090390496
current_grid_baseline_val,123,val,area_bin,small,0.9,67,0.2584115511670196,0.37317560116583365,0.35428493073326667,1.1278241417340693,5,35,32,0.3232330631103311,0.27730222159958656,0.49927893090390496
current_grid_baseline_val,123,val,area_bin,medium,0.9,66,0.3630314427136667,0.5108582683734254,0.25210208867928985,1.2934171505498164,0,47,19,0.3079950169406154,0.6217876224078023,0.49927893090390496
current_grid_baseline_val,123,val,area_bin,large,0.9,67,0.3767175891871513,0.534353723072442,0.31232436355526727,1.057079134369964,0,62,5,0.3999123720924801,0.598746948704326,0.49927893090390496
