candidate,seed,epoch,train_loss,val_selection_score,val_total_normalized_mae,val_shape_accuracy
internal_conv1d_multitask,42,1,0.6055773094296455,0.725671865940094,0.716921865940094,0.975
internal_conv1d_multitask,42,2,0.3499120734632015,0.6329085612297058,0.6241585612297058,0.975
internal_conv1d_multitask,42,3,0.29723729118704795,0.5927856898307801,0.55778568983078,0.9
internal_conv1d_multitask,42,4,0.27144291400909426,0.5826381778717041,0.5476381778717041,0.9
internal_conv1d_multitask,42,5,0.24347897320985795,0.5155536484718323,0.4893036484718323,0.925
internal_conv1d_multitask,42,6,0.23377467095851898,0.490764149427414,0.48201414942741394,0.975
internal_conv1d_multitask,42,7,0.22310806959867477,0.47311512470245365,0.4643651247024536,0.975
internal_conv1d_multitask,42,8,0.21820293515920638,0.4978649616241455,0.4978649616241455,1.0
internal_conv1d_multitask,42,9,0.21476660519838334,0.4878121864795685,0.4615621864795685,0.925
internal_conv1d_multitask,42,10,0.18463053032755852,0.43943890929222107,0.43943890929222107,1.0
internal_conv1d_multitask,42,11,0.16535705886781216,0.5059016811847687,0.4884016811847687,0.95
internal_conv1d_multitask,42,12,0.16539468858391046,0.4767545199394226,0.4417545199394226,0.9
internal_conv1d_multitask,42,13,0.15417769961059094,0.4255252861976624,0.41677528619766235,0.975
internal_conv1d_multitask,42,14,0.1399481523782015,0.4258931064605713,0.4171431064605713,0.975
internal_conv1d_multitask,42,15,0.1308040041476488,0.45550812125205997,0.44675812125205994,0.975
internal_conv1d_multitask,42,16,0.14749641790986062,0.3951835119724274,0.38643351197242737,0.975
internal_conv1d_multitask,42,17,0.1166944032534957,0.3978576231002808,0.38035762310028076,0.95
internal_conv1d_multitask,42,18,0.10966579467058182,0.3945249402523041,0.3857749402523041,0.975
internal_conv1d_multitask,42,19,0.10570546463131905,0.36890295982360843,0.3601529598236084,0.975
internal_conv1d_multitask,42,20,0.10240115467458963,0.35268790364265445,0.3439379036426544,0.975
internal_conv1d_multitask,42,21,0.08757022973150015,0.3575615882873535,0.3575615882873535,1.0
internal_conv1d_multitask,42,22,0.07890289276838303,0.3560987794399262,0.34734877943992615,0.975
internal_conv1d_multitask,42,23,0.07687591137364506,0.33567053914070133,0.3269205391407013,0.975
internal_conv1d_multitask,42,24,0.0690652096644044,0.3693438172340393,0.3693438172340393,1.0
internal_conv1d_multitask,42,25,0.07169018909335137,0.38079753518104553,0.38079753518104553,1.0
internal_conv1d_multitask,42,26,0.06837029289454222,0.36257164359092714,0.3450716435909271,0.95
internal_conv1d_multitask,42,27,0.061025737598538396,0.35105476617813114,0.3423047661781311,0.975
internal_conv1d_multitask,42,28,0.05724840238690376,0.36200975060462953,0.3445097506046295,0.95
internal_conv1d_multitask,42,29,0.06216908516362309,0.361773716211319,0.34427371621131897,0.95
internal_conv1d_multitask,42,30,0.05475775767117739,0.3187357568740845,0.3099857568740845,0.975
internal_conv1d_multitask,42,31,0.051491389889270066,0.38770419359207153,0.38770419359207153,1.0
internal_conv1d_multitask,42,32,0.06788036245852709,0.40835584044456485,0.3996058404445648,0.975
internal_conv1d_multitask,42,33,0.06247765123844147,0.3632270479202271,0.35447704792022705,0.975
internal_conv1d_multitask,42,34,0.05574175929650664,0.3544137859344483,0.34566378593444824,0.975
internal_conv1d_multitask,42,35,0.046444126451388,0.3159526073932648,0.30720260739326477,0.975
internal_conv1d_multitask,42,36,0.04275260725989938,0.3065684521198273,0.29781845211982727,0.975
internal_conv1d_multitask,42,37,0.040626660082489253,0.32801688551902775,0.3192668855190277,0.975
internal_conv1d_multitask,42,38,0.0378746272996068,0.29817701220512394,0.2894270122051239,0.975
internal_conv1d_multitask,42,39,0.03762103216722608,0.30853725314140323,0.2997872531414032,0.975
internal_conv1d_multitask,42,40,0.0414949307218194,0.306836166381836,0.29808616638183594,0.975
internal_conv1d_multitask,42,41,0.03758878307417035,0.3183092558383942,0.30955925583839417,0.975
internal_conv1d_multitask,42,42,0.04090184299275279,0.3281937921047211,0.31944379210472107,0.975
internal_conv1d_multitask,42,43,0.03605257170274854,0.32373775720596315,0.30623775720596313,0.95
internal_conv1d_multitask,42,44,0.029663735115900636,0.3242583739757538,0.3067583739757538,0.95
internal_conv1d_multitask,42,45,0.03282992853783071,0.30381525397300724,0.2950652539730072,0.975
internal_conv1d_multitask,42,46,0.028534082928672433,0.303922393321991,0.29517239332199097,0.975
internal_conv1d_multitask,42,47,0.02890800698660314,0.3245132648944855,0.3157632648944855,0.975
internal_conv1d_multitask,42,48,0.029352008504793047,0.2898056590557099,0.28105565905570984,0.975
internal_conv1d_multitask,42,49,0.024775542225688695,0.30079738140106205,0.292047381401062,0.975
internal_conv1d_multitask,42,50,0.02779592196457088,0.30368710398674015,0.2949371039867401,0.975
internal_conv1d_multitask,42,51,0.02828008965589106,0.3214332926273346,0.3039332926273346,0.95
internal_conv1d_multitask,42,52,0.025857311114668845,0.3122624242305756,0.30351242423057556,0.975
internal_conv1d_multitask,42,53,0.02440408947877586,0.296966382265091,0.28821638226509094,0.975
internal_conv1d_multitask,42,54,0.024945195438340305,0.2993774199485779,0.2906274199485779,0.975
internal_conv1d_multitask,42,55,0.026581791928038,0.28799767136573795,0.2792476713657379,0.975
internal_conv1d_multitask,42,56,0.026170022273436188,0.29236827135086063,0.2836182713508606,0.975
internal_conv1d_multitask,42,57,0.02238691058009863,0.3058083522319794,0.28830835223197937,0.95
internal_conv1d_multitask,42,58,0.025239965599030256,0.31318340539932255,0.3044334053993225,0.975
