split,group_name,group_value,sample_count,initial_forward_mse_mean,refined_forward_mse_mean,forward_mse_delta_mean,initial_forward_nrmse_mean,refined_forward_nrmse_mean,forward_nrmse_reduction_mean,initial_forward_correlation_mean,refined_forward_correlation_mean,forward_correlation_delta_mean
train,overall,rect_rot,268,0.1807153170108239,0.15014860799897517,-0.030566709011848738,0.46279022378201456,0.4059906974446381,0.056799526337376414,0.9382068280035666,0.9427146961356542,0.004507868132087831
train,defect_type,rectangular_notch,134,0.2350432399048734,0.20259421959574989,-0.03244902030912353,0.49118343355543437,0.4489928318326413,0.042190601722793146,0.9307074228574825,0.9349243983940065,0.004216975536524136
train,defect_type,rotated_rect,134,0.12638739411677444,0.09770299640220048,-0.028684397714573946,0.4343970140085946,0.36298856305663496,0.0714084509519597,0.9457062331496504,0.9505049938773019,0.004798760727651525
train,source_pack,pilot_v2_rectangular_notch,81,0.26486934850245347,0.23516832218493944,-0.02970102631751402,0.3791795701296794,0.3576347591819826,0.021544810947696766,0.9450489225686436,0.9493776946509415,0.00432877208229774
train,source_pack,pilot_v3_rotated_rect,30,0.2943966540197531,0.25923163642485936,-0.03516501759489377,0.4024527377292554,0.3787036402131368,0.02374909751611849,0.9387659296173362,0.9431457269668383,0.004379797349502131
train,source_pack,pilot_v7_topup_rotated_rect,16,0.06176911434158683,0.04424197901971638,-0.017527135321870446,0.3500102714260166,0.295538956686356,0.05447131473966063,0.9547952650735982,0.9596785943503012,0.004883329276702979
train,source_pack,pilot_v8_topup_rotated_rect,24,0.05139331496320665,0.03710089103939632,-0.014292423923810324,0.32771931419779987,0.27926229742730335,0.04845701677049654,0.962418211818728,0.9663611040174853,0.0039428921987573196
train,source_pack,pilot_v9_topup_rectangular_notch,53,0.1894599418595152,0.15281115714812055,-0.03664878471139467,0.66235914935706,0.5886155466383649,0.07374360271869515,0.9087892817894814,0.9128353984541632,0.004046116664681459
train,source_pack,pilot_v9_topup_rotated_rect,64,0.09191040316363797,0.058077490248251706,-0.03383291291538626,0.5104717165892274,0.40388187184309376,0.10658984474613374,0.9404202504485315,0.945715208820763,0.005294958372231517
val,overall,rect_rot,66,0.18015745603902775,0.15217902768177516,-0.027978428357252567,0.451981464772796,0.3998852416032888,0.05209622316950717,0.9348156417965051,0.9397239777339776,0.004908335937472627
val,defect_type,rectangular_notch,33,0.2302565834287441,0.19680898495470034,-0.033447598474043785,0.5132508792037214,0.45672150773139086,0.05652937147233049,0.9236584601338448,0.9289387220711424,0.0052802619372975005
val,defect_type,rotated_rect,33,0.13005832864931136,0.10754907040885,-0.02250925824046135,0.3907120503418706,0.3430489754751868,0.04766307486668384,0.9459728234591652,0.9505092333968129,0.0045364099376477545
val,source_pack,pilot_v2_rectangular_notch,19,0.3083641960432655,0.2777869270036095,-0.030577269039655987,0.4326365884124752,0.4113370644113936,0.02129952400108151,0.9225134743336362,0.9273167976623892,0.004803323328753252
val,source_pack,pilot_v3_rotated_rect,9,0.2825668288601769,0.2507271816333135,-0.031839647226863436,0.40423076636587646,0.381625778102268,0.022604988263608523,0.9373504983376011,0.9403418678923894,0.0029913695547881813
val,source_pack,pilot_v7_topup_rotated_rect,8,0.06644350802525878,0.04865312320180237,-0.017790384823456407,0.36562705180209787,0.31088062995152943,0.05474642185056843,0.953784296761863,0.9581371658076607,0.00435286904579775
val,source_pack,pilot_v8_topup_rotated_rect,8,0.08144708350300789,0.058508183574303985,-0.022938899928703904,0.412435255744329,0.34279831079251494,0.06963694495181405,0.9503794685822871,0.9552412855539804,0.00486181697169337
val,source_pack,pilot_v9_topup_rectangular_notch,14,0.12425339488046509,0.08691034931689501,-0.03734304556357009,0.6226559881346984,0.5183146808085299,0.10434130732616839,0.925212369434128,0.931139905197307,0.00592753576317898
val,source_pack,pilot_v9_topup_rotated_rect,8,0.07071233168244362,0.05441052932292223,-0.01630180235952139,0.37886528795217833,0.3320690827260496,0.0467962052261288,0.943454820795105,0.9495875350212741,0.006132714226169164
