seed,group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean,residual_l2_loss_mean,residual_to_base_abs_ratio_mean,residual_dominance_rate,pred_connected_component_count_mean,predicted_component_count_correct_rate,predicted_component_count_is_1_rate,predicted_component_count_is_2_rate,predicted_component_count_is_3_rate,missed_component_rate,merged_component_rate,split_component_rate,extra_fragment_rate,component_recall_mean,task_gate_accuracy,count_head_accuracy
all,pred_connected_component_count=1,train,395,0.7476698386881325,0.8534728681472333,0.1255573631846925,1.9905889361087685,381.8075949367089,402.08354430379745,0,0.2019748794692981,7.455091686565665,0.006954300265568246,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
all,pred_connected_component_count=2,train,167,0.6888379191230753,0.813651787886462,0.1059667517342701,3.2198274188639866,678.2694610778443,702.2035928143713,0,0.2939462411903336,4.560012947121066,0.012798417800735243,0.0,2.0,0.9580838323353293,0.0,1.0,0.0,0.0,0.0,0.041916167664670656,0.041916167664670656,1.0,1.0,1.0
all,pred_connected_component_count=3,train,316,0.8053179346342629,0.8913281934895326,0.06603302709593288,1.6343068560123202,422.8481012658228,434.14240506329116,0,0.1545058044286657,14.820553327050012,0.01299885433583756,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
all,pred_connected_component_count=4,train,4,0.8527896708096611,0.9200632065654213,0.03601026384443951,2.2427632215684974,443.75,460.75,0,0.11813349835574627,45.12791347503662,0.04457795203427458,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
all,pred_connected_component_count=5,train,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
all,pred_connected_component_count=6,train,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
all,pred_connected_component_count=7,train,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
all,pred_connected_component_count=1,val,99,0.6594645417876674,0.7912919155864048,0.21522639209354905,2.681592442761376,342.4949494949495,343.4141414141414,0,0.2880454295211368,9.558192494541707,0.007897209242713062,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
all,pred_connected_component_count=2,val,40,0.586026874616034,0.7309947261579411,0.14659797075447561,4.806775427226483,690.175,712.725,0,0.4409266863018274,2.625737787783146,0.010499753051223337,0.0,2.0,0.975,0.0,1.0,0.0,0.025,0.0,0.0,0.0,0.9833333333333332,0.975,0.975
all,pred_connected_component_count=3,val,77,0.6879522078790039,0.8049437408400634,0.08291725066735275,2.422097171438776,418.2077922077922,430.7402597402597,0,0.28472998477034756,10.94250594253664,0.010477618753867138,0.0,3.0,1.0,0.0,0.0,1.0,0.025974025974025976,0.0,0.0,0.0,0.9913419913419913,1.0,1.0
