seed,group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean,pred_connected_component_count_mean,predicted_component_count_is_2_rate,missed_component_rate,merged_component_rate,split_component_rate,component_recall_mean
all,component_types=rectangular_notch+polygon,train,96,0.6918320383052246,0.8160279819343287,0.13365642308374756,2.7102674650499803,718.6458333333334,668.78125,0,0.2917725344498952,2.0,1.0,0.0,0.0,0.0,1.0
all,component_types=rectangular_notch+rectangular_notch,train,96,0.6826115164109684,0.8097649956235747,0.11870729091607513,3.7355215769723493,723.1666666666666,732.09375,0,0.3029097830876708,2.0,1.0,0.0,0.0,0.0,1.0
all,component_types=rectangular_notch+rotated_rect,train,96,0.7185221101027239,0.8346118144526876,0.09920876795294482,2.8825747051409465,725.5104166666666,755.6875,0,0.2664015459207197,2.0,1.0,0.0,0.0,0.0,1.0
all,component_types=rotated_rect+polygon,train,96,0.6812362586757477,0.808137374616836,0.12759392722442517,3.076567898602935,702.53125,663.96875,0,0.30411815938229364,2.0,1.0,0.0,0.0,0.0,1.0
all,component_types=rotated_rect+rotated_rect,train,96,0.6919766957720596,0.81610345285876,0.10996687300306479,2.4393726893165613,733.1875,750.375,0,0.29369251352424425,2.0,1.0,0.0,0.0,0.0,1.0
all,component_types=rectangular_notch+polygon,val,24,0.6225233019004058,0.7622870563938537,0.13255283507806825,4.0378604092143835,733.3333333333334,702.125,0,0.39240968227386475,2.0,1.0,0.0,0.0,0.0,1.0
all,component_types=rectangular_notch+rectangular_notch,val,24,0.600888807497313,0.7482617593156151,0.14786337226563673,4.633285098412126,714.5833333333334,759.5,0,0.4057232476770878,2.0,1.0,0.0,0.0,0.0,1.0
all,component_types=rectangular_notch+rotated_rect,val,24,0.6669598609637871,0.7986961453618292,0.1035919768077919,3.1608938380146747,725.6666666666666,727.5,0,0.32714323326945305,2.0,1.0,0.0,0.0,0.0,1.0
all,component_types=rotated_rect+polygon,val,24,0.5870040960997942,0.7374097212586098,0.13988029877730487,4.79897330376745,713.8333333333334,669.625,0,0.4205286291738351,2.0,1.0,0.0,0.0,0.0,1.0
all,component_types=rotated_rect+rotated_rect,val,24,0.6458541367317819,0.783165060106982,0.12676705412670697,4.492863294099798,713.4166666666666,747.375,0,0.3475347285469373,2.0,1.0,0.0,0.0,0.0,1.0
all,component_types=rectangular_notch+polygon,test,24,0.5915247249506462,0.742382470227121,0.1772649616099732,3.194347559765159,729.3333333333334,674.0,0,0.4051968455314636,2.0,1.0,0.0,0.0,0.0,1.0
all,component_types=rectangular_notch+rectangular_notch,test,24,0.6109746311521773,0.7566509585757446,0.17015926127280281,4.396084557100717,733.25,735.625,0,0.385153158257405,2.0,1.0,0.0,0.0,0.0,1.0
all,component_types=rectangular_notch+rotated_rect,test,24,0.616368233407091,0.7602245981511796,0.1278570395525809,2.979681075577051,765.625,723.375,0,0.386145930737257,2.0,1.0,0.0,0.0,0.0,1.0
all,component_types=rotated_rect+polygon,test,24,0.6080105279955896,0.755015384948536,0.15224991545967406,4.440333223213648,685.2916666666666,669.875,0,0.39130494371056557,2.0,1.0,0.0,0.0,0.0,1.0
all,component_types=rotated_rect+rotated_rect,test,24,0.6319279054124126,0.7722931665724646,0.1876419523379916,3.66916249786471,715.0,741.5,0,0.3666263818740845,2.0,1.0,0.0,0.0,0.0,1.0
all,component_types=rectangular_notch+polygon,all,144,0.6635626966786584,0.7947969090597149,0.1407405815038386,3.0122129715299106,722.875,675.2083333333334,0,0.3274494442674849,2.0,1.0,0.0,0.0,0.0,1.0
all,component_types=rectangular_notch+rectangular_notch,all,144,0.657051584048894,0.7906621167309432,0.13214196620045668,3.995242660567039,723.4166666666666,737.25,0,0.33375258971419597,2.0,1.0,0.0,0.0,0.0,1.0
all,component_types=rectangular_notch+rotated_rect,all,144,0.6929027557969624,0.8162280002206265,0.10471401469535868,2.945145622359252,732.2222222222222,745.6041666666666,0,0.29648255794826484,2.0,1.0,0.0,0.0,0.0,1.0
all,component_types=rotated_rect+polygon,all,144,0.6533266097997291,0.7874957674457482,0.13375098718911327,3.5909296868988068,701.5416666666666,665.8958333333334,0,0.3380510350689292,2.0,1.0,0.0,0.0,0.0,1.0
all,component_types=rotated_rect+rotated_rect,all,144,0.6742814708720721,0.8033120063524143,0.12571274974615962,2.986586091538459,726.8611111111111,748.3958333333334,0,0.3148218607529998,2.0,1.0,0.0,0.0,0.0,1.0
all,polygon_component_present=no,train,288,0.6977034407619173,0.8201600876450076,0.10929431062402825,3.0191563238099524,727.2881944444445,746.0520833333334,0,0.28766794751087826,2.0,1.0,0.0,0.0,0.0,1.0
all,polygon_component_present=yes,train,192,0.6865341484904861,0.8120826782755822,0.13062517515408636,2.8934176818264574,710.5885416666666,666.375,0,0.2979453469160944,2.0,1.0,0.0,0.0,0.0,1.0
all,polygon_component_present=no,val,72,0.637900935064294,0.7767076549281421,0.12607413440004522,4.095680743508866,717.8888888888889,744.7916666666666,0,0.36013373649782604,2.0,1.0,0.0,0.0,0.0,1.0
all,polygon_component_present=yes,val,48,0.6047636990001001,0.7498483888262317,0.13621656692768658,4.418416856490917,723.5833333333334,685.875,0,0.40646915572384995,2.0,1.0,0.0,0.0,0.0,1.0
all,polygon_component_present=no,test,72,0.6197569233238936,0.7630562410997963,0.16188608438779178,3.6816427101808262,737.9583333333334,733.5,0,0.37930849028958213,2.0,1.0,0.0,0.0,0.0,1.0
all,polygon_component_present=yes,test,48,0.5997676264731179,0.7486989275878285,0.16475743853482364,3.8173403914894037,707.3125,671.9375,0,0.3982508946210146,2.0,1.0,0.0,0.0,0.0,1.0
