variant,seed,feature_set,selected_by_validation,sample_id,split,curvature_template,depth_bin,aspect_bin,size_bin,normalized_param_mae_mean,dimension_param_mae_norm,curvature_param_mae_norm,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error,curvature_mae_mean,projected_mask_iou,projected_mask_dice,profile_depth_rmse_m
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,rbc_pilot_001_shallow_small_compact_sharp,val,sharp,shallow,compact,small_compact,1.443156123161316,0.9708059430122375,1.9155062437057495,5.969736576080322,3.6166765689849854,1.7457488775253296,0.4417387843132019,0.40977513790130615,0.4071386456489563,0.4195508658885956,0.3412698412698413,0.5088757396449705,0.0009120549075305462
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,rbc_pilot_002_shallow_medium_balanced_sharp,test,sharp,shallow,balanced,medium_balanced,0.5854198932647705,0.3063124716281891,0.8645272254943848,1.9659082889556885,0.26783907413482666,0.8272429704666138,0.1922292709350586,0.1798112392425537,0.19466090202331543,0.18890047073364258,0.9320388349514563,0.964824120603015,0.0004159418458584696
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,rbc_pilot_003_shallow_large_wide_sharp,train,sharp,shallow,wide,large_wide,0.21040749549865723,0.21096473932266235,0.2098502665758133,0.3279838562011719,0.8385469913482666,0.5999999046325684,0.04449528455734253,0.03762519359588623,0.054601848125457764,0.04557411000132561,0.9122807017543859,0.9541284403669725,0.00022569412249140441
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,rbc_pilot_004_shallow_elongated_sharp,train,sharp,shallow,narrow,elongated,0.058784302324056625,0.11756860464811325,0.0,1.0536481142044067,0.40104055404663086,0.14260131120681763,0.0,0.0,0.0,0.0,0.9259259259259259,0.9615384615384616,5.5920329032232985e-05
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,rbc_pilot_005_medium_small_compact_sharp,val,sharp,medium,compact,small_compact,0.7041228413581848,0.29628217220306396,1.1119636297225952,1.1040642261505127,0.24395528435707092,1.0015153884887695,0.22269517183303833,0.2524230480194092,0.2527339458465576,0.2426173835992813,0.7894736842105263,0.8823529411764706,0.0005718428292311728
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,rbc_pilot_006_medium_medium_balanced_sharp,train,sharp,medium,balanced,medium_balanced,0.21081387996673584,0.2631526291370392,0.1584751158952713,1.9748677015304565,0.9931027889251709,0.3811202347278595,0.03305941820144653,0.029434680938720703,0.04078519344329834,0.034426432102918625,0.8146067415730337,0.8978328173374613,0.00017453964392188936
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,rbc_pilot_007_medium_large_wide_sharp,train,sharp,medium,wide,large_wide,0.8099761009216309,0.28128132224082947,1.3386708498001099,0.7049199342727661,0.40955469012260437,0.9748162627220154,0.31779754161834717,0.26013535261154175,0.3003399968147278,0.29275763034820557,0.9042553191489362,0.9497206703910615,0.0003087199875153601
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,rbc_pilot_008_medium_elongated_sharp,train,sharp,medium,narrow,elongated,0.12225248664617538,0.24450497329235077,0.0,2.106804370880127,0.13851001858711243,0.5536207556724548,0.0,0.0,0.0,0.0,0.8978102189781022,0.9461538461538461,0.0002170993248000741
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,rbc_pilot_009_deep_small_compact_sharp,test,sharp,deep,compact,small_compact,1.1989728212356567,0.6468151211738586,1.7511307001113892,2.084908962249756,1.4728955030441284,1.9470421075820923,0.41547995805740356,0.35735076665878296,0.37762749195098877,0.3834860622882843,0.810126582278481,0.8951048951048951,0.0006396204116754234
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,rbc_pilot_010_deep_medium_balanced_sharp,train,sharp,deep,balanced,medium_balanced,0.10122036933898926,0.20244073867797852,0.0,1.2676622867584229,0.6922585964202881,0.37946319580078125,0.0,0.0,0.0,0.0,0.8837209302325582,0.9382716049382716,0.00014880440721753985
