model,observation_config,seed,best_epoch,selected_model,split,sample_count,selection_score,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_component_mae_mm,center_xyz_euclidean_mean_mm,shape_accuracy,shape_macro_f1,center_xyz_error_p95_mm,center_xyz_error_max_mm,burial_depth_error_p95_mm,burial_depth_error_max_mm,catastrophic_failure_count,catastrophic_failure_rate,geometry_branch_failure_count,geometry_branch_failure_rate
O1_richer_observation_conv1d,R1_plus_R2_combined,42,11,False,train,20,0.6423079013824462,0.42021042108535767,0.6626887321472168,0.6881942749023438,0.059752676635980606,0.631931483745575,1.6780866384506226,3.5288844108581543,1.0,1.0,6.883392333984375,9.046415328979492,1.7303310632705688,2.6126205921173096,3,0.15,0,0.0
O1_richer_observation_conv1d,R1_plus_R2_combined,42,11,False,val,5,1.2987479877471924,0.7502467036247253,1.0522547960281372,1.5206377506256104,0.13568711280822754,1.3883150815963745,1.7933955192565918,3.629526138305664,0.6,0.5,5.742012977600098,6.021239280700684,3.268378734588623,3.4730708599090576,2,0.4,1,0.2
O1_richer_observation_conv1d,R1_plus_R2_combined,42,11,False,test,5,1.2349798262119294,0.5871881246566772,0.6789769530296326,1.2929139137268066,0.11326362937688828,0.9588714241981506,2.0380911827087402,4.4122700691223145,0.6,0.5,8.064017295837402,8.983438491821289,2.246352434158325,2.6126205921173096,4,0.8,0,0.0
O1_richer_observation_conv1d,R1_plus_R2_combined,123,7,False,train,20,0.8848953902721406,0.5442265272140503,0.9062575697898865,1.030100703239441,0.08459419757127762,0.7339901328086853,1.8453969955444336,4.08086633682251,1.0,1.0,6.775186061859131,6.993667125701904,1.4023293256759644,1.9212942123413086,7,0.35,0,0.0
O1_richer_observation_conv1d,R1_plus_R2_combined,123,7,False,val,5,1.3679272584120434,0.7034701108932495,0.889279305934906,1.7103955745697021,0.12750791013240814,1.392907738685608,1.7699941396713257,3.7247607707977295,0.4,0.3333333333333333,5.533231735229492,5.641088008880615,1.9622793197631836,2.0336966514587402,3,0.6,1,0.2
O1_richer_observation_conv1d,R1_plus_R2_combined,123,7,False,test,5,1.1584726730982462,0.6225138306617737,1.0106587409973145,1.5356751680374146,0.12487874180078506,0.8544063568115234,1.6770308017730713,4.024109840393066,0.4,0.3333333333333333,7.3817291259765625,8.335719108581543,1.4399317502975464,1.516924500465393,3,0.6,0,0.0
O1_richer_observation_conv1d,R1_plus_R2_combined,2026,75,False,train,20,0.11763603389263154,0.08160364627838135,0.1077335923910141,0.1290532797574997,0.010192749090492725,0.11941379308700562,0.48182016611099243,1.1383206844329834,1.0,1.0,2.898749351501465,3.0058705806732178,0.2239709496498108,0.2621925175189972,0,0.0,0,0.0
O1_richer_observation_conv1d,R1_plus_R2_combined,2026,75,False,val,5,1.3260147027174631,0.7660362720489502,1.1786901950836182,1.638843297958374,0.12826824188232422,1.3250658512115479,1.8161035776138306,3.8169612884521484,0.4,0.3333333333333333,4.966338634490967,4.982698917388916,2.3038177490234375,2.4069700241088867,2,0.4,1,0.2
O1_richer_observation_conv1d,R1_plus_R2_combined,2026,75,False,test,5,0.7016722583770753,0.4393751323223114,0.6588724255561829,1.0922409296035767,0.09722856432199478,0.6099489331245422,1.2260446548461914,2.57220196723938,0.8,0.6,4.292288780212402,4.689914226531982,0.8758525252342224,0.8833413124084473,1,0.2,0,0.0
O2_richer_observation_feature_fusion,R1_plus_R2_combined,42,6,False,train,20,0.8630774438381195,0.5153856873512268,0.8479433059692383,0.938334047794342,0.08571762591600418,0.5610184073448181,2.3317983150482178,5.107535362243652,1.0,1.0,8.75887393951416,9.255718231201172,1.2824684381484985,2.2743406295776367,7,0.35,0,0.0
O2_richer_observation_feature_fusion,R1_plus_R2_combined,42,6,False,val,5,1.1483042351404826,0.628566324710846,0.8185080885887146,1.7109265327453613,0.10978933423757553,1.0301960706710815,1.6010327339172363,3.5209248065948486,0.4,0.3333333333333333,6.9075517654418945,7.278405666351318,1.8014534711837769,1.91696035861969,2,0.4,1,0.2
O2_richer_observation_feature_fusion,R1_plus_R2_combined,42,6,False,test,5,1.0344383517901103,0.5924105644226074,0.7504242658615112,1.154897928237915,0.1381494551897049,0.8343492746353149,1.8385238647460938,3.8326210975646973,0.4,0.3333333333333333,6.688577651977539,7.220364093780518,1.9973798990249634,2.2743406295776367,2,0.4,0,0.0
O2_richer_observation_feature_fusion,R1_plus_R2_combined,123,68,False,train,20,0.08868357613682747,0.06160486862063408,0.07691176980733871,0.1382020264863968,0.007630692329257727,0.07422563433647156,0.3931228816509247,0.9635812640190125,1.0,1.0,1.7638797760009766,1.952608585357666,0.1412348747253418,0.2277495265007019,0,0.0,0,0.0
O2_richer_observation_feature_fusion,R1_plus_R2_combined,123,68,False,val,5,1.3002304963270823,0.719150185585022,0.8472002744674683,1.470518946647644,0.11713042110204697,1.4878602027893066,1.9125524759292603,3.9556021690368652,0.4,0.3333333333333333,6.37089204788208,6.631269454956055,2.0764832496643066,2.0912656784057617,2,0.4,1,0.2
O2_richer_observation_feature_fusion,R1_plus_R2_combined,123,68,False,test,5,0.5871631920337678,0.4260655641555786,0.6467317938804626,1.0355440378189087,0.08567434549331665,0.44394904375076294,1.3340544700622559,2.7297475337982178,0.6,0.5,4.72617769241333,5.256831169128418,0.6699842810630798,0.6769211292266846,0,0.0,0,0.0
O2_richer_observation_feature_fusion,R1_plus_R2_combined,2026,18,False,train,20,0.22864709496498106,0.17232398688793182,0.3276110589504242,0.4011153280735016,0.031382426619529724,0.15944573283195496,0.8075706958770752,1.9935756921768188,1.0,1.0,5.124730110168457,5.525655746459961,0.3644382655620575,0.5795632600784302,0,0.0,0,0.0
O2_richer_observation_feature_fusion,R1_plus_R2_combined,2026,18,False,val,5,1.1723471442858378,0.6925727725028992,1.05180823802948,1.531051516532898,0.10271843522787094,1.06719970703125,2.1277546882629395,4.2589616775512695,0.4,0.3333333333333333,6.440127849578857,6.568784713745117,1.2953697443008423,1.3216720819473267,2,0.4,0,0.0
O2_richer_observation_feature_fusion,R1_plus_R2_combined,2026,18,False,test,5,0.5852973902225495,0.42827531695365906,0.7383776307106018,0.9020788669586182,0.09447110444307327,0.4850636124610901,1.3703142404556274,3.0766568183898926,0.8,0.6,5.305438995361328,5.808542251586914,0.8736006021499634,0.9063845276832581,0,0.0,0,0.0
O3_richer_observation_tail_aware,R1_plus_R2_combined,42,11,False,train,20,0.4564572349190712,0.2820775806903839,0.6544967889785767,0.6419591903686523,0.04971366748213768,0.2431308776140213,1.0013313293457031,2.286770820617676,1.0,1.0,4.545557498931885,5.3732075691223145,0.7216579914093018,0.8197535872459412,4,0.2,0,0.0
O3_richer_observation_tail_aware,R1_plus_R2_combined,42,11,False,val,5,1.0515693167845408,0.676373302936554,0.7773826718330383,1.5447901487350464,0.11780943721532822,1.2545045614242554,1.661577820777893,3.251441478729248,0.4,0.3333333333333333,5.945590496063232,6.713045597076416,1.5052980184555054,1.5449743270874023,1,0.2,0,0.0
O3_richer_observation_tail_aware,R1_plus_R2_combined,42,11,False,test,5,0.9283383230368296,0.5210983753204346,0.6596062779426575,1.2133686542510986,0.10978288948535919,0.6190357208251953,1.5733941793441772,3.2817649841308594,0.4,0.3333333333333333,5.852144718170166,6.232568264007568,1.0030943155288696,1.0489295721054077,2,0.4,0,0.0
O3_richer_observation_tail_aware,R1_plus_R2_combined,123,9,False,train,20,0.5735034078359604,0.34638214111328125,0.756433367729187,0.6958935260772705,0.059369683265686035,0.3023650348186493,1.4376952648162842,3.41685152053833,1.0,1.0,6.146299362182617,7.982914447784424,0.6948683261871338,0.9184528589248657,5,0.25,0,0.0
O3_richer_observation_tail_aware,R1_plus_R2_combined,123,9,False,val,5,1.2824737230936685,0.6907538175582886,0.7218467593193054,1.8531785011291504,0.11249566078186035,1.1958653926849365,2.1093339920043945,4.550649642944336,0.4,0.3333333333333333,7.8584794998168945,8.475483894348145,2.0549685955047607,2.139829635620117,3,0.6,0,0.0
O3_richer_observation_tail_aware,R1_plus_R2_combined,123,9,False,test,5,0.9219062745571136,0.44509652256965637,0.6603610515594482,0.9323369264602661,0.09857974946498871,0.4863068461418152,1.5635813474655151,3.489262819290161,0.6,0.5,3.949276924133301,4.026771545410156,0.9363221526145935,0.9907600283622742,3,0.6,0,0.0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,5,False,train,20,0.9424393331033213,0.5195512175559998,0.9167608618736267,0.9844381213188171,0.08848775923252106,0.6525229215621948,2.051975727081299,4.762854099273682,0.95,0.9496296296296297,9.934758186340332,12.67892837524414,1.195019006729126,2.180332660675049,10,0.5,0,0.0
