group_name,group_value,n,iou_mean,dice_mean,area_error_mean,center_error_mean,type_accuracy,center_mae,width_mae,length_mae,depth_mae,angle_mae_deg,pred_area_zero_mean
feature_set_split_main_rect_rotated,generic_only:train,268,0.7463977160514892,0.7834792738882876,0.23300866981063986,0.3367330102221757,0.6791044776119403,0.00011723383398314919,0.00031620783909884975,0.0003035288313161799,6.279820619033297e-05,2.194385157132902,0.17164179104477612
feature_set_split_main_rect_rotated,generic_only:val,66,0.45191954447035293,0.5613161017060213,0.46408911637014844,2.812572460083729,0.4696969696969697,0.001284786042243102,0.001952097461037801,0.00089842142140532,0.00023552126742554897,11.620172933279854,0.24242424242424243
feature_set_split_main_rect_rotated,generic_only:test,66,0.42996072510545424,0.5317413824093834,0.5041719260266623,2.7605340168331627,0.3939393939393939,0.0013827129054741056,0.0019734326642654567,0.0011399791858351484,0.0002838936265197344,11.318861438178562,0.2878787878787879
feature_set_defect_type_all_splits,generic_only:rectangular_notch,200,0.6637087133282616,0.7229526311480814,0.3195199193934456,1.075774615977721,0.585,0.0004935768416267426,0.0009407984087260585,0.0007586900950625073,0.00014929479883362648,1.6397581074723622,0.185
feature_set_defect_type_all_splits,generic_only:rotated_rect,200,0.6274847151407502,0.6876185656203075,0.3122378421437594,1.088315305514741,0.61,0.0005437911486573559,0.0007783450370164751,0.0003207107392905284,0.00010626171246336323,8.870599345667003,0.22
feature_set_defect_type_all_splits,generic_only:polygon,200,nan,nan,nan,nan,0.525,nan,nan,nan,nan,nan,nan
feature_set_failure_category,generic_only:acceptable_or_minor_error,265,0.856204795774835,0.9163252032777743,0.10483912276003104,0.8475337326913942,0.7962264150943397,0.00034238442099165185,0.0005705885503715359,0.00045540291378153003,9.661736240245555e-05,2.0269918791242723,0.0
feature_set_failure_category,generic_only:polygon_unsupported,200,nan,nan,nan,nan,0.525,nan,nan,nan,nan,nan,nan
feature_set_failure_category,generic_only:rasterizer_or_parameter_mismatch,1,0.39577836411609496,0.5671077504725898,0.3723076923076923,4.110313848211086,0.0,0.002612192152598538,0.000689741178873291,0.002432319380686866,0.0004325056088999445,12.96681371006835,0.0
feature_set_failure_category,generic_only:wrong_angle,36,0.6172870627771234,0.7569598899920271,0.15074289609822347,2.0868501390834275,0.5,0.0009272039153762211,0.0009549918561669914,0.0004100971578730594,0.0001291361265247235,27.54323737328373,0.0
feature_set_failure_category,generic_only:wrong_size,17,0.5133118934928556,0.6747292173460027,0.6923607543640604,2.429123061543188,0.5882352941176471,0.0011791696973287562,0.0038976466673840073,0.0017793084872528323,0.0003595442138984555,2.8698250284254403,0.0
feature_set_failure_category,generic_only:wrong_type,81,0.0,0.0,1.0,nan,0.0,0.0007494359078185263,0.001127077554983168,0.0005895596712479816,0.00017671658546522824,6.316151333684269,1.0
feature_set_split_main_rect_rotated,nls_style_main:train,268,0.8336036504749734,0.866229380286085,0.15608227118813206,0.24665726916978017,0.7873134328358209,8.368462549424393e-05,0.00025924949031664403,0.0002734888792863245,6.143017595394027e-05,1.6289432650971278,0.09701492537313433
feature_set_split_main_rect_rotated,nls_style_main:val,66,0.4551640317748108,0.564689158145557,0.4508956818440522,2.9641251205231725,0.5151515151515151,0.001294869909814216,0.0017646232289815936,0.0008743335965572906,0.0002784360171256705,11.613760518426657,0.24242424242424243
feature_set_split_main_rect_rotated,nls_style_main:test,66,0.4466680752650879,0.5499264196144416,0.45442681982742517,2.7358868021737255,0.48484848484848486,0.0013317452343936777,0.0016277367674351257,0.0010541465444219443,0.000293882915214673,10.43708516765301,0.2727272727272727
feature_set_defect_type_all_splits,nls_style_main:rectangular_notch,200,0.7285905739832756,0.7837984172215626,0.253632122365021,0.9739336599002876,0.68,0.00047533757757546087,0.0007782874557505682,0.0006870405807143603,0.0001584927488862564,1.2061266352149185,0.135
feature_set_defect_type_all_splits,nls_style_main:rotated_rect,200,0.6860429129763551,0.744772093022591,0.25427454657866355,1.0223314880648773,0.705,0.0005035828181754311,0.0006885856600912521,0.0003158329640524621,0.00011268893456433692,8.253436416421524,0.165
feature_set_defect_type_all_splits,nls_style_main:polygon,200,nan,nan,nan,nan,0.595,nan,nan,nan,nan,nan,nan
feature_set_failure_category,nls_style_main:acceptable_or_minor_error,290,0.8746329157826084,0.9277091813744113,0.09153703032607086,0.7118476577503099,0.8448275862068966,0.0002992742357700811,0.00047321278440971024,0.0004402331011797531,9.917548941300135e-05,1.6510488201135844,0.0
feature_set_failure_category,nls_style_main:polygon_unsupported,200,nan,nan,nan,nan,0.595,nan,nan,nan,nan,nan,nan
feature_set_failure_category,nls_style_main:rasterizer_or_parameter_mismatch,1,0.39385474860335196,0.5651302605210421,0.4646153846153846,4.411671095507306,0.0,0.002422401729461874,0.0014246939854515956,0.0027444503013187346,0.000578689965977939,11.106851325521307,0.0
feature_set_failure_category,nls_style_main:wrong_angle,37,0.6019753887692002,0.7461280123804503,0.17842080029166127,2.584307520576226,0.6216216216216216,0.0011165941229938402,0.0009926197011237378,0.0004425290416517086,0.00019313220561340547,26.997309825386253,0.0
feature_set_failure_category,nls_style_main:wrong_size,12,0.5513506401588341,0.7088810609711396,0.664117499897459,2.7294176304305577,0.75,0.0012447108721081199,0.003309184109213357,0.001269515457274891,0.0004077551880315253,3.101507689332667,0.0
feature_set_failure_category,nls_style_main:wrong_type,60,0.0,0.0,1.0,nan,0.0,0.000838693933855391,0.001304684724199299,0.0006425816546917572,0.00021429668217160056,6.098050755959069,1.0
