split,group_name,group_value,sample_count,initial_center_error_px_mean,refined_center_error_px_mean,center_error_delta_px_mean,true_width_mean,initial_width_mean,refined_width_mean,width_drift_m_mean,true_length_mean,initial_length_mean,refined_length_mean,length_drift_m_mean,true_depth_mean,initial_depth_mean,refined_depth_mean,depth_drift_m_mean,initial_angle_mae_deg,refined_angle_mae_deg,angle_error_delta_mean,center_drift_m_mean,parameter_drift_norm_mean
train,overall,rect_rot,268,2.5885577401883433,2.526479406566824,-0.06207833362151939,0.011115671952129967,0.011354132399046377,0.011291170084445891,-6.296231460048637e-05,0.007130597052581386,0.007132657327508526,0.007112010529806921,-2.064679770160522e-05,0.0015537313567022724,0.0014581790497116467,0.0014753832452263293,1.7204195514682735e-05,20.238498192162456,20.039003093429795,-0.19949509873266255,0.00033661790697007813,0.3654113343336582
train,defect_type,rectangular_notch,134,2.4286079266973792,2.3657935917184414,-0.06281433497893736,0.013186567393479063,0.012897791486900689,0.012912940873361346,1.514938646065655e-05,0.007925373158042334,0.0076141002893781486,0.007664131890259572,5.0031600881423526e-05,0.0017231343272350618,0.0015474271755526537,0.0015481373585357484,7.101829830946318e-07,nan,nan,nan,0.00035812126337300996,0.40791326656835586
train,defect_type,rotated_rect,134,2.748507553679307,2.6871652214152055,-0.06134233226410142,0.009044776510780872,0.009810473311192064,0.009669399295530436,-0.00014107401566162929,0.006335820947120439,0.006651214365638904,0.0065598891693542695,-9.132519628463397e-05,0.0013843283861694829,0.0013689309238706395,0.0014026291319169104,3.369820804627084e-05,20.238498192162456,20.039003093429795,-0.19949509873266255,0.0003151145505671463,0.32290940209896063
train,source_pack,pilot_v2_rectangular_notch,81,2.3533066352020886,2.2193497758479714,-0.13395685935411716,0.012913580477973561,0.013760910495931719,0.01405037081811899,0.00028946032218727063,0.007913580262044698,0.007903093046704193,0.008140926324061038,0.00023783327735684537,0.0017999999963873882,0.001561158204474199,0.0015144087963473098,-4.6749408126889186e-05,nan,nan,nan,0.00038125271186274085,0.4159727858108752
train,source_pack,pilot_v3_rotated_rect,30,2.82816964507193,2.6518621239356874,-0.17630752113624357,0.012666667097558577,0.01309976273526748,0.013417941890656948,0.00031817915538946787,0.007500000049670537,0.00767700495198369,0.00789785476711889,0.0002208498151352008,0.0017666666923711698,0.0015799479597869018,0.0015382255854395528,-4.172237434734901e-05,19.670434241650092,19.782516805718902,0.1120825640688139,0.0003661060612720537,0.4059685813699282
train,source_pack,pilot_v7_topup_rotated_rect,16,2.379375217901517,2.4009418053712217,0.02156658746970474,0.00800000037997961,0.008731739479117095,0.008477484312606975,-0.00025425516651012003,0.006000000052154064,0.0063399629143532366,0.006162224803119898,-0.00017773811123333871,0.0010000000474974513,0.0014086522060097195,0.0014437493155128323,3.509710950311273e-05,20.278588225996977,19.813010699293546,-0.4655775267034299,0.0003106512638445776,0.27008886184426134
train,source_pack,pilot_v8_topup_rotated_rect,24,2.581736954633926,2.5417824639262836,-0.039954490707642315,0.00800000037997961,0.008887697127647698,0.008635598933324218,-0.00025209819432348013,0.006000000052154064,0.006338786974083632,0.006175670481752604,-0.00016311649233102798,0.0010000000474974513,0.001194344091345556,0.0012327615598527093,3.8417468507153295e-05,21.116753150409725,20.59624976932925,-0.5205033810804727,0.0002496272012076805,0.24923213246262146
train,source_pack,pilot_v9_topup_rectangular_notch,53,2.543691032567539,2.589603951822367,0.04591291925482801,0.013603773811515773,0.011578685076872134,0.011174604542694002,-0.00040408053417813106,0.007943396263246267,0.007172432113087403,0.006935446057468653,-0.00023698605561874947,0.0016056603800399967,0.0015264420181442544,0.0015996847837671357,7.324276562288123e-05,nan,nan,nan,0.00032276942700191173,0.3955958881033737
train,source_pack,pilot_v9_topup_rotated_rect,64,2.865988006925481,2.829787936428072,-0.036200070497408476,0.00800000037997961,0.008884343420504592,0.008597923835623078,-0.0002864195848815143,0.006000000052154064,0.006365348162944429,0.006176215894811321,-0.00018913226813310757,0.001445312516807462,0.001325556429947028,0.0013924885879532667,6.693215800623875e-05,20.165410051163768,20.00676163586603,-0.158648415297734,0.0003168858576146627,0.3248095229929966
val,overall,rect_rot,66,2.601604356835162,2.595525554734644,-0.0060788021005181,0.00910606077223113,0.01072319917324366,0.010665093054712721,-5.810611853093812e-05,0.006924242479726672,0.0069155135742304,0.0069128303986155624,-2.6831756148374444e-06,0.0014196969921503103,0.001454699952084797,0.001473235178061507,1.8535225976710066e-05,18.82170191446818,19.899434527140585,1.0777326126724065,0.00031954884006138483,0.3525577307180246
