sample_id,split,shape_type,topology_type,representation_target,rbc_compatible,component_count,oracle_fit_success,rbc_representable,oracle_profile_depth_rmse_m,oracle_Er_like_error,oracle_projected_mask_IoU,oracle_projected_mask_Dice,oracle_area_error,oracle_mask_center_error_px,true_area_px,oracle_area_px,oracle_component_count,true_component_count,oracle_L_m,oracle_W_m,oracle_D_m,oracle_wLD,oracle_wWD,oracle_wLW,label_L_m,label_W_m,label_D_m,oracle_L_abs_error_m,oracle_W_abs_error_m,oracle_D_abs_error_m,oracle_objective,fit_message
surf_shape_001_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,True,True,1.6179891419462418e-05,0.20620243212585485,0.9147727272727273,0.9554896142433235,0.017964071856287425,0.1617429518378104,167.0,170.0,1,1,0.00945190376386632,0.005476701342700839,0.0008749437595047656,1.0000057518692596,0.9999829032540296,1.0002021671931998,0.0085,0.0051,0.001,0.0009519037638663196,0.0003767013427008383,0.00012505624049523442,0.02598017139510853,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
surf_shape_002_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,True,True,1.9142418104780846e-05,0.20829456386056983,0.9116465863453815,0.9537815126050421,0.02553191489361702,0.16983597982845097,235.0,241.0,1,1,0.01131044862301994,0.006486765086988692,0.0008603645280179497,0.9999021686387481,0.9998910768954722,1.000288041723091,0.01,0.006,0.001,0.00131044862301994,0.00048676508698869154,0.00013963547198205027,0.02966271041923725,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
surf_shape_003_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,True,True,3.392929292463146e-05,0.205436008568141,0.9316239316239316,0.9646017699115044,0.005917159763313609,0.1485116848499056,338.0,340.0,1,1,0.013484761023899845,0.007721607227499831,0.0013135313596961192,1.0005724811276113,0.9997442493439215,0.9990932672885541,0.012,0.0072,0.0015,0.001484761023899845,0.0005216072274998309,0.00018646864030388084,0.029995032425669057,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
surf_shape_004_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,True,True,3.771513299527994e-05,0.2037506877026681,0.9263392857142857,0.9617612977983777,0.02107728337236534,0.1081194027774136,427.0,436.0,1,1,0.01524189959726608,0.008681431233835059,0.001288450380124496,0.9998471198955432,0.9999944085692839,1.0005557478497782,0.013500000000000002,0.008100000000000001,0.0015,0.0017418995972660785,0.0005814312338350575,0.00021154961987550412,0.03384502638724075,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
surf_shape_005_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,True,True,5.142115409867651e-05,0.29899081456903864,0.9881656804733728,0.9940476190476191,0.011834319526627219,0.09485928723006794,169.0,167.0,1,1,0.008141829850314444,0.004780086908090162,0.0014584826095719462,4.999999980945393,4.9996734066055435,5.000000059795817,0.0085,0.0051,0.0022,0.000358170149685557,0.00031991309190983804,0.000741517390428054,0.025155444029842326,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
surf_shape_006_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,True,True,3.925614281894965e-05,0.19540237081061476,0.943089430894309,0.9707112970711297,0.03404255319148936,0.09221917576392931,235.0,243.0,1,1,0.011361434839055955,0.006487106633222546,0.001880877254521201,0.9998309814269709,0.9996946281302053,1.0003594145769403,0.01,0.006,0.0022,0.0013614348390559548,0.00048710663322254575,0.00031912274547879916,0.025403569526689283,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
surf_shape_007_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,True,True,6.790408696344748e-05,0.2052510880094423,0.9138888888888889,0.9550072568940493,0.038461538461538464,0.10098253352590203,338.0,351.0,1,1,0.013610213217611406,0.007815367554256433,0.002577257767265434,0.9995472654941969,0.9996535179135895,1.0001177993634367,0.012,0.0072,0.003,0.0016102132176114056,0.0006153675542564328,0.00042274223273456625,0.03355632100200099,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
surf_shape_008_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,True,True,7.479148027891204e-05,0.20192407384429514,0.9282511210762332,0.9627906976744186,0.02830188679245283,0.10580815193900335,424.0,436.0,1,1,0.015176662286331709,0.00872860537015549,0.002545178777098778,1.0000485275278161,0.99974195001931,1.0004793889562633,0.013500000000000002,0.008100000000000001,0.003,0.0016766622863317072,0.0006286053701554887,0.000454821222901222,0.03378744801433851,ABNORMAL:
surf_shape_009_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,True,True,1.598507942286353e-05,0.20538063677553842,0.9166666666666666,0.9565217391304348,0.029411764705882353,0.0731418839529895,170.0,175.0,1,1,0.009598947903449713,0.00551276363794455,0.0008578807102712712,1.0000540208653812,0.9998148466325363,1.0001202163590919,0.0085,0.0051,0.001,0.001098947903449712,0.00041276363794454964,0.00014211928972872887,0.026151319072820187,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
surf_shape_010_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,True,True,1.8127037447545388e-05,0.1969791645796744,0.9467213114754098,0.9726315789473684,0.004219409282700422,0.06657107381021658,237.0,238.0,1,1,0.011219654967570613,0.006449716077052475,0.0008693214219975093,1.000096809627881,1.0001098354545799,1.0002500298080927,0.01,0.006,0.001,0.0012196549675706127,0.0004497160770524748,0.00013067857800249077,0.02381169126121869,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
