sample_id,source_index,split,defect_type,source_pack,threshold,iou,dice,area_error,center_error_px,pred_area,true_area,pred_area_zero,type_prob_rectangular_notch,type_prob_rotated_rect,pred_defect_type,type_correct,true_center_x,true_center_y,pred_center_x,pred_center_y,center_mae_m,true_width,pred_width,width_abs_error_m,true_length,pred_length,length_abs_error_m,true_depth,pred_depth,depth_abs_error_m,true_angle_deg,pred_angle_deg,angle_abs_error_deg,sin_cos_error,type_entropy,forward_mse,forward_mae,forward_rmse,forward_nrmse,forward_correlation,forward_line0_mse,forward_line1_mse,forward_line2_mse,forward_amplitude_abs_error,forward_abs_peak_index_error_mean,notes
rect_p2_0003,2,train,rectangular_notch,pilot_v2_rectangular_notch,0.6,0.7598684210526315,0.8635514018691589,0.0380952380952381,2.290643260069892,545.0,525.0,0.0,0.648006796836853,0.351993203163147,rectangular_notch,1.0,0.003000000026077032,-0.0005000000237487257,0.0016818905714899302,-4.1842653445200995e-05,0.001395464331408993,0.01600000075995922,0.014526652172207832,0.0014733485877513885,0.006500000134110451,0.008081273175776005,0.001581273041665554,0.0015999999595806003,0.0016217527445405722,2.1752784959971905e-05,0.0,4.583366852912145,nan,0.07997351490861179,0.6486718058586121,0.20973855257034302,0.36480724811553955,0.4579722181206443,0.3474163777178339,0.9527941385452451,0.20724867284297943,0.1880892813205719,0.23387768864631653,1.453413963317871,3.0,
rect_p2_0004,3,train,rectangular_notch,pilot_v2_rectangular_notch,0.6,0.763302752293578,0.8657648283038502,0.29904306220095694,2.04521588857763,543.0,418.0,0.0,0.7849376201629639,0.21506242454051971,rectangular_notch,1.0,-0.000750000006519258,0.0005000000237487257,5.460128886625171e-05,0.000169810708030127,0.0008697173213987308,0.012000000104308128,0.014165309257805347,0.002165309153497219,0.007000000216066837,0.00813059601932764,0.0011305958032608032,0.0010000000474974513,0.0013575981138274074,0.00035759806632995605,0.0,2.8754191405688654,nan,0.050180265016300685,0.5205872058868408,0.3919781446456909,0.46540212631225586,0.62608157986455,0.40189797863894666,0.9561247702537052,0.35072511434555054,0.3979300856590271,0.42727914452552795,2.9593944549560547,43.666666666666664,
rect_p2_0007,6,train,rectangular_notch,pilot_v2_rectangular_notch,0.6,0.6993377483443709,0.8230709275136399,0.17755681818181818,2.8924792798862162,579.0,704.0,0.0,0.7394362092018127,0.26056376099586487,rectangular_notch,1.0,-0.000750000006519258,0.0010000000474974513,0.00047413536231033504,0.00017105611914303154,0.001478396254291736,0.014000000432133675,0.014965163543820381,0.0009651631116867065,0.009999999776482582,0.008464079350233078,0.001535920426249504,0.0019000000320374966,0.0012325162533670664,0.0006674837786704302,0.0,4.107369688993487,nan,0.07167177551905603,0.5736457705497742,0.30343469977378845,0.4109293520450592,0.5508490716827872,0.367591515263022,0.9514845685671725,0.2694719731807709,0.29666832089424133,0.34416383504867554,3.230314254760742,32.333333333333336,
rect_p2_0008,7,train,rectangular_notch,pilot_v2_rectangular_notch,0.6,0.9130434782608695,0.9545454545454546,0.0,1.0,528.0,528.0,0.0,0.6997426748275757,0.3002573549747467,rectangular_notch,1.0,0.000750000006519258,0.0,0.0013835662975907326,-4.3098807509522885e-06,0.0006335809500404442,0.014000000432133675,0.014287069439888,0.00028706900775432587,0.007499999832361937,0.008045424707233906,0.0005454248748719692,0.0013000000035390258,0.0016367927892133594,0.00033679278567433357,0.0,4.371449134855099,nan,0.07627767648972426,0.6110821962356567,0.38700708746910095,0.49837031960487366,0.6220989370422529,0.39932338807509155,0.9715000141198302,0.39783117175102234,0.4048284888267517,0.35836145281791687,2.50523042678833,35.0,
rect_p2_0009,8,train,rectangular_notch,pilot_v2_rectangular_notch,0.6,0.6878306878306878,0.8150470219435737,0.07142857142857142,3.054234291510398,495.0,462.0,0.0,0.8552067279815674,0.1447932869195938,rectangular_notch,1.0,-0.0022499999031424522,0.0010000000474974513,-0.0009093297412618995,0.0001979347289307043,0.0015622756590503585,0.013000000268220901,0.013677477836608887,0.0006774775683879852,0.007000000216066837,0.007950128987431526,0.0009501287713646889,0.0013000000035390258,0.0013558954233303666,5.589541979134083e-05,0.0,0.9404234537747854,nan,0.016413301388873966,0.4135701656341553,0.2474488765001297,0.3777841329574585,0.4974423348491056,0.3720582880038716,0.9389890066267659,0.25487440824508667,0.23736731708049774,0.2501048147678375,3.0033655166625977,1.3333333333333333,
rect_p2_0010,9,train,rectangular_notch,pilot_v2_rectangular_notch,0.6,0.7354166666666667,0.8475390156062425,0.3074792243767313,1.916125870356261,472.0,361.0,0.0,0.6897152066230774,0.3102847933769226,rectangular_notch,1.0,0.0022499999031424522,-0.0005000000237487257,0.0013637203956022859,1.1526537491590716e-05,0.0010233038474216675,0.012000000104308128,0.013419443741440773,0.0014194436371326447,0.006000000052154064,0.007715881336480379,0.001715881284326315,0.0024999999441206455,0.0017508282326161861,0.0007491717115044594,0.0,2.1470385894120083,nan,0.03747070008701068,0.6193283796310425,0.13904976844787598,0.296112984418869,0.3728937763598046,0.3657893093241596,0.9337602464172303,0.1455075889825821,0.11739089339971542,0.15425080060958862,1.3326940536499023,2.0,
rect_p2_0011,10,train,rectangular_notch,pilot_v2_rectangular_notch,0.6,0.7666666666666667,0.8679245283018868,0.06493506493506493,3.0,492.0,462.0,0.0,0.6946620941162109,0.30533790588378906,rectangular_notch,1.0,0.001500000013038516,-0.0010000000474974513,0.0014533004723489285,-1.7939055396709591e-06,0.0009992978735088322,0.013000000268220901,0.01359781064093113,0.000597810372710228,0.007000000216066837,0.007788228802382946,0.0007882285863161087,0.0024999999441206455,0.0017705790232867002,0.0007294209208339453,0.0,2.509377136673423,nan,0.04379339288511876,0.6153194904327393,0.1421758085489273,0.30861666798591614,0.3770620751931004,0.4100352870468405,0.9225240157953716,0.13779674470424652,0.1093401163816452,0.1793905347585678,0.5494098663330078,18.0,
rect_p2_0012,11,train,rectangular_notch,pilot_v2_rectangular_notch,0.6,0.6904761904761905,0.8169014084507042,0.04807692307692308,2.8239375609604083,545.0,520.0,0.0,0.8000299334526062,0.19997011125087738,rectangular_notch,1.0,-0.000750000006519258,0.0010000000474974513,-9.959728049580008e-05,0.0001384269999107346,0.0010795053571894598,0.01600000075995922,0.014183602295815945,0.0018163984641432762,0.006500000134110451,0.00812756922096014,0.0016275690868496895,0.0013000000035390258,0.0013937435578554869,9.374355431646109e-05,0.0,2.353696421477911,nan,0.04107686370925657,0.5003609657287598,0.46085014939308167,0.5241526365280151,0.6788594474507088,0.42462082077810004,0.9501107621339839,0.4681381583213806,0.4475897550582886,0.46682262420654297,2.9495859146118164,1.6666666666666667,
rect_p2_0013,12,train,rectangular_notch,pilot_v2_rectangular_notch,0.6,0.6984126984126984,0.822429906542056,0.1391304347826087,3.504916016399256,495.0,575.0,0.0,0.6661390066146851,0.33386099338531494,rectangular_notch,1.0,0.0022499999031424522,-0.0010000000474974513,0.0018072808161377907,-2.6136003725696355e-06,0.0010912285897465665,0.014000000432133675,0.013741695322096348,0.0002583051100373268,0.00800000037997961,0.007796098943799734,0.00020390143617987633,0.0019000000320374966,0.0017187647754326463,0.0001812352566048503,0.0,3.86629175893554,nan,0.06746671897159168,0.6368792653083801,0.2629224956035614,0.3919908106327057,0.5127596860163262,0.3815266302183384,0.9494221239283589,0.27619391679763794,0.23268593847751617,0.2798876166343689,2.7162532806396484,47.666666666666664,
rect_p2_0015,14,train,rectangular_notch,pilot_v2_rectangular_notch,0.6,0.7346938775510204,0.8470588235294118,0.031578947368421054,2.5,460.0,475.0,0.0,0.8560298681259155,0.14397017657756805,rectangular_notch,1.0,-0.003000000026077032,-0.0005000000237487257,-0.0016765581676736474,0.00014104471483733505,0.0014705226037364856,0.012000000104308128,0.012928123585879803,0.0009281234815716743,0.00800000037997961,0.007607058621942997,0.00039294175803661346,0.0013000000035390258,0.0014998982660472393,0.00019989826250821352,0.0,-1.056713080644659,nan,0.018442861115361628,0.4121055006980896,0.447922021150589,0.5197797417640686,0.6692697670973857,0.41481667594912136,0.969441649303334,0.4314432740211487,0.4700806140899658,0.4422421455383301,3.1596755981445312,29.333333333333332,
