candidate,seed,selected_robustness_candidate,best_epoch,best_val_selection_metric,val_non_nominal_profile_depth_rmse_m,test_nominal_profile_depth_rmse_m,test_non_nominal_profile_depth_rmse_m,test_non_nominal_projected_mask_dice,test_non_nominal_L_mae_mm,test_non_nominal_W_mae_mm,test_non_nominal_D_mae_mm,test_non_nominal_wMAE_auxiliary
A0_baseline_replay,42,False,,,0.0008013466088717299,0.0003330594072394888,0.0008743096853625806,0.6833513107587862,6.241229236125946,3.6898963103691735,1.8258158404690523,0.22040785911182562
A2_latent_residual_adapter,123,False,134,0.5232149268708404,0.0004682466239197917,0.00035762733068622765,0.00046650838188118843,0.8169324022909018,2.390199155857166,1.7826698906719685,0.9417541202468177,0.2569104880094528
A2_latent_residual_adapter,2026,True,106,0.45390648051792354,0.00038845812014187686,0.0003358208914505667,0.0004372135417725076,0.8423780087179069,1.9387791274736326,1.7153784222900867,0.8706012601032853,0.2538960423941414
A2_latent_residual_adapter,42,False,101,0.5116661638357902,0.00042373977036428795,0.0003151379423798062,0.00045513702480093343,0.8542093704817963,1.8540047233303387,1.582505989819765,0.9355848543345928,0.2471891020735105
