variant,seed,epoch,train_loss,train_total_mae,val_total_mae,train_dimension_mae_norm,val_dimension_mae_norm,train_curvature_mae_norm,val_curvature_mae_norm,val_epoch_selection_score
H3_curv_fusion_F0F1F2_w1p0,42,1,0.877081580105282,0.7197840809822083,0.831794261932373,0.6150755882263184,0.6902516484260559,0.8244926333427429,0.973336935043335,1.6998472929000854
H3_curv_fusion_F0F1F2_w1p0,42,2,0.6817254679543632,0.5671849250793457,0.8422803282737732,0.5467700362205505,0.58243727684021,0.5875998735427856,1.1021233797073364,1.7853603184223175
H3_curv_fusion_F0F1F2_w1p0,42,3,0.514134270804269,0.4962364733219147,0.8312064409255981,0.5467876195907593,0.5593058466911316,0.44568541646003723,1.10310697555542,1.7703978419303894
H3_curv_fusion_F0F1F2_w1p0,42,4,0.4204301195485251,0.5123417973518372,0.8267143964767456,0.5398144125938416,0.6091741323471069,0.48486921191215515,1.0442547798156738,1.7317403078079223
H3_curv_fusion_F0F1F2_w1p0,42,5,0.45084747672080994,0.48068761825561523,0.8366601467132568,0.5424494743347168,0.6336301565170288,0.41892585158348083,1.0396900177001953,1.743153691291809
H3_curv_fusion_F0F1F2_w1p0,42,6,0.3729843965598515,0.45180267095565796,0.7746242880821228,0.4601835310459137,0.5743252635002136,0.4434218406677246,0.9749234318733215,1.6206819146871567
H3_curv_fusion_F0F1F2_w1p0,42,7,0.3306824089515777,0.39141085743904114,0.8034267425537109,0.4330783188343048,0.5629480481147766,0.3497433662414551,1.0439053773880005,1.6989453852176666
H3_curv_fusion_F0F1F2_w1p0,42,8,0.3058539352246693,0.43377619981765747,0.8047374486923218,0.48176175355911255,0.5994483232498169,0.3857906460762024,1.0100266933441162,1.6821471333503724
H3_curv_fusion_F0F1F2_w1p0,42,9,0.32302025528181166,0.3904609978199005,0.8181763887405396,0.4899851679801941,0.568597137928009,0.29093676805496216,1.0677555799484253,1.7327125012874602
H3_curv_fusion_F0F1F2_w1p0,42,10,0.27769777533553897,0.4448229968547821,0.849634051322937,0.5791028738021851,0.6062982678413391,0.3105431795120239,1.0929697751998901,1.7906210362911223
