seed,epoch,train_loss,train_bce,train_dice_loss,val_loss,val_bce,val_dice_loss,val_iou_at_0_5,val_dice_at_0_5,val_area_error_at_0_5,val_score_at_0_5,best_val_threshold,best_val_iou,best_val_dice,best_val_area_error,best_val_score,train_task_ce,train_count_ce,val_task_ce,val_count_ce
42,1,0.8322422668203577,0.18062782999094543,0.5787246860899367,0.5825121722051075,0.13840203679033689,0.4046574192387717,,,,,0.5,0.48094583895903914,0.63219209991924,0.4336449555625068,0.6794929833157723,0.5212064012885094,0.4153822740321761,0.2977652113352503,0.19352391852096065
42,2,0.590467283586124,0.13649258098086794,0.40841778817477525,0.5245409778186253,0.10439854860305786,0.37934605138642447,,,,,0.6,0.5107451792016023,0.6583953839747332,0.2771627289196809,0.8919778342566544,0.3166787335145715,0.2777807990944869,0.25917942147602197,0.29756865466314203
42,3,0.5186294921346613,0.11628902945164088,0.36135441924000644,0.4802001735993794,0.1361252617623125,0.31378597021102905,,,,,0.7,0.5506623451761987,0.6948668151342651,0.24033052605477723,1.0051986342556867,0.28773167970284047,0.2442574487151662,0.22360322866312085,0.15857232694531018
42,4,0.4624050044798636,0.10717213657256719,0.3285373019742536,0.44399201231343405,0.09684490412473679,0.32502240794045584,,,,,0.6,0.5629395248144945,0.7078187430822162,0.27792391383577203,0.9928343540609386,0.19007675819149292,0.15375785359290536,0.16686835941075223,0.10875727553502654
42,5,0.4290893287272067,0.10012212670869655,0.30820240523364095,0.4153332795415606,0.09334482891219002,0.30819460323878695,,,,,0.7,0.5750630956743368,0.7175001338468928,0.2385086823157215,1.054054547205508,0.14610837464722143,0.12307916529296252,0.09825354027478683,0.07936983979795643
42,6,0.4130780181369266,0.09682068941896563,0.2971795518119056,0.4068029820919037,0.09056063102824348,0.3018639215401241,,,,,0.6,0.5851013260552098,0.7256994922447785,0.19823847748601373,1.1125623408139744,0.13424982799659954,0.1130559120573905,0.11076377221780019,0.06604115349748392
42,7,0.39582682931208396,0.09331249274514816,0.2853723984580856,0.3831750750541687,0.07924345933965274,0.29408405082566397,,,,,0.7,0.6086808778566192,0.7468288093737782,0.2188191186969893,1.136690568533408,0.12320089632087294,0.0964369470541872,0.07701543636046283,0.04292034766902881
42,8,0.3985813772893167,0.0925729888248014,0.2860976989204819,0.41675286846501486,0.09702903777360916,0.30658750023160664,,,,,0.6,0.5812533481811863,0.7232157644424136,0.2744101911867235,1.0300589214368765,0.14248340548884525,0.11324702093465808,0.0959439678143618,0.07083865961301074
42,9,0.3783387807575432,0.0889955351951423,0.2727654409838152,0.3910642521721976,0.08346847577818803,0.2956635526248387,,,,,0.7,0.5888532771938199,0.7296772585608177,0.23326642366105094,1.0852641120935866,0.11950040328146487,0.09255521651208289,0.08709607027789648,0.06445249040260544
42,10,0.3539505199537621,0.08214900223118765,0.25939299770303675,0.34562431275844574,0.08209489206118244,0.25410354137420654,,,,,0.7,0.6310490420801161,0.767014479751249,0.169086592468922,1.2289769293624433,0.09137306004859137,0.06542425637107462,0.07335356353351992,0.04181034058688381
