source_index,sample_id,split,defect_type,vertex_count,polygon_area,area_bin,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,notes
0,sample_001,train,polygon,4,4.4686387076031714e-05,small,0.5,0.7624113475177305,0.8651911468812877,0.2088888888888889,1.7848032245473346,272,225,0,0.027474675327539444,0.16598308086395264,0.19345775246620178,0.0,0.9999964237213135,0.03389856219291687,polygon_pilot_v5_training_gate_only
1,sample_002,train,polygon,5,8.395774196654721e-05,medium,0.5,0.734,0.8465974625144176,0.054502369668246446,3.419323982190352,445,422,0,0.04237059876322746,0.16973412036895752,0.21210472285747528,0.0,0.9999972581863403,0.055833347141742706,polygon_pilot_v5_training_gate_only
2,sample_003,train,polygon,6,7.72172438671812e-05,small,0.5,0.8434782608695652,0.9150943396226415,0.17435897435897435,0.12332754863992593,458,390,0,0.021654587239027023,0.11956286430358887,0.1412174552679062,0.0,0.9999966621398926,0.057299401611089706,polygon_pilot_v5_training_gate_only
3,sample_004,train,polygon,4,8.25144160253379e-05,medium,0.5,0.7266666666666667,0.8416988416988417,0.16312056737588654,3.385922484640848,354,423,0,0.036400049924850464,0.1613273024559021,0.19772735238075256,0.0,0.9999959468841553,0.043795179575681686,polygon_pilot_v5_training_gate_only
4,sample_005,train,polygon,5,8.872418966243627e-05,medium,0.5,0.6963249516441006,0.8209806157354618,0.002277904328018223,3.513059798676949,438,439,0,0.05868319422006607,0.19589191675186157,0.25457510352134705,0.0,0.9999997615814209,0.05522787570953369,polygon_pilot_v5_training_gate_only
5,sample_006,train,polygon,6,4.1963312610878255e-05,small,0.5,0.8590909090909091,0.9242053789731052,0.0430622009569378,0.6985113718501764,200,209,0,0.010786071419715881,0.09467542171478271,0.1054614931344986,0.0,0.9999724626541138,0.024769358336925507,polygon_pilot_v5_training_gate_only
6,sample_007,train,polygon,4,0.00010044042621345892,large,0.5,0.7289377289377289,0.8432203389830508,0.12326043737574553,2.78816788961174,441,503,0,0.04147089272737503,0.1784226894378662,0.21989357471466064,0.0,0.9999849796295166,0.056385286152362823,polygon_pilot_v5_training_gate_only
7,sample_008,train,polygon,5,8.943638378143738e-05,medium,0.5,0.6636197440585009,0.7978021978021979,0.026726057906458798,3.708967577606701,461,449,0,0.055072348564863205,0.22705042362213135,0.28212276101112366,0.0,0.9998434782028198,0.05835847929120064,polygon_pilot_v5_training_gate_only
8,sample_009,train,polygon,6,6.910472220086164e-05,small,0.5,0.9126984126984127,0.9543568464730291,0.03089887640449438,0.40023397679693046,367,356,0,0.01108617801219225,0.0835258960723877,0.09461207687854767,0.0,0.9999988079071045,0.046786755323410034,polygon_pilot_v5_training_gate_only
9,sample_010,train,polygon,4,9.28197451128445e-05,large,0.5,0.7418111753371869,0.8517699115044248,0.04329004329004329,2.9997326093254393,442,462,0,0.037912316620349884,0.16191327571868896,0.19982558488845825,0.0,0.9999964237213135,0.05654509365558624,polygon_pilot_v5_training_gate_only
10,sample_011,train,polygon,5,3.6990819900321644e-05,small,0.5,0.740909090909091,0.8511749347258486,0.03723404255319149,2.3535485173582646,195,188,0,0.02969285473227501,0.15647733211517334,0.18617019057273865,0.0,0.9999921321868896,0.02338612638413906,polygon_pilot_v5_training_gate_only
11,sample_012,train,polygon,6,9.386160296864562e-05,large,0.5,0.8216432865731463,0.9020902090209021,0.057692307692307696,0.8802808458775081,441,468,0,0.028920743614435196,0.11367368698120117,0.14259442687034607,0.0,0.9999996423721313,0.054327137768268585,polygon_pilot_v5_training_gate_only
12,sample_013,train,polygon,4,0.00010361487387129191,large,0.5,0.6270903010033445,0.7708119218910586,0.1252408477842004,3.474236459744034,454,519,0,0.07528845965862274,0.2263851761817932,0.30167365074157715,0.0,0.9999978542327881,0.056812647730112076,polygon_pilot_v5_training_gate_only
13,sample_014,train,polygon,5,8.188591801683588e-05,medium,0.5,0.7191011235955056,0.8366013071895425,0.09226932668329177,3.607813663814643,364,401,0,0.051125116646289825,0.1712658405303955,0.22239094972610474,0.0,0.9999997615814209,0.04591609537601471,polygon_pilot_v5_training_gate_only
14,sample_015,train,polygon,6,7.839003147477235e-05,small,0.5,0.8792710706150342,0.9357575757575758,0.10459183673469388,0.8069215138870297,433,392,0,0.02077152580022812,0.13070833683013916,0.15147987008094788,0.0,0.9999834299087524,0.05697114020586014,polygon_pilot_v5_training_gate_only
15,sample_016,train,polygon,4,4.01502400257327e-05,small,0.5,0.659919028340081,0.7951219512195122,0.019704433497536946,3.453401789140649,207,203,0,0.027266670018434525,0.20378059148788452,0.23104725778102875,0.0,0.9999293088912964,0.025945421308279037,polygon_pilot_v5_training_gate_only
16,sample_017,train,polygon,5,8.105755449152517e-05,medium,0.5,0.7671517671517671,0.8682352941176471,0.08845208845208845,2.506874779783652,443,407,0,0.04297381639480591,0.14250457286834717,0.18547838926315308,0.0,0.9999998807907104,0.05445940047502518,polygon_pilot_v5_training_gate_only
