sample_id,split,component_types,true_connected_component_count,pred_connected_component_count,IoU,Dice,area_error,center_error,pred_area,true_area,failure_category,short_note,preview_path,seed
sample_207,test,rectangular_notch+rotated_rect,2,2,0.5190476190476191,0.6833855799373041,0.2214484679665738,6.082183652430296,877,718,localization,center error is high.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_multi_defect_pilot_v3_gate\sample_207_test_rectangular_notch_rotated_rect.png,42
sample_208,test,rotated_rect+rotated_rect,2,2,0.526775956284153,0.690050107372942,0.3283333333333333,1.545615036741302,797,600,boundary/shape smoothing,mask is non-empty but boundary or union shape is imprecise.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_multi_defect_pilot_v3_gate\sample_208_test_rotated_rect_rotated_rect.png,42
sample_231,test,rectangular_notch+rectangular_notch,2,2,0.5274599542334096,0.6906367041198502,0.43169398907103823,7.836553111244826,786,549,area error,predicted union mask area is biased.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_multi_defect_pilot_v3_gate\sample_231_test_rectangular_notch_rectangular_notch.png,42
sample_204,test,rectangular_notch+polygon,2,2,0.5629722921914357,0.7203867848509267,0.4477317554240631,1.8272987427650125,734,507,area error,predicted union mask area is biased.,,42
sample_222,test,rectangular_notch+rotated_rect,2,2,0.5643105446118193,0.7214814814814815,0.48161764705882354,1.026609273950983,806,544,area error,predicted union mask area is biased.,,42
sample_213,test,rotated_rect+rotated_rect,2,2,0.6490322580645161,0.7871674491392802,0.3194192377495463,4.096555036311123,727,551,boundary/shape smoothing,mask is non-empty but boundary or union shape is imprecise.,,42
sample_010,train,rotated_rect+polygon,2,2,0.5334957369062119,0.6957903097696585,0.35767790262172283,7.209776435198207,725,534,area error,predicted union mask area is biased.,,42
sample_159,train,rectangular_notch+polygon,2,2,0.614247311827957,0.7610324729392173,0.35490196078431374,3.5234292853108493,691,510,area error,predicted union mask area is biased.,,42
sample_005,train,rotated_rect+polygon,2,2,0.6351351351351351,0.7768595041322314,0.16775244299674266,2.4035431611217137,717,614,boundary/shape smoothing,mask is non-empty but boundary or union shape is imprecise.,,42
sample_006,train,rectangular_notch+rectangular_notch,2,2,0.6440677966101694,0.7835051546391752,0.2239858906525573,2.528576074776941,694,567,boundary/shape smoothing,mask is non-empty but boundary or union shape is imprecise.,,42
sample_008,train,rotated_rect+rotated_rect,2,2,0.6487309644670051,0.7869458128078818,0.2814814814814815,2.052338936264127,679,945,boundary/shape smoothing,mask is non-empty but boundary or union shape is imprecise.,,42
sample_003,train,rotated_rect+rotated_rect,2,2,0.6519607843137255,0.7893175074183977,0.14992025518341306,0.513860384819126,721,627,boundary/shape smoothing,mask is non-empty but boundary or union shape is imprecise.,,42
sample_109,train,rectangular_notch+polygon,2,2,0.6593707250341997,0.7947238252267106,0.301707779886148,2.6100976088662344,686,527,boundary/shape smoothing,mask is non-empty but boundary or union shape is imprecise.,,42
sample_009,train,rectangular_notch+polygon,2,2,0.6604434072345391,0.7955024595924104,0.15279878971255673,1.2413198187400558,762,661,boundary/shape smoothing,mask is non-empty but boundary or union shape is imprecise.,,42
sample_024,train,rectangular_notch+polygon,2,2,0.6949602122015915,0.8200312989045383,0.30685920577617326,0.857812039104086,724,554,boundary/shape smoothing,mask is non-empty but boundary or union shape is imprecise.,,42
sample_001,train,rectangular_notch+rectangular_notch,2,2,0.7083333333333334,0.8292682926829268,0.04361370716510903,1.4588436131572062,670,642,boundary/shape smoothing,mask is non-empty but boundary or union shape is imprecise.,,42
sample_004,train,rectangular_notch+polygon,2,2,0.7895299145299145,0.8823880597014926,0.07692307692307693,1.7474144416971054,804,871,boundary/shape smoothing,mask is non-empty but boundary or union shape is imprecise.,,42
sample_007,train,rectangular_notch+rotated_rect,2,2,0.7941176470588235,0.8852459016393442,0.13430851063829788,1.1714393715886666,651,752,boundary/shape smoothing,mask is non-empty but boundary or union shape is imprecise.,,42
sample_002,train,rectangular_notch+rotated_rect,2,2,0.8130434782608695,0.8968824940047961,0.0399529964747356,1.6115916908207464,817,851,boundary/shape smoothing,mask is non-empty but boundary or union shape is imprecise.,,42
sample_184,val,rectangular_notch+polygon,2,2,0.44612476370510395,0.6169934640522876,0.14545454545454545,11.477909032973162,705,825,localization,center error is high.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_multi_defect_pilot_v3_gate\sample_184_val_rectangular_notch_polygon.png,42
sample_176,val,rectangular_notch+rectangular_notch,2,2,0.4647599591419816,0.6345885634588564,0.038303693570451436,15.793957753308279,703,731,localization,center error is high.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_multi_defect_pilot_v3_gate\sample_176_val_rectangular_notch_rectangular_notch.png,42
sample_200,val,rotated_rect+polygon,2,2,0.4699612403100775,0.6394199077125906,0.06010230179028133,13.067491404005242,735,782,localization,center error is high.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_multi_defect_pilot_v3_gate\sample_200_val_rotated_rect_polygon.png,42
sample_190,val,rotated_rect+polygon,2,2,0.5220883534136547,0.6860158311345647,0.11731843575418995,9.984707127518043,600,537,localization,center error is high.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_multi_defect_pilot_v3_gate\sample_190_val_rotated_rect_polygon.png,42
sample_191,val,rectangular_notch+rectangular_notch,2,2,0.5292929292929293,0.6922060766182299,0.038860103626943004,5.547343615542007,742,772,localization,center error is high.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_multi_defect_pilot_v3_gate\sample_191_val_rectangular_notch_rectangular_notch.png,42
sample_167,val,rectangular_notch+rotated_rect,2,2,0.5309168443496801,0.6935933147632312,0.14328358208955225,9.24323580931616,766,670,localization,center error is high.,,42
sample_199,val,rectangular_notch+polygon,2,2,0.6683738796414853,0.8012279355333844,0.3226381461675579,0.3822845215700353,742,561,boundary/shape smoothing,mask is non-empty but boundary or union shape is imprecise.,,42
