input_mode,factor_group,variant_name,split,group_field,group_value,sample_count,profile_depth_rmse_m,profile_depth_rmse_degradation_pct_vs_nominal,er_like_profile_error,L_mae_mm,W_mae_mm,D_mae_mm,wMAE_auxiliary,projected_mask_iou,projected_mask_dice,projected_mask_dice_drop_vs_nominal,raw_vs_calibrated_profile_rmse_improvement_pct,status_band
calibrated,axis_misalignment_postprocess,axis_misalignment_x_hard,test,all,all,12,0.0006412001463710718,5.114601878706245,0.4781497120857239,2.7519690493742623,2.795191988348961,1.3277521195511024,0.2255096472799778,0.661721544749119,0.7884087235556168,0.026685755509225622,-44.59844699334787,warning
calibrated,axis_misalignment_postprocess,axis_misalignment_x_hard,test,curvature_template,LD_dominant,3,0.0004762412160440969,21.241452816584147,0.2700306127468745,1.1594401200612385,2.139976461728414,1.009846771756808,0.1738609621922175,0.7408563204428837,0.8435022886611735,-0.00833866421878456,-68.4955853852952,warning
calibrated,axis_misalignment_postprocess,axis_misalignment_x_hard,test,curvature_template,WD_dominant,2,0.0005047876402386464,-3.2660247620306837,0.24834293872117996,2.779223918914795,4.158999919891357,0.9738738238811493,0.19080734252929688,0.6116097229304777,0.7508102980315687,0.018811825381168434,-4.497741121093277,green
calibrated,axis_misalignment_postprocess,axis_misalignment_x_hard,test,curvature_template,boxy,3,0.0009631461774309477,0.8739285257441541,0.6013808846473694,2.8679476579030356,4.124313751856486,1.7302066485087078,0.2979178875684738,0.6734689974600329,0.802147497449511,0.016537049481484118,-28.46320646877913,green
calibrated,axis_misalignment_postprocess,axis_misalignment_x_hard,test,curvature_template,round,2,0.0005048678431194276,-3.463538202465865,0.49073702096939087,5.758326530456543,2.1691611409187317,1.2098074853420258,0.13639486581087112,0.575438196390174,0.7168066446416962,0.07370718935039866,-48.025305892208394,fail
calibrated,axis_misalignment_postprocess,axis_misalignment_x_hard,test,curvature_template,sharp,2,0.0006784643046557903,4.244102223241561,0.8227010667324066,1.933182179927826,1.0465555489063263,1.6727512776851654,0.3181874006986618,0.661793372319688,0.7943607194944093,0.05529794042973729,-69.62944716567407,fail
calibrated,axis_misalignment_postprocess,axis_misalignment_x_hard,test,depth_bin,deep,6,0.0009934304980561137,0.8956386804077976,0.4288874566555023,2.6465502778689065,3.1399645507335663,2.0119221210479736,0.24253439903259277,0.6921173832531724,0.8082724280544364,0.0168530967648091,-32.29562852505442,green
calibrated,axis_misalignment_postprocess,axis_misalignment_x_hard,test,depth_bin,shallow,6,0.00028896979468602996,9.33356507700469,0.5274119675159454,2.857387820879618,2.4504194259643555,0.643582118054231,0.20848489552736282,0.6313257062450658,0.7685450190567972,0.03651841425364214,-56.90126546164134,warning
calibrated,axis_misalignment_postprocess,axis_misalignment_x_light,test,all,all,12,0.0006339029847974113,7.572518771865954,0.48731328919529915,2.526930848757426,2.6628488873442016,1.3116821969548862,0.22451294834415117,0.672472295136998,0.7979098075461887,0.017184671518653855,-48.644258463888,green
calibrated,axis_misalignment_postprocess,axis_misalignment_x_light,test,curvature_template,LD_dominant,3,0.00046356601039102924,23.401410179778022,0.2669537166754405,1.247140884399414,2.120429436365763,0.9831325511137644,0.1672960619131724,0.7304375511648806,0.8401923863903779,-0.0050287619479888095,-85.00692465273885,warning
calibrated,axis_misalignment_postprocess,axis_misalignment_x_light,test,curvature_template,WD_dominant,2,0.00048672230332158506,4.701139283954829,0.25333354622125626,2.5759767293930054,4.026228427886963,0.9404825270175934,0.18389056622982025,0.6187193309834819,0.7564708380896759,0.013151285323061257,-5.880412589400617,green
calibrated,axis_misalignment_postprocess,axis_misalignment_x_light,test,curvature_template,boxy,3,0.0009621330148850878,2.1954587982630023,0.6292365491390228,2.773284912109375,4.050600051879883,1.7232749462127686,0.2933979580799739,0.6829486456464154,0.8088155525536115,0.009868994377383533,-26.489152885487197,green
calibrated,axis_misalignment_postprocess,axis_misalignment_x_light,test,curvature_template,round,2,0.0005104853335069492,-0.7161062589572458,0.5097010582685471,5.172614097595215,1.7530359476804733,1.2240023612976074,0.14473162591457367,0.6080082742316785,0.7444261774970437,0.0460876564950512,-48.646652685200706,warning
calibrated,axis_misalignment_postprocess,axis_misalignment_x_light,test,curvature_template,sharp,2,0.0006676617340417579,3.0547761391366035,0.8165597319602966,1.3823555707931519,0.941284716129303,1.6459970474243164,0.32741446793079376,0.6880268703898841,0.813049921274428,0.036608738649718586,-70.09436920138756,warning
calibrated,axis_misalignment_postprocess,axis_misalignment_x_light,test,depth_bin,deep,6,0.0009565895597916096,-2.8789526036800233,0.41342206796010333,2.395209570725759,3.0473528504371643,1.9328836401303608,0.2425220931569735,0.7012100163207928,0.8166050432555031,0.00852048156374254,-35.11418019585875,green
calibrated,axis_misalignment_postprocess,axis_misalignment_x_light,test,depth_bin,shallow,6,0.0003112164098032129,18.02399014741193,0.5612045104304949,2.658652126789093,2.2783449242512384,0.6904807537794113,0.20650380353132883,0.6437345739532033,0.7792145718368743,0.02584886147356517,-62.174336731917236,warning
