lambda_smooth,delta_iou,delta_dice,delta_area_error,val_score,selected
0.01,-0.007005852469788813,-0.004822973746691651,-0.0013891200000811605,-0.011828826216480463,True
0.05,-0.007781280900538627,-0.00517587472114721,-0.006106114594192359,-0.012957155621685836,False
0.1,-0.008031493157378665,-0.005413514080048014,-0.0017781342339748753,-0.013445007237426677,False
