sample_index,defect_type,true_area_bin,area_bin,num_defects,complexity_level,mse,mae,iou,dice,area_error,center_error,pred_area,true_area,pred_area_relation,pred_area_eq_zero,pred_area_gt_true,pred_area_lt_true,pred_center_x,pred_center_y,true_center_x,true_center_y
0,rotated_rect,large,,1.0,2.0,16287.078125,37.19292068481445,0.4634420697412823,0.633358954650269,0.45486935866983375,0.6125524044036865,6.989502337913777,12.821701456477996,pred_area<true_area,False,False,True,-2.058823585510254,4.697079658508301,-2.1501212120056152,5.30279016494751
1,polygon,small,,1.0,2.0,12834.509765625,32.26774215698242,0.11699779249448124,0.20948616600790515,0.49261083743842365,1.3912712335586548,4.613985203459421,3.091217809578424,pred_area>true_area,False,True,False,-3.388476848602295,4.767810344696045,-4.461345672607422,5.653580188751221
2,multi_defect,small,,2.0,3.0,10019.6328125,28.159137725830078,0.5553145336225597,0.7140864714086471,0.44468546637744033,0.20385627448558807,3.8982845283353527,7.019957685791397,pred_area<true_area,False,False,True,6.752708435058594,5.278961181640625,6.553210258483887,5.320888042449951
3,multi_defect,large,,3.0,3.0,38943.84765625,76.46224975585938,0.21415034744156664,0.35275754422476585,0.6436132674664785,3.491194248199463,7.6899753390990355,21.57761397129373,pred_area<true_area,False,False,True,-3.3394198417663574,4.895689487457275,0.1446363478899002,4.6725544929504395
4,rotated_rect,medium,,1.0,2.0,25105.794921875,48.2525634765625,0.24045801526717558,0.38769230769230767,0.2167352537722908,1.7348198890686035,8.695001819060494,11.100974301392469,pred_area<true_area,False,False,True,-4.227309703826904,4.957455158233643,-4.4404120445251465,6.679136753082275
5,rotated_rect,large,,1.0,2.0,19156.73046875,43.297672271728516,0.38615847542627885,0.557163531114327,0.23499361430395913,1.1394240856170654,9.121376689347173,11.923268694088208,pred_area<true_area,False,False,True,5.573988437652588,5.179508209228516,5.256647109985352,6.273849010467529
6,polygon,small,,1.0,2.0,11357.537109375,26.769805908203125,0.0,0.0,1.0,nan,0.0,5.786516096747789,zero,True,False,True,nan,nan,3.3276913166046143,4.368952751159668
7,polygon,large,,1.0,2.0,39668.11328125,64.73359680175781,0.2020618556701031,0.3361921097770154,0.31988472622478387,2.0978219509124756,10.78119314867746,15.85200857030118,pred_area<true_area,False,False,True,-3.4511539936065674,4.926953315734863,-3.7500905990600586,7.003366947174072
8,polygon,small,,1.0,2.0,13491.9970703125,32.840091705322266,0.1800356506238859,0.30513595166163143,0.11396011396011396,1.5227617025375366,4.735806594969901,5.3449135525223,pred_area<true_area,False,False,True,6.440967082977295,5.311637878417969,6.187131881713867,3.8101816177368164
9,rotated_rect,medium,,1.0,2.0,13513.513671875,32.8538932800293,0.4795417348608838,0.6482300884955752,0.3971631205673759,0.9578953385353088,5.17740913919539,8.588408101488824,pred_area<true_area,False,False,True,-0.2527342438697815,4.724599361419678,-0.2835988402366638,5.681997299194336
10,rotated_rect,small,,1.0,2.0,10710.9833984375,33.59000778198242,0.7697594501718213,0.8699029126213592,0.10633946830265849,0.14378350973129272,8.238171600896194,7.446332556078076,pred_area>true_area,False,True,False,-2.768045425415039,4.791911602020264,-2.811758279800415,4.654933929443359
11,rotated_rect,small,,1.0,2.0,17289.7109375,38.672523498535156,0.2238219895287958,0.3657754010695187,0.08401639344262295,1.5821125507354736,6.806770250648057,7.431104882139266,pred_area<true_area,False,False,True,-2.7720818519592285,4.742729187011719,-2.832502841949463,6.323687553405762
12,polygon,large,,1.0,2.0,25721.94921875,46.7673454284668,0.284,0.4423676012461059,0.4567307692307692,1.511512279510498,6.882908620342107,12.669424717089896,pred_area<true_area,False,False,True,-2.224285125732422,4.701216220855713,-2.8126814365386963,3.3089306354522705
13,rotated_rect,medium,,1.0,2.0,22584.26171875,43.180843353271484,0.1812004530011325,0.3068072866730585,0.27887788778877887,1.7708593606948853,6.6544935112599575,9.227970406918843,pred_area<true_area,False,False,True,3.0507800579071045,5.008668422698975,3.135230541229248,3.239823818206787
14,rotated_rect,medium,,1.0,2.0,14432.95703125,37.80490493774414,0.5514018691588785,0.7108433734939759,0.056856187290969896,0.7909207940101624,8.588408101488824,9.106149015408363,pred_area<true_area,False,False,True,-3.1562066078186035,4.860842227935791,-3.2220466136932373,4.072666645050049
15,polygon,large,,1.0,2.0,16568.681640625,42.53953552246094,0.5449101796407185,0.7054263565891473,0.00258732212160414,0.6989573240280151,11.801447302577728,11.770991954700108,pred_area>true_area,False,True,False,-0.6077808141708374,4.8458781242370605,-0.6343164443969727,4.147424697875977
16,polygon,large,,1.0,2.0,14691.353515625,40.68685531616211,0.6566523605150214,0.7927461139896373,0.1189083820662768,0.37856659293174744,13.765817240684214,15.62359346121903,pred_area<true_area,False,False,True,0.550651490688324,4.866921901702881,0.6600252389907837,4.504499435424805
17,rotated_rect,medium,,1.0,2.0,16901.29296875,36.26844024658203,0.23743016759776536,0.3837471783295711,0.3500931098696462,1.2761794328689575,5.31445820464468,8.177260905140955,pred_area<true_area,False,False,True,-1.7855033874511719,4.653989791870117,-1.845680832862854,3.37923002243042
18,rotated_rect,medium,,1.0,2.0,19164.71484375,40.138328552246094,0.3488636363636364,0.5172704296545914,0.16253869969040247,1.4202560186386108,8.238171600896194,9.837077364471241,pred_area<true_area,False,False,True,0.3412162661552429,4.8236517906188965,0.2819049060344696,3.404634714126587
19,multi_defect,large,,2.0,3.0,38673.95703125,74.4406967163086,0.18352601156069365,0.31013431013431014,0.19205298013245034,1.9420655965805054,11.146657323208899,13.796272588561834,pred_area<true_area,False,False,True,3.5134689807891846,5.014765739440918,2.924722671508789,3.164091110229492
20,multi_defect,small,,2.0,3.0,22262.048828125,56.70934295654297,0.17462311557788945,0.29732620320855613,0.4412532637075718,0.5314587354660034,8.405676014223104,5.832199118564219,pred_area>true_area,False,True,False,0.7758902907371521,4.945285797119141,0.7689226269721985,5.476698875427246
21,rotated_rect,small,,1.0,2.0,16841.927734375,38.062313079833984,0.2728592162554427,0.42873432155074115,0.24296675191815856,1.475480318069458,7.400649534261646,5.954020510074699,pred_area>true_area,False,True,False,-1.8900055885314941,4.7196245193481445,-1.969245195388794,3.2462735176086426
22,polygon,medium,,1.0,2.0,19788.349609375,40.211368560791016,0.18500604594921402,0.3122448979591837,0.19852941176470587,1.4950510263442993,6.6392658373211475,8.283854622712624,pred_area<true_area,False,False,True,-7.487552642822266,5.113984107971191,-7.769639015197754,6.582181930541992
23,rotated_rect,medium,,1.0,2.0,13813.1298828125,42.37973403930664,0.7328687572590011,0.8458445040214477,0.0896358543417367,0.1997721940279007,11.847130324394158,10.87255919231032,pred_area>true_area,False,True,False,-7.547183036804199,5.239542007446289,-7.7469282150268555,5.236256122589111
24,rotated_rect,medium,,1.0,2.0,27406.78125,46.7847900390625,0.18522267206477733,0.3125533731853117,0.33900709219858155,1.8562618494033813,7.096096055485447,10.73551012686103,pred_area<true_area,False,False,True,0.9876636862754822,4.891837120056152,0.9980754256248474,3.035604476928711
25,polygon,small,,1.0,2.0,11907.0,28.48523712158203,0.3,0.46153846153846156,0.6348448687350835,0.5934499502182007,2.3298341126379256,6.380395380361378,pred_area<true_area,False,False,True,7.489901065826416,5.1158647537231445,8.000563621520996,4.8135294914245605
