model,split,group_field,group_value,sample_count,normalized_param_mae_mean,L_mae_mm,W_mae_mm,D_mae_mm,curvature_mae_mean,projected_mask_iou,projected_mask_dice,profile_depth_rmse_m
mean_train_target,train,curvature_template,LD_dominant,12,0.7911221285661062,5.585273290673892,3.5700254291296005,1.3466733371218045,0.1694853479663531,0.5949738981436337,0.7275108383368339,0.0006416189820204939
mean_train_target,train,curvature_template,WD_dominant,10,0.8258776545524598,6.291521614789962,3.8297359108924867,1.3522069118916988,0.1631648913025856,0.5281106505168358,0.6740172988077484,0.0006344150024233386
mean_train_target,train,curvature_template,boxy,18,0.9439432819684347,5.246690683894688,3.6365560872687235,1.2740671684344609,0.23940090172820622,0.5711557381785828,0.7070857654067824,0.0006156989135585415
mean_train_target,train,curvature_template,round,19,0.7819064541866905,5.677911742737419,3.8367379511657513,1.3803316950798035,0.15354841476992556,0.5455374701569868,0.6877011133451911,0.000601894167055817
mean_train_target,train,curvature_template,sharp,17,1.0488864148364347,4.937640772146337,4.049529445521972,1.2586060359197504,0.28474396291901083,0.5840642998140338,0.7184060372872724,0.0005757746685583912
mean_train_target,train,depth_bin,deep,21,1.0347651810873122,6.7358238242921376,4.134393981524876,2.206939617792765,0.20951361386548906,0.5826293812694151,0.717886602460532,0.0009719566719251729
mean_train_target,train,depth_bin,medium,27,0.7686360147264268,5.133893116756722,3.4885696823950165,0.4301395391424497,0.20620031820403206,0.6081287607763344,0.7346472205414843,0.00024321003891398304
mean_train_target,train,depth_bin,shallow,28,0.8909739873238972,4.86184749007225,3.832930015666144,1.509945124387741,0.20591293168919428,0.5121860018681798,0.6630706073783067,0.0006918769868207164
mean_train_target,train,aspect_bin,balanced,21,0.7226301630338033,2.3728214417185103,1.1332768868832361,1.3095618887316613,0.21412344702652522,0.7926034872696255,0.87973674959074,0.0006044803355637539
mean_train_target,train,aspect_bin,compact,20,0.9451743870973587,7.976608252525329,3.916857600212097,1.3376511216163636,0.20001229494810105,0.3837209302325581,0.5483807563196776,0.0006017840511049144
mean_train_target,train,aspect_bin,narrow,15,0.7917486508687337,4.1259929895401,3.3180025974909464,1.2837131897608438,0.1902067889769872,0.6107980483825834,0.7509736074014052,0.0006002934727196892
mean_train_target,train,aspect_bin,wide,20,1.0737780958414078,7.247391700744629,6.821484494209289,1.3364221535623073,0.21914082244038582,0.4757419518437862,0.6385189817031833,0.0006308073316176888
mean_train_target,train,size_bin,elongated,15,0.7917486508687337,4.1259929895401,3.3180025974909464,1.2837131897608438,0.1902067889769872,0.6107980483825834,0.7509736074014052,0.0006002934727196892
mean_train_target,train,size_bin,large_wide,20,1.0737780958414078,7.247391700744629,6.821484494209289,1.3364221535623073,0.21914082244038582,0.4757419518437862,0.6385189817031833,0.0006308073316176888
mean_train_target,train,size_bin,medium_balanced,21,0.7226301630338033,2.3728214417185103,1.1332768868832361,1.3095618887316613,0.21412344702652522,0.7926034872696255,0.87973674959074,0.0006044803355637539
mean_train_target,train,size_bin,small_compact,20,0.9451743870973587,7.976608252525329,3.916857600212097,1.3376511216163636,0.20001229494810105,0.3837209302325581,0.5483807563196776,0.0006017840511049144
mean_train_target,val,curvature_template,LD_dominant,6,0.818550725777944,6.347535838683446,4.198583935697873,1.3847674479087193,0.16051311790943146,0.5190827317934429,0.658216162578608,0.0006387571047525853
mean_train_target,val,curvature_template,WD_dominant,5,0.6794123172760009,2.8757155299186707,2.0157126903533937,1.425711852312088,0.1644113540649414,0.7313078171118097,0.8356897300593144,0.0007060023184749298
mean_train_target,val,curvature_template,boxy,3,1.1048707365989685,6.599964102109273,4.690667152404785,2.0292325019836426,0.24158609410127005,0.5150153298632726,0.6683236829018905,0.0010300710661492
mean_train_target,val,curvature_template,round,2,0.527061939239502,1.5000002086162567,0.7500001192092896,1.1999998837709427,0.14813612401485443,0.8639072081453198,0.9269645146787004,0.0005184962865314446
mean_train_target,val,curvature_template,sharp,2,1.1744524240493774,8.700108289718628,4.372002482414246,1.3123022615909576,0.28846946358680725,0.29941860465116277,0.45862068965517244,0.0006997368327574804
mean_train_target,val,depth_bin,deep,8,0.9001415893435478,5.737281441688538,3.4451948404312134,2.0638053864240646,0.17856463231146336,0.6116702033768431,0.7411805596791079,0.0010352568497182801
mean_train_target,val,depth_bin,medium,5,0.6207336068153382,3.5571083664894103,1.7405027091503142,0.482702249288559,0.1854693442583084,0.7058139534883721,0.7947790641665592,0.0002494139669579454
mean_train_target,val,depth_bin,shallow,5,0.9442412257194519,5.796021723747254,4.664400291442871,1.5251022815704345,0.20544823110103608,0.44406033940917666,0.6001094569751956,0.0006720218050759285
mean_train_target,val,aspect_bin,balanced,6,0.543444444735845,1.4925002753734589,0.7131501585245132,1.1674999346335728,0.15651611735423407,0.8712818375699616,0.9299322890480709,0.0005518076516940104
mean_train_target,val,aspect_bin,compact,6,0.9552693863709768,7.696555773417155,3.9001968701680503,1.3817443648974101,0.20797369380791983,0.3924418604651163,0.5545389658601176,0.0006854773382656276
mean_train_target,val,aspect_bin,narrow,2,0.9407869875431061,4.750000417232513,2.4720025062561035,1.7499998807907104,0.23994719982147217,0.6028977482465855,0.74917182774017,0.0008587870543124154
mean_train_target,val,aspect_bin,wide,4,1.0380374789237976,7.0073912143707275,6.740496635437012,1.9385000467300415,0.1790679171681404,0.4636488516997126,0.6246789745530418,0.0009369874023832381
mean_train_target,val,size_bin,elongated,2,0.9407869875431061,4.750000417232513,2.4720025062561035,1.7499998807907104,0.23994719982147217,0.6028977482465855,0.74917182774017,0.0008587870543124154
mean_train_target,val,size_bin,large_wide,4,1.0380374789237976,7.0073912143707275,6.740496635437012,1.9385000467300415,0.1790679171681404,0.4636488516997126,0.6246789745530418,0.0009369874023832381
mean_train_target,val,size_bin,medium_balanced,6,0.543444444735845,1.4925002753734589,0.7131501585245132,1.1674999346335728,0.15651611735423407,0.8712818375699616,0.9299322890480709,0.0005518076516940104
mean_train_target,val,size_bin,small_compact,6,0.9552693863709768,7.696555773417155,3.9001968701680503,1.3817443648974101,0.20797369380791983,0.3924418604651163,0.5545389658601176,0.0006854773382656276
mean_train_target,test,curvature_template,LD_dominant,6,0.7387904326121012,4.672500034173329,2.96608430147171,1.4748991876840591,0.16051311790943146,0.6129770141933047,0.7526310655717184,0.0007202360793598928
mean_train_target,test,curvature_template,WD_dominant,5,0.9113840937614441,6.623978447914124,5.809599590301514,1.3753204941749573,0.1641148954629898,0.43732986680118885,0.6016360605202924,0.0006472333654528484
mean_train_target,test,curvature_template,boxy,2,1.0061586201190948,7.299891710281372,1.8720026314258575,1.8376978039741516,0.24486388266086578,0.696639915693904,0.8204438182458612,0.001014299938105978
mean_train_target,test,curvature_template,round,2,0.7618655264377594,5.79989218711853,5.377997159957886,0.7500000894069672,0.14813612401485443,0.5491632636720314,0.7060259497057251,0.00036542911766446196
mean_train_target,test,curvature_template,sharp,3,1.1065986355145772,6.189524571100871,3.205336014429728,1.6866073608398438,0.28835835059483844,0.439922480620155,0.5977731748609528,0.0007422464162421724
mean_train_target,test,depth_bin,deep,6,0.9521036446094513,6.886630296707153,2.7873341143131256,2.159080982208252,0.196709044277668,0.5850790872025532,0.7266560487722852,0.001047835578598703
mean_train_target,test,depth_bin,medium,4,0.8053070157766342,6.448642253875732,5.754623830318451,0.27219783514738083,0.17705700173974037,0.5241989835391353,0.6796772375129526,0.00021063150597910862
mean_train_target,test,depth_bin,shallow,8,0.8639571666717529,4.851085394620895,3.902251422405243,1.4897422790527344,0.1932807471603155,0.5085768452982811,0.6614475642290352,0.0006767801460227929
mean_train_target,test,aspect_bin,balanced,3,0.7831247846285502,3.123369057973226,1.6840010086695354,1.7374341487884521,0.20566523571809134,0.6930232558139536,0.8158894597648922,0.0008357726813604435
mean_train_target,test,aspect_bin,compact,4,1.0399362593889236,7.5671706199646,3.8495025634765625,1.7368798851966858,0.22937507182359695,0.3866279069767442,0.5484107319391095,0.0007669175538467243
mean_train_target,test,aspect_bin,narrow,5,0.8439927101135254,5.267978525161743,2.6760027050971984,1.671939492225647,0.19222711026668549,0.6271964964718386,0.7667575946943653,0.0008359173603821546
mean_train_target,test,aspect_bin,wide,6,0.8527373870213827,6.657391945521037,6.188414096832275,0.9069493363300959,0.15651611735423407,0.4857202236750131,0.6491877459991436,0.0004648676003853325
mean_train_target,test,size_bin,elongated,5,0.8439927101135254,5.267978525161743,2.6760027050971984,1.671939492225647,0.19222711026668549,0.6271964964718386,0.7667575946943653,0.0008359173603821546
mean_train_target,test,size_bin,large_wide,6,0.8527373870213827,6.657391945521037,6.188414096832275,0.9069493363300959,0.15651611735423407,0.4857202236750131,0.6491877459991436,0.0004648676003853325
mean_train_target,test,size_bin,medium_balanced,3,0.7831247846285502,3.123369057973226,1.6840010086695354,1.7374341487884521,0.20566523571809134,0.6930232558139536,0.8158894597648922,0.0008357726813604435
mean_train_target,test,size_bin,small_compact,4,1.0399362593889236,7.5671706199646,3.8495025634765625,1.7368798851966858,0.22937507182359695,0.3866279069767442,0.5484107319391095,0.0007669175538467243
ridge_alpha_100,train,curvature_template,LD_dominant,12,0.4519885244468848,1.6921602226793766,2.058256027599176,0.72584185252587,0.11637654528021812,0.7804953775209883,0.8732749621593513,0.00033963266711604473
ridge_alpha_100,train,curvature_template,WD_dominant,10,0.38317870944738386,1.338384221494198,1.3550057485699654,0.42432585209608076,0.11205564588308334,0.8303504580095744,0.9043500067350662,0.00020821097859879956
ridge_alpha_100,train,curvature_template,boxy,18,0.48061025970511967,1.6523496185739834,1.2471256686581507,0.6633090409967635,0.14337746074630153,0.8275643827786868,0.9029043530197328,0.0003244349965017237
ridge_alpha_100,train,curvature_template,round,19,0.3750028637679,1.678972253673955,1.7189278520251576,0.5591397212916299,0.09301333825447057,0.76870740600514,0.861199254534049,0.00025786769688956586
ridge_alpha_100,train,curvature_template,sharp,17,0.5246270263896269,0.9968782417914447,1.273051365333445,0.5998204414020566,0.173895983134999,0.8434981613509398,0.9119010699300323,0.0002773594284971135
ridge_alpha_100,train,depth_bin,deep,21,0.4919395170041493,2.094472362881615,1.975912025287038,0.8989242895373276,0.12014984539044755,0.7959393766195239,0.8817854625853541,0.00040301174296820095
ridge_alpha_100,train,depth_bin,medium,27,0.4181226701648147,1.1480497541251007,1.5298125760422812,0.40700820295347107,0.12961072474718094,0.8254707494150756,0.9001447374475682,0.0002175776546075078
ridge_alpha_100,train,depth_bin,shallow,28,0.44036807040018694,1.332078498921224,1.1499929345612014,0.5659605049129043,0.13566850408512568,0.8038600112218057,0.8863849773999559,0.0002597958920367611
ridge_alpha_100,train,aspect_bin,balanced,21,0.43184109245027813,1.509450649221738,0.9887215441891125,0.5647326996993451,0.13242804631590843,0.8370928141632918,0.9073291145414151,0.00026493474017895224
ridge_alpha_100,train,aspect_bin,compact,20,0.44328068643808366,1.786259426176548,0.7747831076383591,0.5846344193443656,0.1370829798281193,0.7913063436672736,0.8782595594246034,0.0002744691548286937
ridge_alpha_100,train,aspect_bin,narrow,15,0.4231022591392199,1.3237553358078002,2.5527271111806233,0.43866049697001774,0.11130716167390346,0.7348583736360722,0.8425633673278241,0.00023694660994806328
ridge_alpha_100,train,aspect_bin,wide,20,0.4834768682718277,1.249973937869072,2.0224586501717567,0.7790771581232547,0.1314549220725894,0.8541282941055959,0.9191314444398199,0.00035024582321057095
ridge_alpha_100,train,size_bin,elongated,15,0.4231022591392199,1.3237553358078002,2.5527271111806233,0.43866049697001774,0.11130716167390346,0.7348583736360722,0.8425633673278241,0.00023694660994806328
ridge_alpha_100,train,size_bin,large_wide,20,0.4834768682718277,1.249973937869072,2.0224586501717567,0.7790771581232547,0.1314549220725894,0.8541282941055959,0.9191314444398199,0.00035024582321057095
ridge_alpha_100,train,size_bin,medium_balanced,21,0.43184109245027813,1.509450649221738,0.9887215441891125,0.5647326996993451,0.13242804631590843,0.8370928141632918,0.9073291145414151,0.00026493474017895224
ridge_alpha_100,train,size_bin,small_compact,20,0.44328068643808366,1.786259426176548,0.7747831076383591,0.5846344193443656,0.1370829798281193,0.7913063436672736,0.8782595594246034,0.0002744691548286937
ridge_alpha_100,val,curvature_template,LD_dominant,6,0.690957968433698,2.582472361624241,2.0275047160685062,1.3270627061525981,0.1856411099433899,0.7526052670529366,0.8474741205414652,0.0006263991538920285
ridge_alpha_100,val,curvature_template,WD_dominant,5,0.5671361684799194,2.8460848808288572,0.9351386860013008,0.7052972227334976,0.17002163529396058,0.806639322451858,0.8904471475143734,0.00033820735989138485
ridge_alpha_100,val,curvature_template,boxy,3,1.1426949501037598,2.528247117996216,2.910345196723938,2.3987895250320435,0.31905752420425415,0.7050430512351675,0.8122359005001017,0.0012686177894162636
ridge_alpha_100,val,curvature_template,round,2,0.6127170622348785,2.661850333213806,0.6476538330316544,0.3967210650444031,0.21403160691261292,0.7989805570152391,0.8866651923927465,0.0002537432446843013
ridge_alpha_100,val,curvature_template,sharp,2,0.9870456457138062,3.241368532180786,2.063381016254425,0.5235496163368225,0.3458661437034607,0.5251224185650415,0.688003663003663,0.0003713587939273566
ridge_alpha_100,val,depth_bin,deep,8,0.7517622373998165,3.522090658545494,1.5826862826943398,1.355052264407277,0.20449790637940168,0.7788631948808289,0.8660243892098111,0.0007400707327178679
ridge_alpha_100,val,depth_bin,medium,5,0.6254913985729218,2.0174728602170946,1.1628121078014373,0.37496825456619265,0.22194500267505646,0.7700936962199199,0.8611127372311488,0.00024058164126472548
ridge_alpha_100,val,depth_bin,shallow,5,0.8934968054294586,2.170469617843628,2.5036552429199217,1.5621025800704955,0.2590429291129112,0.6461578558593485,0.7778734146559099,0.0006764030200429261
ridge_alpha_100,val,aspect_bin,balanced,6,0.5566770136356354,2.0673312122623124,0.6777445487678051,0.3611307268341382,0.19756683831413588,0.8537729488497802,0.9193172804393303,0.0002325114570946122
ridge_alpha_100,val,aspect_bin,compact,6,0.6524948626756668,2.9571940700213113,0.9794131157298883,0.9436337550481161,0.19770145788788795,0.6933681118123308,0.8114521367449149,0.0004836409995429373
ridge_alpha_100,val,aspect_bin,narrow,2,1.1183882355690002,3.7923706769943237,4.036006569862366,2.7145745158195496,0.25896403193473816,0.6275843007186291,0.7559996619908738,0.0013089286221656948
ridge_alpha_100,val,aspect_bin,wide,4,1.029307797551155,2.846136152744293,3.2447169721126556,1.8170090913772583,0.28784626722335815,0.6935370885082621,0.806627511506641,0.0008976792960311286
ridge_alpha_100,val,size_bin,elongated,2,1.1183882355690002,3.7923706769943237,4.036006569862366,2.7145745158195496,0.25896403193473816,0.6275843007186291,0.7559996619908738,0.0013089286221656948
ridge_alpha_100,val,size_bin,large_wide,4,1.029307797551155,2.846136152744293,3.2447169721126556,1.8170090913772583,0.28784626722335815,0.6935370885082621,0.806627511506641,0.0008976792960311286
ridge_alpha_100,val,size_bin,medium_balanced,6,0.5566770136356354,2.0673312122623124,0.6777445487678051,0.3611307268341382,0.19756683831413588,0.8537729488497802,0.9193172804393303,0.0002325114570946122
ridge_alpha_100,val,size_bin,small_compact,6,0.6524948626756668,2.9571940700213113,0.9794131157298883,0.9436337550481161,0.19770145788788795,0.6933681118123308,0.8114521367449149,0.0004836409995429373
ridge_alpha_100,test,curvature_template,LD_dominant,6,0.5666604936122894,2.7294334371884665,1.7082086602846782,0.6033863592892885,0.16879649957021078,0.7486353465153758,0.8535281352807137,0.0003247358417866053
ridge_alpha_100,test,curvature_template,WD_dominant,5,0.5326566636562348,1.6670629113912583,1.9058195382356644,1.1553854942321777,0.13095617294311523,0.7561224467840184,0.8446947576677157,0.0005232234339928255
ridge_alpha_100,test,curvature_template,boxy,2,1.619477927684784,2.999999523162842,8.674521446228027,1.422383427619934,0.47967469692230225,0.5236155552501914,0.6839423484527343,0.0008050253381952643
ridge_alpha_100,test,curvature_template,round,2,0.3580125570297241,2.755394220352173,3.214164137840271,0.5685544386506081,0.04765004850924015,0.7071723116342381,0.8263953872406011,0.00025016706058522686
ridge_alpha_100,test,curvature_template,sharp,3,0.6999689439932505,2.572782059510549,1.1584057013193767,0.7187924149135748,0.2303637514511744,0.7409104229548121,0.8408431006655203,0.00024478652388400707
ridge_alpha_100,test,depth_bin,deep,6,0.7524574051300684,2.098008414109548,2.3129319747289023,0.8573365062475204,0.23577679817875227,0.7542683971777606,0.852432609329638,0.0005074015086089881
ridge_alpha_100,test,depth_bin,medium,4,0.8080726712942123,3.2785655558109283,4.178527984768152,1.202095378190279,0.19823911599814892,0.6813101436482207,0.7978839767602004,0.0004796213725057896
ridge_alpha_100,test,depth_bin,shallow,8,0.5463873706758022,2.2798420172184706,2.054904267191887,0.6978872567415237,0.15071041928604245,0.7132350447482745,0.8227144762984329,0.0003057977560274594
ridge_alpha_100,test,aspect_bin,balanced,3,0.5254801114400228,2.2323196729024253,1.5243288675944011,0.2516359103222688,0.1755910118420919,0.747930093399349,0.8495189680469436,0.00013665182511128174
ridge_alpha_100,test,aspect_bin,compact,4,0.6114755943417549,2.9422785192728043,1.2740253955125809,0.9515285165980458,0.17367716878652573,0.6944017326937386,0.8045959328513143,0.0003871300050377613
ridge_alpha_100,test,aspect_bin,narrow,5,1.0652676582336427,3.06392480134964,5.062302362918854,1.1146306589245796,0.30522051751613616,0.608811136247117,0.7516675737607558,0.0006079713959479705
ridge_alpha_100,test,aspect_bin,wide,6,0.4615755130847295,1.6925586238503456,2.008389654258887,0.9002205853660902,0.11095271818339825,0.8152130705728426,0.8937614781760379,0.00040182401911200333
ridge_alpha_100,test,size_bin,elongated,5,1.0652676582336427,3.06392480134964,5.062302362918854,1.1146306589245796,0.30522051751613616,0.608811136247117,0.7516675737607558,0.0006079713959479705
ridge_alpha_100,test,size_bin,large_wide,6,0.4615755130847295,1.6925586238503456,2.008389654258887,0.9002205853660902,0.11095271818339825,0.8152130705728426,0.8937614781760379,0.00040182401911200333
ridge_alpha_100,test,size_bin,medium_balanced,3,0.5254801114400228,2.2323196729024253,1.5243288675944011,0.2516359103222688,0.1755910118420919,0.747930093399349,0.8495189680469436,0.00013665182511128174
ridge_alpha_100,test,size_bin,small_compact,4,0.6114755943417549,2.9422785192728043,1.2740253955125809,0.9515285165980458,0.17367716878652573,0.6944017326937386,0.8045959328513143,0.0003871300050377613
svr_rbf_C10,train,curvature_template,LD_dominant,12,0.029696724688013394,0.17707367986440659,0.13636809339125952,0.04612447849164406,0.0067575590607399745,0.978041404770657,0.9888689919776872,2.243117645169453e-05
svr_rbf_C10,train,curvature_template,WD_dominant,10,0.029604816623032094,0.1893187865614891,0.13597300052642822,0.04615171365439892,0.00656278133392334,0.9716886853378602,0.9855690021979525,2.187941918236902e-05
svr_rbf_C10,train,curvature_template,boxy,18,0.029781602943936985,0.17939937363068262,0.13602023157808515,0.04628477866450945,0.006766308254251878,0.9743141215489081,0.9869440853729508,2.307757727572203e-05
svr_rbf_C10,train,curvature_template,round,19,0.02928144425938004,0.18442588887716593,0.13147206408412834,0.04492761998584396,0.006625539402624494,0.9764247325834317,0.9880150370624354,1.8437400764301665e-05
svr_rbf_C10,train,curvature_template,sharp,17,0.02995849313104854,0.18764402322909413,0.1361597452093573,0.04623144821209066,0.006747460814521593,0.9786295691077013,0.9891561921048492,1.7180355932984693e-05
svr_rbf_C10,train,depth_bin,deep,21,0.030046956436265083,0.19022378893125624,0.13620100489684514,0.04621546360708419,0.0067568023777788595,0.9817803162834722,0.9907713959669483,1.9498990089535557e-05
svr_rbf_C10,train,depth_bin,medium,27,0.029839988177021343,0.18946757526309402,0.1361945950322681,0.04528969954009409,0.006719637093030744,0.9765582268554637,0.9881148641786361,2.0334297746389724e-05
svr_rbf_C10,train,depth_bin,shallow,28,0.029194777631866082,0.17253489047288895,0.13284717899348056,0.04622677394321987,0.006635039346292615,0.9712625616204472,0.9853482780094468,2.0972733377025827e-05
svr_rbf_C10,train,aspect_bin,balanced,21,0.029680784880405382,0.18986177018710546,0.13204171579508556,0.04610679813084148,0.0066643451739634785,0.9776798971176175,0.9886781189845382,2.0433369779008597e-05
svr_rbf_C10,train,aspect_bin,compact,20,0.030043346248567103,0.18930458500981331,0.13610101416707038,0.0462154334411025,0.006768284249119461,0.9671906481399161,0.9832932179973671,2.0565181921483598e-05
svr_rbf_C10,train,aspect_bin,narrow,15,0.02969702345629533,0.17643235623836517,0.13591942290465037,0.046335378537575404,0.006762493991603454,0.9702919966792994,0.9848495299380455,2.1135960560059174e-05
svr_rbf_C10,train,aspect_bin,wide,20,0.02922503901645541,0.1760813407599926,0.1361754260957241,0.045005709305405615,0.006617490481585264,0.9875169869982587,0.9937102312350137,1.9414877669987618e-05
svr_rbf_C10,train,size_bin,elongated,15,0.02969702345629533,0.17643235623836517,0.13591942290465037,0.046335378537575404,0.006762493991603454,0.9702919966792994,0.9848495299380455,2.1135960560059174e-05
svr_rbf_C10,train,size_bin,large_wide,20,0.02922503901645541,0.1760813407599926,0.1361754260957241,0.045005709305405615,0.006617490481585264,0.9875169869982587,0.9937102312350137,1.9414877669987618e-05
svr_rbf_C10,train,size_bin,medium_balanced,21,0.029680784880405382,0.18986177018710546,0.13204171579508556,0.04610679813084148,0.0066643451739634785,0.9776798971176175,0.9886781189845382,2.0433369779008597e-05
svr_rbf_C10,train,size_bin,small_compact,20,0.030043346248567103,0.18930458500981331,0.13610101416707038,0.0462154334411025,0.006768284249119461,0.9671906481399161,0.9832932179973671,2.0565181921483598e-05
svr_rbf_C10,val,curvature_template,LD_dominant,6,0.6657990117867788,2.3222149113814035,2.088947636385759,1.1524321824933093,0.1852111928164959,0.7471544537916767,0.8455803363322189,0.0005630445011775009
svr_rbf_C10,val,curvature_template,WD_dominant,5,0.5606970727443695,2.8832353353500366,1.9073250770568848,1.0162127435207366,0.13595701456069947,0.7433365451553817,0.849642391187911,0.00047824706125538797
svr_rbf_C10,val,curvature_template,boxy,3,0.962293267250061,2.844633460044861,2.619181752204895,1.557918389638265,0.27984746793905896,0.7060990699310459,0.8250681538251884,0.0008970690735926231
svr_rbf_C10,val,curvature_template,round,2,0.4691223204135895,1.134122721850872,0.5718627870082855,0.3600027374923229,0.1712997630238533,0.8970239555228519,0.9442851942851942,0.00014352877406054176
svr_rbf_C10,val,curvature_template,sharp,2,1.0181718170642853,3.0791186094284058,1.3243309259414673,0.5961000621318817,0.37150871753692627,0.5721518987341772,0.7274590163934427,0.00042264787771273404
svr_rbf_C10,val,depth_bin,deep,8,0.7198108844459057,3.8026039600372314,2.2754733934998512,1.32772633805871,0.17704551201313734,0.7255872174383423,0.8327638450169325,0.0007031214172457112
svr_rbf_C10,val,depth_bin,medium,5,0.5905146300792694,1.4727273792028428,0.922679427266121,0.2569824490696192,0.22296299189329147,0.8064983876966885,0.8875189793873025,0.00020723085472127423
svr_rbf_C10,val,depth_bin,shallow,5,0.7897374570369721,1.5050761222839355,2.1806119203567507,1.3349789261817933,0.2370065078139305,0.6838137377687967,0.808136239938747,0.0005863874452188611
svr_rbf_C10,val,aspect_bin,balanced,6,0.5097573548555374,1.7395510151982307,1.0662795901298523,0.5099791664009293,0.1675717644393444,0.8351462705103857,0.9084174905427825,0.0002727759359307432
svr_rbf_C10,val,aspect_bin,compact,6,0.6681833863258362,2.7735317945480347,1.0644709790746372,0.8819413781166077,0.20880787074565887,0.6975233845640938,0.8158599494173173,0.0004756068544035467
svr_rbf_C10,val,aspect_bin,narrow,2,0.8608590960502625,2.559615194797516,2.7557429671287537,1.710896074771881,0.22799357026815414,0.7031328258038666,0.821703613226262,0.0008793431334197521
svr_rbf_C10,val,aspect_bin,wide,4,0.9675962179899216,3.2780304849147797,3.856063634157181,1.7020755410194397,0.25048666074872017,0.6634936961948887,0.7878287476381456,0.0008360199572052807
svr_rbf_C10,val,size_bin,elongated,2,0.8608590960502625,2.559615194797516,2.7557429671287537,1.710896074771881,0.22799357026815414,0.7031328258038666,0.821703613226262,0.0008793431334197521
svr_rbf_C10,val,size_bin,large_wide,4,0.9675962179899216,3.2780304849147797,3.856063634157181,1.7020755410194397,0.25048666074872017,0.6634936961948887,0.7878287476381456,0.0008360199572052807
svr_rbf_C10,val,size_bin,medium_balanced,6,0.5097573548555374,1.7395510151982307,1.0662795901298523,0.5099791664009293,0.1675717644393444,0.8351462705103857,0.9084174905427825,0.0002727759359307432
svr_rbf_C10,val,size_bin,small_compact,6,0.6681833863258362,2.7735317945480347,1.0644709790746372,0.8819413781166077,0.20880787074565887,0.6975233845640938,0.8158599494173173,0.0004756068544035467
svr_rbf_C10,test,curvature_template,LD_dominant,6,0.631378044684728,3.3101524114608765,2.3584080636501312,0.9243303582382699,0.16429716472824415,0.6741267233464633,0.7993656410644818,0.0004296006609365577
svr_rbf_C10,test,curvature_template,WD_dominant,5,0.7533538341522217,4.139677381515503,4.094721579551697,1.2376428723335267,0.1600583165884018,0.6046411992040831,0.7389407550360054,0.000546734462841414
svr_rbf_C10,test,curvature_template,boxy,2,1.1768138110637665,0.5207667052745819,6.1330389976501465,0.6514755040407181,0.38979750871658325,0.675158130422614,0.8053881220211245,0.0005556502292165533
svr_rbf_C10,test,curvature_template,round,2,0.42732565104961395,3.093199849128723,4.044535517692566,0.661577507853508,0.05703449249267578,0.6604111618224038,0.7948187996498404,0.0003085835633100942
svr_rbf_C10,test,curvature_template,sharp,3,1.0181794166564941,3.881191849708557,1.8954957326253254,1.1452288255095482,0.324333260456721,0.6035399923568823,0.7331868509887086,0.00047936221380950883
svr_rbf_C10,test,depth_bin,deep,6,0.9258251786231995,4.426347742478053,4.043532818555832,1.2230777790149052,0.23913684114813805,0.6014484655272487,0.7431861030870426,0.0006510945386253297
svr_rbf_C10,test,depth_bin,medium,4,0.6857447400689125,2.4134633243083954,4.464292883872986,0.8165965601801872,0.16736489720642567,0.6588469525950913,0.7922929757524996,0.000326354169374099
svr_rbf_C10,test,depth_bin,shallow,8,0.6899905726313591,2.9023587852716446,2.3184155076742172,0.898892012075521,0.193557214923203,0.6632057867645024,0.78282293704284,0.00040823082463248284
svr_rbf_C10,test,aspect_bin,balanced,3,0.6052257617314657,2.200065811475118,1.9064300060272217,0.21636781251678863,0.20716935892899832,0.7469622605455865,0.8438519484282195,0.00015226894781032266
svr_rbf_C10,test,aspect_bin,compact,4,0.9322527945041656,5.311538934707642,2.5587900280952454,1.4632079303264618,0.24268546141684055,0.47122840026326707,0.6392097782243014,0.0006223295495146886
svr_rbf_C10,test,aspect_bin,narrow,5,0.88025381565094,1.985174834728241,3.764928877353668,1.040381795167923,0.25995019227266314,0.6888639853452697,0.8149308327720399,0.0005674782092683017
svr_rbf_C10,test,aspect_bin,wide,6,0.6453161785999934,3.609763781229655,4.3144329984982805,1.0153574794530869,0.12678957854708037,0.6632674313739501,0.7879704826388182,0.00044905240307950106
svr_rbf_C10,test,size_bin,elongated,5,0.88025381565094,1.985174834728241,3.764928877353668,1.040381795167923,0.25995019227266314,0.6888639853452697,0.8149308327720399,0.0005674782092683017
