seed,sample_id,split,defect_group,defect_type,component_type_combination,source_dataset,source_pack,true_connected_component_count,pred_connected_component_count,IoU,Dice,area_error,center_error,pred_area,true_area,failure_category,short_note,preview_path
42,multi_sample_184,val,multi_defect,multi_defect,rectangular_notch+polygon,multi_defect_pilot_v3,multi_defect_pilot_v3,2,2,0.43161978661493694,0.6029810298102981,0.2109090909090909,12.264594298469598,651,825,localization,large center error,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_combined_baseline_v2_candidate\multi_sample_184_val_rectangular_notch_polygon.png
42,multi_sample_200,val,multi_defect,multi_defect,rotated_rect+polygon,multi_defect_pilot_v3,multi_defect_pilot_v3,2,2,0.4750762970498474,0.6441379310344828,0.14578005115089515,11.561849902082795,668,782,localization,large center error,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_combined_baseline_v2_candidate\multi_sample_200_val_rotated_rect_polygon.png
42,single_rot_v8_0020,val,single_defect,rotated_rect,rotated_rect,single_pilot_v9,pilot_v8_topup_rotated_rect,1,1,0.47835051546391755,0.6471408647140865,1.0253164556962024,3.5396216947228334,480,237,area_error,large area mismatch,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_combined_baseline_v2_candidate\single_rot_v8_0020_val_rotated_rect.png
42,multi_sample_176,val,multi_defect,multi_defect,rectangular_notch+rectangular_notch,multi_defect_pilot_v3,multi_defect_pilot_v3,2,2,0.4797872340425532,0.6484543493889289,0.09712722298221614,14.603247272918908,660,731,localization,large center error,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_combined_baseline_v2_candidate\multi_sample_176_val_rectangular_notch_rectangular_notch.png
42,multi_sample_194,val,multi_defect,multi_defect,rectangular_notch+polygon,multi_defect_pilot_v3,multi_defect_pilot_v3,2,2,0.5016835016835017,0.6681614349775785,0.0830945558739255,9.755024643549179,640,698,localization,large center error,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_combined_baseline_v2_candidate\multi_sample_194_val_rectangular_notch_polygon.png
42,multi_sample_206,test,multi_defect,multi_defect,rectangular_notch+rectangular_notch,multi_defect_pilot_v3,multi_defect_pilot_v3,2,2,0.5038314176245211,0.6700636942675159,0.34562697576396206,6.397756170148229,621,949,boundary/shape smoothing,mask area and component count are plausible but boundary remains coarse,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_combined_baseline_v2_candidate\multi_sample_206_test_rectangular_notch_rectangular_notch.png
42,single_poly_v8_0040,test,single_defect,polygon,polygon,single_pilot_v9,pilot_v8_topup_polygon,1,1,0.5092402464065708,0.6748299319727891,0.4394904458598726,2.1063369750793557,264,471,area_error,large area mismatch,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_combined_baseline_v2_candidate\single_poly_v8_0040_test_polygon.png
42,single_poly_v9_0080,test,single_defect,polygon,polygon,single_pilot_v9,pilot_v9_topup_polygon,1,1,0.5136268343815513,0.6786703601108033,0.40618101545253865,3.4383247417946965,269,453,area_error,large area mismatch,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_combined_baseline_v2_candidate\single_poly_v9_0080_test_polygon.png
42,multi_sample_218,test,multi_defect,multi_defect,rotated_rect+rotated_rect,multi_defect_pilot_v3,multi_defect_pilot_v3,2,2,0.5183714001986097,0.6827992151733159,0.21169590643274855,3.434635306274038,674,855,boundary/shape smoothing,mask area and component count are plausible but boundary remains coarse,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_combined_baseline_v2_candidate\multi_sample_218_test_rotated_rect_rotated_rect.png
42,multi_sample_231,test,multi_defect,multi_defect,rectangular_notch+rectangular_notch,multi_defect_pilot_v3,multi_defect_pilot_v3,2,2,0.5330882352941176,0.6954436450839329,0.2786885245901639,9.50336085923573,702,549,localization,large center error,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_combined_baseline_v2_candidate\multi_sample_231_test_rectangular_notch_rectangular_notch.png
42,multi_sample_220,test,multi_defect,multi_defect,rotated_rect+polygon,multi_defect_pilot_v3,multi_defect_pilot_v3,2,2,0.5365344467640919,0.6983695652173914,0.28837209302325584,7.32510428250329,612,860,boundary/shape smoothing,mask area and component count are plausible but boundary remains coarse,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_combined_baseline_v2_candidate\multi_sample_220_test_rotated_rect_polygon.png
42,multi_sample_238,test,multi_defect,multi_defect,rotated_rect+rotated_rect,multi_defect_pilot_v3,multi_defect_pilot_v3,2,2,0.5385375494071146,0.7000642260757868,0.27192008879023305,9.282642179051265,656,901,localization,large center error,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_combined_baseline_v2_candidate\multi_sample_238_test_rotated_rect_rotated_rect.png
42,single_rect_p2_0041,val,single_defect,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,1,1,0.5518672199170125,0.7112299465240641,0.8120300751879699,2.1818092633511648,482,266,area_error,large area mismatch,
42,single_rot_p3_0013,val,single_defect,rotated_rect,rotated_rect,single_pilot_v9,pilot_v3_rotated_rect,1,1,0.54292343387471,0.7037593984962406,0.7708333333333334,3.8948044117399983,425,240,area_error,large area mismatch,
42,single_rect_p2_0005,val,single_defect,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,1,1,0.5701754385964912,0.7262569832402235,0.7121212121212122,2.6090909729680924,452,264,area_error,large area mismatch,
42,single_rot_v7_0006,test,single_defect,rotated_rect,rotated_rect,single_pilot_v9,pilot_v7_topup_rotated_rect,1,1,0.5513126491646778,0.7107692307692308,0.7083333333333334,2.7055446086516133,410,240,area_error,large area mismatch,
42,single_rot_v9_0080,test,single_defect,rotated_rect,rotated_rect,single_pilot_v9,pilot_v9_topup_rotated_rect,1,1,0.5693430656934306,0.7255813953488373,0.698744769874477,1.642088031476207,406,239,area_error,large area mismatch,
42,single_poly_v9_0001,val,single_defect,polygon,polygon,single_pilot_v9,pilot_v9_topup_polygon,1,1,0.5645161290322581,0.7216494845360825,0.6454545454545455,3.274514925705183,362,220,area_error,large area mismatch,
42,single_rot_v8_0007,val,single_defect,rotated_rect,rotated_rect,single_pilot_v9,pilot_v8_topup_rotated_rect,1,1,0.5594059405940595,0.7174603174603175,0.6359832635983264,2.366100690859397,391,239,area_error,large area mismatch,
42,multi_sample_190,val,multi_defect,multi_defect,rotated_rect+polygon,multi_defect_pilot_v3,multi_defect_pilot_v3,2,2,0.5403973509933775,0.7016337059329321,0.16573556797020483,9.201213540941517,626,537,localization,large center error,
42,multi_sample_230,test,multi_defect,multi_defect,rotated_rect+polygon,multi_defect_pilot_v3,multi_defect_pilot_v3,2,2,0.5539568345323741,0.7129629629629629,0.012269938650306749,9.091250999437003,644,652,localization,large center error,
