selected_candidate,split,oracle_ordering_accuracy,surrogate_ordering_accuracy,mismatch_rate,oracle_residual_error_correlation,surrogate_residual_error_correlation,oracle_pair_count,surrogate_pair_count,oracle_only_check_ordering_accuracy,rows,base_samples,rows_by_variant,rows_by_source_defect_type,stage_c_gate_passed
PPF1_profile_station_mlp,train,0.5491071428571429,0.5803571428571429,0.4196428571428571,-0.06757427339553745,-0.13389354652925606,224,224,0.5491071428571429,64,8,"{""centerline_offset_small"": 8, ""half_width_expand_local"": 8, ""half_width_shrink_local"": 8, ""mixed_profile_perturbation"": 8, ""profile_extracted_reference"": 8, ""roughness_noise"": 8, ""smooth_global_width_scale"": 8, ""true_reference"": 8}","{""rectangular_notch"": 32, ""rotated_rect"": 32}",False
PPF1_profile_station_mlp,val,0.6785714285714286,0.6607142857142857,0.3392857142857143,0.782660842271333,0.5702796118144711,56,56,0.6785714285714286,16,2,"{""centerline_offset_small"": 2, ""half_width_expand_local"": 2, ""half_width_shrink_local"": 2, ""mixed_profile_perturbation"": 2, ""profile_extracted_reference"": 2, ""roughness_noise"": 2, ""smooth_global_width_scale"": 2, ""true_reference"": 2}","{""rectangular_notch"": 8, ""rotated_rect"": 8}",False
PPF1_profile_station_mlp,test,0.5357142857142857,0.21428571428571427,0.7857142857142857,0.9082860974626944,-0.7166925662494315,56,56,0.5357142857142857,16,2,"{""centerline_offset_small"": 2, ""half_width_expand_local"": 2, ""half_width_shrink_local"": 2, ""mixed_profile_perturbation"": 2, ""profile_extracted_reference"": 2, ""roughness_noise"": 2, ""smooth_global_width_scale"": 2, ""true_reference"": 2}","{""rectangular_notch"": 8, ""rotated_rect"": 8}",False
