group_field,group_value,split,sample_count,baseline_profile_rmse_mean_m,refined_profile_rmse_mean_m,oracle_profile_rmse_mean_m,refined_minus_baseline_rmse_mean_m,refined_minus_oracle_rmse_mean_m,baseline_Er_like_mean,refined_Er_like_mean,oracle_Er_like_mean,baseline_IoU_mean,refined_IoU_mean,oracle_IoU_mean,baseline_Dice_mean,refined_Dice_mean,oracle_Dice_mean,baseline_area_error_mean,refined_area_error_mean,oracle_area_error_mean,feature_residual_before_mean,feature_residual_after_mean,feature_residual_delta_mean,refinement_applied_rate,success_credit_allowed
target_role,already_pass_reference,all,22,0.0002532913497005759,0.0003391026600390606,0.0001304324134842716,8.581131033848475e-05,0.000208670246554789,0.6601285362044127,0.7733561974704848,0.29219603629307156,0.682265726538866,0.5474486698810677,0.8826151902247578,0.8073347622745057,0.6890050414149314,0.9368753414217083,0.46381587607456676,0.42928572484620203,0.07025748894451982,37.79796015126042,0.7277822957420671,-37.07017785551835,1.0,False
target_role,excluded_negative_control,all,16,0.0007183633569005014,0.000707711936309516,0.00028126370737191405,-1.0651420590985396e-05,0.00042644822893760196,2.7936654989702503,2.7718325828367405,0.9186959225628002,0.2024194458689453,0.2024194458689453,0.22804941108398244,0.33422720299978764,0.33422720299978764,0.34303849580876594,3.173946032875568,3.173946032875568,0.3670852982063319,82.12331600328562,82.12331600328562,0.0,0.0,False
target_role,refinement_target,all,82,0.0005095183510563877,0.00022038641318798514,7.848969549441313e-05,-0.00028913193786840255,0.00014189671769357202,2.8001573937890787,0.9099413634161813,0.2892552233304937,0.3236014023399166,0.5785234653693038,0.8896647641172107,0.480524080842404,0.709451842350591,0.9408601046285133,2.344364540375331,0.45255619687089155,0.062442648122924875,70.59442614894292,0.5641050369556577,-70.03032111198725,1.0,True
control,rbc_like_smooth_pit,all,24,0.0005011810231545006,0.00016519893431601588,4.089406676058101e-05,-0.00033598208883848477,0.00012430486755543488,3.6380501855799143,0.9170784367088456,0.20587309157387704,0.3467146514673433,0.5551283321622771,0.933662999355637,0.49355620883261464,0.6897547432153187,0.9656262234493874,2.591852149512013,0.6398801558634992,0.023727127598888082,96.96658157833303,0.5604883829954823,-96.40609319533753,1.0,False
control,non_rbc_refinement_target,all,61,0.0004946582866474266,0.00024034965557628236,9.181305302732612e-05,-0.00025430863107114425,0.00014853660254895623,2.361213172835493,0.8970474419178504,0.3177911914899781,0.3322788478822746,0.5893780258095116,0.8742355336085488,0.49162087325462134,0.7186041549437129,0.9321859097163192,2.1523037765811885,0.3825793473539912,0.07575404536433539,60.39458369785415,0.5726749260049812,-59.82190877184919,1.0,True
target_role,already_pass_reference,train,12,0.00022376416047105636,0.00029430284892871707,0.00011782530192262883,7.053868845766072e-05,0.00017647754700608824,0.604155867627259,0.729111091732336,0.2775092111622543,0.6718594755357135,0.5958351315621386,0.8959596111586325,0.800516427639339,0.7298660850934614,0.9444061345520609,0.49101610938630214,0.4222522033339264,0.06751063054150246,48.679653293888826,0.6874679760308626,-47.99218531785795,1.0,False
target_role,excluded_negative_control,train,9,0.000727914231883712,0.0007137757018045637,0.0002578012512187077,-1.4138530079148142e-05,0.000455974450585856,3.153392045745844,3.123907098046667,0.9117594682895055,0.2008979210715428,0.2008979210715428,0.23483131335327295,0.3319858334253243,0.3319858334253243,0.3521540337156892,3.5483272018546668,3.5483272018546668,0.3785805002935951,86.10313159212076,86.10313159212076,0.0,0.0,False
target_role,refinement_target,train,51,0.0005374218630695753,0.00020019012782658468,7.196776716540803e-05,-0.0003372317352429906,0.00012822236066117664,3.2527597829247066,0.9078345896322003,0.2946183660060461,0.3057732044749795,0.5817935806435787,0.8851725886438828,0.45997320130732633,0.7104358621433281,0.9383212568295697,2.571323037549887,0.436431983855547,0.06660857451231764,70.80472070218822,0.5457808511641502,-70.25893985102408,1.0,True
control,rbc_like_smooth_pit,train,14,0.0005149289441096854,0.0001342904449193765,3.71623433215979e-05,-0.00038063849919030886,9.712810159777861e-05,3.9988039368859303,0.8285004069889071,0.20943635629210533,0.3395047510317773,0.6086969019443143,0.9327467792791487,0.47745606990230954,0.7441609516051714,0.9651052761429162,2.894114096016801,0.5479319049490359,0.01963584859529175,112.09281812752951,0.5370489216145534,-111.55576920591497,1.0,False
control,non_rbc_refinement_target,train,40,0.0005155376263397498,0.00022210119556518427,8.239955313281002e-05,-0.00029343643077456554,0.00013970164243237425,2.791044887973391,0.9203785752817957,0.3175179060945025,0.32240533194852233,0.5746482842898514,0.8717278996993854,0.480137398486971,0.7006972965705751,0.930768787706248,2.296924180494318,0.40429600733126836,0.07980715258280122,56.60664803154911,0.5611104288649847,-56.045537602684135,1.0,True
