sample_id,split,true_shape_type,pred_shape_type,shape_correct,burial_depth_level,size_level,aspect_bin,center_region,true_L_mm,pred_L_mm,true_W_mm,pred_W_mm,true_D_mm,pred_D_mm,true_burial_depth_mm,pred_burial_depth_mm,true_center_x_mm,pred_center_x_mm,true_center_y_mm,pred_center_y_mm,true_center_z_mm,pred_center_z_mm,total_abs_normalized_error,L_error_mm,W_error_mm,D_error_mm,burial_depth_error_mm,center_xyz_error_mm,dimension_relative_max,failure_tags,is_catastrophic_failure,is_geometry_branch_failure
internal_pilot_006,test,internal_sphere,internal_sphere,True,shallow,large,compact,x_neg_y_pos,1.399999976158142,1.4911857843399048,1.399999976158142,1.2386499643325806,1.399999976158142,1.210955262184143,0.7999999523162842,1.859673261642456,-12.0,-8.386366844177246,3.0,1.5202269554138184,-1.5,-2.8072550296783447,0.5369745492935181,0.0911857932806015,0.16135001182556152,0.18904462456703186,1.0596733093261719,4.117886543273926,0.1350318769903162,center_outlier|burial_outlier|full_shift_failure|visual_suspect,True,False
internal_pilot_016,test,internal_sphere,internal_sphere,True,deep,medium,compact,x_neg_y_pos,1.2000000476837158,2.0370612144470215,1.2000000476837158,1.7819687128067017,1.2000000476837158,1.1508779525756836,3.1999998092651367,2.3536977767944336,-12.0,-8.248906135559082,3.0,-0.7882292866706848,-3.799999952316284,-2.33321213722229,0.5764431953430176,0.8370611071586609,0.5819686651229858,0.04912214353680611,0.8463021516799927,5.529272079467773,0.6975508949140352,center_outlier|dimension_outlier,False,False
internal_pilot_019,test,internal_sphere,internal_sphere,True,deep_plus,small,compact,x_neg_y_neg,1.0,1.5420089960098267,1.0,1.6048659086227417,1.0,1.1729066371917725,4.199999809265137,3.5740537643432617,-12.0,-7.966012477874756,-3.0,-2.92098069190979,-4.699999809265137,-4.190576076507568,0.3932029902935028,0.5420088768005371,0.6048658490180969,0.1729065477848053,0.6259461045265198,4.066793918609619,0.6048658490180969,center_outlier|dimension_outlier,False,False
internal_pilot_024,test,internal_sphere,internal_sphere,True,deep_plus,large,compact,x_neg_y_pos,1.399999976158142,1.4725879430770874,1.399999976158142,1.5847795009613037,1.399999976158142,1.273085355758667,4.199999809265137,3.791285514831543,-12.0,-10.682656288146973,3.0,-2.1225790977478027,-4.900000095367432,-4.24894905090332,0.45855528116226196,0.0725879818201065,0.18477952480316162,0.1269145905971527,0.4087144136428833,5.329172611236572,0.13198537710709873,center_outlier,False,False
internal_pilot_032,test,internal_ellipsoid,internal_ellipsoid,True,shallow,large,elongated_x,central,8.0,3.911884069442749,3.75,4.01770544052124,1.399999976158142,1.2481178045272827,0.7999999523162842,1.2149678468704224,0.0,0.49376291036605835,0.0,-0.047800276428461075,-1.5,-2.5020763874053955,0.5804517865180969,4.08811616897583,0.26770564913749695,0.15188218653202057,0.4149678349494934,1.1181429624557495,0.5110145211219788,dimension_outlier,False,False
internal_pilot_033,test,internal_ellipsoid,internal_ellipsoid,True,shallow,large,elongated_y,x_pos_y_pos,3.75,3.431893825531006,8.0,3.7890572547912598,1.399999976158142,1.1827330589294434,0.7999999523162842,1.1484556198120117,0.0,0.9546433687210083,3.0,-1.703192949295044,-1.5,-1.4649744033813477,0.7238914370536804,0.3181060254573822,4.210943222045898,0.21726684272289276,0.34845566749572754,4.799228668212891,0.5263679027557373,center_outlier|dimension_outlier,False,False
internal_pilot_039,test,internal_ellipsoid,internal_ellipsoid,True,medium,medium,elongated_y,x_pos_y_pos,2.625,3.0611250400543213,5.599999904632568,3.781146287918091,1.2000000476837158,1.1526002883911133,2.0,2.8774101734161377,0.0,1.270848274230957,3.0,0.9705860018730164,-2.5999999046325684,-2.551494598388672,0.3844773471355438,0.43612509965896606,1.8188533782958984,0.04739977791905403,0.8774101734161377,2.394979953765869,0.3247952516554978,dimension_outlier,False,False
internal_pilot_042,test,internal_ellipsoid,internal_ellipsoid,True,medium,large,elongated_y,x_pos_y_pos,3.75,3.783411741256714,8.0,3.069706439971924,1.399999976158142,1.1923872232437134,2.0,3.2520592212677,0.0,2.3389549255371094,3.0,0.015354657545685768,-2.700000047683716,-3.544935941696167,0.8811408281326294,0.0334118977189064,4.930294036865234,0.2076127529144287,1.2520591020584106,3.884936809539795,0.6162867546081543,center_outlier|burial_outlier|dimension_outlier|full_shift_failure|visual_suspect,True,False
internal_pilot_044,test,internal_ellipsoid,internal_ellipsoid,True,deep,small,elongated_x,central,3.1999998092651367,5.2189621925354,1.5,3.7383241653442383,1.0,1.3130905628204346,3.1999998092651367,3.0867204666137695,0.0,-0.33808591961860657,0.0,1.0861610174179077,-3.700000047683716,-3.5679240226745605,0.625331461429596,2.0189623832702637,2.2383241653442383,0.3130905032157898,0.1132795587182045,1.1452038288116455,1.4922161102294922,dimension_outlier,False,False
internal_pilot_045,test,internal_ellipsoid,internal_ellipsoid,True,deep,small,elongated_y,x_pos_y_pos,1.5,5.804032802581787,3.1999998092651367,3.651904821395874,1.0,1.28742516040802,3.1999998092651367,2.819568634033203,0.0,-2.11940598487854,3.0,0.4175609350204468,-3.700000047683716,-3.671529769897461,0.7270880937576294,4.304032802581787,0.45190495252609253,0.28742513060569763,0.38043129444122314,3.3409106731414795,2.8693552017211914,center_outlier|dimension_outlier,False,False
