source_index,sample_id,split,defect_type,angle_deg,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,notes
0,sample_001,train,rotated_rect,20.0,0.8,0.9833333333333333,0.9915966386554622,0.016666666666666666,0.06415990573887397,236,240,0,0.0022154527250677347,0.010919272899627686,0.013134725391864777,0.0,1.0,0.02890397608280182,rotated_rect_pilot_v3_training_gate_only
1,sample_002,train,rotated_rect,-30.0,0.8,0.9740740740740741,0.9868667917448405,0.022263450834879406,0.063684505423083,527,539,0,0.004572125151753426,0.01851952075958252,0.023091645911335945,0.0,1.0,0.06599031388759613,rotated_rect_pilot_v3_training_gate_only
2,sample_003,train,rotated_rect,-20.0,0.8,0.9910714285714286,0.9955156950672646,0.008928571428571428,0.0482024105162582,555,560,0,0.0011251198593527079,0.004963934421539307,0.006089054048061371,0.0,1.0,0.06808274984359741,rotated_rect_pilot_v3_training_gate_only
3,sample_005,train,rotated_rect,10.0,0.8,0.9732620320855615,0.986449864498645,0.023214285714285715,0.22962577744551244,547,560,0,0.0035152025520801544,0.013039171695709229,0.016554374247789383,0.0,1.0,0.06754574924707413,rotated_rect_pilot_v3_training_gate_only
4,sample_006,train,rotated_rect,30.0,0.8,0.975,0.9873417721518988,0.025,0.12026085414796304,234,240,0,0.0016411358956247568,0.011053204536437988,0.012694340199232101,0.0,1.0,0.028907548636198044,rotated_rect_pilot_v3_training_gate_only
5,sample_007,train,rotated_rect,20.0,0.8,0.9292196007259528,0.9633113828786454,0.03512014787430684,0.3268461290702572,522,541,0,0.012012986466288567,0.045166969299316406,0.05717995762825012,0.0,1.0,0.06661654263734818,rotated_rect_pilot_v3_training_gate_only
6,sample_008,train,rotated_rect,-30.0,0.8,0.992831541218638,0.9964028776978417,0.007168458781362007,0.07462764526818139,554,558,0,0.0013812376419082284,0.0035510659217834473,0.004932303447276354,0.0,1.0,0.06786779314279556,rotated_rect_pilot_v3_training_gate_only
7,sample_010,train,rotated_rect,-10.0,0.8,0.9380530973451328,0.9680365296803652,0.044642857142857144,0.6394080267028855,535,560,0,0.012970016337931156,0.03240931034088135,0.04537932574748993,0.0,1.0,0.06636910885572433,rotated_rect_pilot_v3_training_gate_only
8,sample_011,train,rotated_rect,10.0,0.8,0.941908713692946,0.9700854700854701,0.05,0.31403577685409656,228,240,0,0.0030140525195747614,0.028175950050354004,0.03119000233709812,0.0,1.0,0.028932690620422363,rotated_rect_pilot_v3_training_gate_only
9,sample_012,train,rotated_rect,30.0,0.8,0.8306878306878307,0.9075144508670521,0.07777777777777778,0.9328708702254321,498,540,0,0.03873814642429352,0.09329110383987427,0.13202925026416779,0.0,1.0,0.0650077685713768,rotated_rect_pilot_v3_training_gate_only
10,sample_013,train,rotated_rect,20.0,0.8,0.9876106194690265,0.993766696349065,0.0017793594306049821,0.13439948992098688,561,562,0,0.003168343100696802,0.012084484100341797,0.015252826735377312,0.0,1.0,0.06919312477111816,rotated_rect_pilot_v3_training_gate_only
11,sample_015,train,rotated_rect,-20.0,0.8,0.9132743362831859,0.9546716003700277,0.06964285714285715,0.6967185767544529,521,560,0,0.017667904496192932,0.04401880502700806,0.06168670952320099,0.0,1.0,0.06543347984552383,rotated_rect_pilot_v3_training_gate_only
12,sample_016,train,rotated_rect,-10.0,0.8,0.774074074074074,0.872651356993737,0.004166666666666667,0.63778762848966,239,240,0,0.034938156604766846,0.13054203987121582,0.16548019647598267,0.0,1.0,0.03010975569486618,rotated_rect_pilot_v3_training_gate_only
13,sample_017,train,rotated_rect,10.0,0.8,0.936247723132969,0.967074317968015,0.027829313543599257,0.4599142445274844,524,539,0,0.012113122269511223,0.046525537967681885,0.05863866209983826,0.0,0.9999998807907104,0.06717564910650253,rotated_rect_pilot_v3_training_gate_only
14,sample_018,train,rotated_rect,30.0,0.8,0.9546247818499127,0.9767857142857143,0.0,0.06872100501747802,560,560,0,0.010954033583402634,0.03187704086303711,0.04283107444643974,0.0,1.0,0.0703464150428772,rotated_rect_pilot_v3_training_gate_only
15,sample_020,train,rotated_rect,-30.0,0.8,0.9626998223801065,0.9809954751131221,0.023255813953488372,0.061311368285970044,546,559,0,0.0066380673088133335,0.023928940296173096,0.030567007139325142,0.0,1.0,0.0685991644859314,rotated_rect_pilot_v3_training_gate_only
16,sample_021,train,rotated_rect,-20.0,0.8,0.9392712550607287,0.9686847599164927,0.012448132780082987,0.3240083068027881,238,241,0,0.006835562642663717,0.038268983364105225,0.04510454460978508,0.0,1.0,0.03008262813091278,rotated_rect_pilot_v3_training_gate_only
17,sample_022,train,rotated_rect,-10.0,0.8,0.8734622144112478,0.9324577861163227,0.022263450834879406,1.3955937103534597,527,539,0,0.02575725130736828,0.07964175939559937,0.10539901256561279,0.0,1.0,0.06931498646736145,rotated_rect_pilot_v3_training_gate_only
18,sample_023,train,rotated_rect,10.0,0.8,0.9804964539007093,0.990152193375112,0.008912655971479501,0.17165873028002737,556,561,0,0.0036936234682798386,0.014139652252197266,0.017833275720477104,0.0,1.0,0.06933354586362839,rotated_rect_pilot_v3_training_gate_only
19,sample_025,train,rotated_rect,20.0,0.8,0.9494773519163763,0.9740840035746202,0.0053475935828877,0.5953734178187483,558,561,0,0.012077679857611656,0.03158211708068848,0.04365979880094528,0.0,1.0,0.06980552524328232,rotated_rect_pilot_v3_training_gate_only
20,sample_026,train,rotated_rect,-30.0,0.8,0.9203187250996016,0.9585062240663901,0.008333333333333333,0.6786416826329996,242,240,0,0.007621432654559612,0.056107282638549805,0.0637287124991417,0.0,0.9999998807907104,0.030947182327508926,rotated_rect_pilot_v3_training_gate_only
21,sample_027,train,rotated_rect,-20.0,0.8,0.8725663716814159,0.9319470699432892,0.040740740740740744,1.0403686077966994,518,540,0,0.02315470576286316,0.07192790508270264,0.0950826108455658,0.0,1.0,0.06756278872489929,rotated_rect_pilot_v3_training_gate_only
22,sample_028,train,rotated_rect,-10.0,0.8,0.9679715302491103,0.9837251356238698,0.0285204991087344,0.26291556824859563,545,561,0,0.005715679377317429,0.016694247722625732,0.02240992709994316,0.0,1.0,0.067740797996521,rotated_rect_pilot_v3_training_gate_only
23,sample_030,train,rotated_rect,30.0,0.8,0.9392361111111112,0.9686660698299016,0.005357142857142857,0.24901683387440918,557,560,0,0.012221358716487885,0.04308772087097168,0.055309079587459564,0.0,1.0,0.0714084580540657,rotated_rect_pilot_v3_training_gate_only
24,sample_031,train,rotated_rect,20.0,0.8,0.9791666666666666,0.9894736842105263,0.020833333333333332,0.02976453457953749,235,240,0,0.0020512682385742664,0.011704623699188232,0.013755891472101212,0.0,1.0,0.028932830318808556,rotated_rect_pilot_v3_training_gate_only
25,sample_032,train,rotated_rect,-30.0,0.8,0.975925925925926,0.9878163074039362,0.02040816326530612,0.14741281865979708,528,539,0,0.004746897146105766,0.019838273525238037,0.024585170671343803,0.0,1.0,0.06589875370264053,rotated_rect_pilot_v3_training_gate_only
26,sample_033,train,rotated_rect,-20.0,0.8,0.9928698752228164,0.9964221824686941,0.0035714285714285713,0.03791008006648348,558,560,0,0.0013349589426070452,0.004759728908538818,0.00609468761831522,0.0,1.0,0.06834470480680466,rotated_rect_pilot_v3_training_gate_only
27,sample_035,train,rotated_rect,10.0,0.8,0.9660714285714286,0.9827429609445958,0.033928571428571426,0.2571185719117746,541,560,0,0.002998280804604292,0.013671576976776123,0.016669858247041702,0.0,1.0,0.06721010059118271,rotated_rect_pilot_v3_training_gate_only
28,sample_036,train,rotated_rect,30.0,0.8,0.975103734439834,0.9873949579831933,0.016666666666666666,0.16398038959479877,236,240,0,0.00160914845764637,0.014591574668884277,0.016200723126530647,0.0,1.0,0.02903165854513645,rotated_rect_pilot_v3_training_gate_only
29,sample_037,train,rotated_rect,20.0,0.8,0.8824561403508772,0.9375582479030755,0.0166358595194085,0.8534226224216815,532,541,0,0.022952252998948097,0.06950241327285767,0.09245466440916061,0.0,1.0,0.06894630938768387,rotated_rect_pilot_v3_training_gate_only
