feature_set,model,split,feature_count,selection_score,selected_by_validation,normalized_param_mae,dimension_mae_norm,curvature_mae_norm,curvature_mae,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error,projected_mask_iou,projected_mask_dice,profile_depth_rmse_m,clip_rate,notes
F0_existing_only,ridge_alpha0.1,train,135,1.6968205622146708,False,0.3061369130916802,0.2628895015122346,0.3493843233172586,0.07672119689573545,1.1432115112281875,1.221315480630707,0.5070283702563172,0.08254087228833894,0.07839593548833589,0.06922678226306114,0.8369860951608674,0.9071883052864134,0.00024406282942537573,0.32098765432098764,train diagnostic only
F0_existing_only,ridge_alpha0.1,val,135,1.6968205622146708,False,0.9644360817395724,0.7426590122855626,1.1862131125078752,0.2607834512511125,3.202588656391853,3.941697109777194,1.272016351421674,0.31027693779040605,0.23638355426299265,0.23568985706720597,0.6300450481322657,0.7530724155732464,0.0006614234933714705,0.717948717948718,validation-only candidate
F0_existing_only,ridge_alpha1,train,135,1.6617367184517675,False,0.32824820106458147,0.2785035708436259,0.3779928293079138,0.08298485820687572,1.251517509650669,1.266296916031911,0.5365619883171202,0.08975774895997694,0.08362573789961544,0.07557108777540701,0.827510338313175,0.9014668531575707,0.0002568888649239785,0.29012345679012347,train diagnostic only
F0_existing_only,ridge_alpha1,val,135,1.6617367184517675,False,0.9353360304465661,0.6858263247861311,1.1848457270325758,0.26033375488641936,2.8010015168633218,3.6430416565675,1.2121696539509754,0.29438275251633084,0.2517632062618549,0.23485531409581503,0.6455904668457513,0.7697981715747196,0.0006277519331398743,0.6666666666666666,validation-only candidate
F0_existing_only,ridge_alpha10,train,135,1.5366726305060066,False,0.38596548747133325,0.31376174754566616,0.45816922983453595,0.10062832338448016,1.4292339528968305,1.4337361674801803,0.5973255537323837,0.10857906827220211,0.10296890433923697,0.09033699646408175,0.8118501889161334,0.8912964188720718,0.0002852027856915586,0.18518518518518517,train diagnostic only
F0_existing_only,ridge_alpha10,val,135,1.5366726305060066,False,0.8609882734524898,0.5868919392426809,1.1350845988266742,0.2491654748789584,2.1985745636316447,2.8068322711266003,1.191658534324513,0.26769390320166564,0.25252359341352415,0.22727892184868836,0.6986921499787027,0.8130383668023257,0.0005886291867052653,0.48717948717948717,validation-only candidate
F0_existing_only,ridge_alpha100,train,135,1.3570746068098452,False,0.48175936803957564,0.3713224746838764,0.5921962577504692,0.1301379248637844,1.6751872217397632,1.7780737751565965,0.6832813054300201,0.1392572382350027,0.13683902113525956,0.11431751354241076,0.783278141153658,0.8721436056701176,0.00032896929700161116,0.08024691358024691,train diagnostic only
F0_existing_only,ridge_alpha100,val,135,1.3570746068098452,False,0.7688772147282575,0.5063366749538825,1.0314177435178022,0.2264384252902789,1.9945699442655613,2.1475736558055267,1.0971187164959235,0.24220899740854898,0.23174897218361878,0.20535729787288567,0.7363775395969653,0.8394989094831012,0.0005379188253125624,0.20512820512820512,validation-only candidate
F0_existing_only,ridge_alpha300,train,135,1.3135250842490782,False,0.544672325345469,0.41834300848436945,0.6710016489212896,0.14740670239552855,1.871632203919652,2.0581906439023623,0.7549940537155411,0.15605375428258636,0.1557641261153751,0.13040222540313814,0.7576470001177927,0.8550373398487471,0.00036053433244955224,0.043209876543209874,train diagnostic only
F0_existing_only,ridge_alpha300,val,135,1.3135250842490782,False,0.7503546453439273,0.49990865072378743,1.000800656966674,0.21962946366805297,2.089774651405139,2.110757225790085,1.0567788890539072,0.23430819694812483,0.22302580643922854,0.2015543839870355,0.7343774168782655,0.8378477074436347,0.0005189150426117405,0.1282051282051282,validation-only candidate
