group_field,group_value,split,count,notes
shape_type,asymmetric_corrosion,test,3,
shape_type,asymmetric_corrosion,train,10,
shape_type,asymmetric_corrosion,val,3,
shape_type,elongated_crack_like_surface_defect,test,3,
shape_type,elongated_crack_like_surface_defect,train,10,
shape_type,elongated_crack_like_surface_defect,val,3,
shape_type,flat_bottom_pit,test,3,
shape_type,flat_bottom_pit,train,10,
shape_type,flat_bottom_pit,val,3,
shape_type,irregular_corrosion_non_rbc,test,3,
shape_type,irregular_corrosion_non_rbc,train,9,
shape_type,irregular_corrosion_non_rbc,val,4,
shape_type,multi_pit_two_component_surface_defect,test,4,
shape_type,multi_pit_two_component_surface_defect,train,9,
shape_type,multi_pit_two_component_surface_defect,val,3,
shape_type,rbc_like_smooth_pit,test,5,
shape_type,rbc_like_smooth_pit,train,14,
shape_type,rbc_like_smooth_pit,val,5,
shape_type,sharp_wall_boxy_corrosion,test,3,
shape_type,sharp_wall_boxy_corrosion,train,10,
shape_type,sharp_wall_boxy_corrosion,val,3,
topology_type,elongated,test,3,
topology_type,elongated,train,10,
topology_type,elongated,val,3,
topology_type,irregular,test,3,
topology_type,irregular,train,9,
topology_type,irregular,val,4,
topology_type,multi_component,test,4,
topology_type,multi_component,train,9,
topology_type,multi_component,val,3,
topology_type,single_component,test,14,
topology_type,single_component,train,44,
topology_type,single_component,val,14,
representation_target,component_set,test,4,
representation_target,component_set,train,9,
representation_target,component_set,val,3,
representation_target,depth_grid,test,3,
representation_target,depth_grid,train,9,
representation_target,depth_grid,val,4,
representation_target,polygon_or_contour,test,9,
representation_target,polygon_or_contour,train,30,
representation_target,polygon_or_contour,val,9,
representation_target,profile_basis,test,3,
representation_target,profile_basis,train,10,
representation_target,profile_basis,val,3,
representation_target,six_param_rbc,test,5,
representation_target,six_param_rbc,train,14,
representation_target,six_param_rbc,val,5,
