epoch,train_loss,train_bce,train_dice_loss,val_loss,val_bce,val_dice_loss,val_iou_at_0_5,val_dice_at_0_5,val_area_error_at_0_5,val_score_at_0_5
1,1.4383970896402996,0.5430893376469612,0.8953077793121338,1.1760462522506714,0.2841106355190277,0.8919356465339661,0.0,0.0,1.0,-1.0
2,0.8228591084480286,0.1337053875128428,0.6891537209351858,0.6253331303596497,0.08542778342962265,0.5399053692817688,0.0,0.0,1.0,-1.0
3,0.6293282508850098,0.10273697227239609,0.5265912810961405,0.5974541902542114,0.09108798950910568,0.5063661932945251,0.019147338217840485,0.03745071955826167,0.9612434728457528,-0.9046454150696507
4,0.585489441951116,0.07875212902824084,0.5067373017470042,0.569303572177887,0.07836748659610748,0.4909361004829407,0.03734281702201411,0.07166927809773997,0.9171195620538021,-0.808107466934048
5,0.5703431864579519,0.0833197037378947,0.4870234827200572,0.5709441900253296,0.09138642996549606,0.47955775260925293,0.04281839756387931,0.08170206367516036,0.9099645964370636,-0.7854441351980239
6,0.5618096093336741,0.08381960292657216,0.4779900113741557,0.5638768672943115,0.08790913224220276,0.47596776485443115,0.05250440815345355,0.09932062824874645,0.8803056274233545,-0.7284805910211545
7,0.5546395480632782,0.07760892622172832,0.47703062494595844,0.5603582859039307,0.08672131597995758,0.4736369848251343,0.11001149270466415,0.1965048845793864,0.7872562379268327,-0.4807398606427822
8,0.5432930688063303,0.07996385420362155,0.4633292059103648,0.5471518635749817,0.08729588985443115,0.45985597372055054,0.581194047309821,0.7307132256134289,0.29198218980102514,1.0199250831222249
9,0.5311438143253326,0.081841296205918,0.44930251439412433,0.523635983467102,0.07803661376237869,0.44559937715530396,0.6117843058607867,0.7547243947858254,0.3414794036775499,1.0250292969690622
10,0.47921229402224225,0.07270689556996028,0.40650539596875507,0.40223369002342224,0.11159779876470566,0.290635883808136,0.6167169511722833,0.7586375863049426,0.3669673709953301,1.008387166481896
11,0.3867136736710866,0.13012287641565004,0.2565907935301463,0.3537774682044983,0.08303570747375488,0.2707417607307434,0.618818243348265,0.760173281057884,0.35437287704923626,1.0246186473569125
12,0.35603345930576324,0.07343226795395215,0.28260119756062824,0.3417411148548126,0.09123089909553528,0.25051021575927734,0.6285428538049972,0.7664760364951916,0.31513788685396604,1.0798810034462227
13,0.34172065059343976,0.09314609318971634,0.24857454498608908,0.3502528667449951,0.08426421880722046,0.26598864793777466,0.6246397220198862,0.7651804328749993,0.3249806078240141,1.0648395470708714
14,0.3400914818048477,0.07218093487123649,0.26791055003801983,0.35355573892593384,0.103726327419281,0.24982941150665283,0.6216424980506795,0.7629292750749408,0.33080726578042496,1.0537645073451953
15,0.3392496208349864,0.09517139320572217,0.24407822887102762,0.34303122758865356,0.07563990354537964,0.2673913240432739,0.6255597983319762,0.7652902440747459,0.3098739791579655,1.0809760632487566
16,0.3341640482346217,0.06939391481379668,0.26477013031641644,0.34410032629966736,0.08946850150823593,0.25463181734085083,0.6225870393616959,0.7635565538747066,0.31578594177387453,1.070357651462528
17,0.33146848281224567,0.08482638994852702,0.24664209286371866,0.3391948342323303,0.08162636309862137,0.25756847858428955,0.6239634494601023,0.7642421758978323,0.3175485605349597,1.0706570648229747
18,0.3280912737051646,0.07432244097193082,0.2537688414255778,0.3446977138519287,0.08533425629138947,0.25936347246170044,0.6217751202412418,0.7634783923367499,0.296876472239345,1.0883770403386466
19,0.3283102015654246,0.0766770498206218,0.2516331473986308,0.3414997458457947,0.08424675464630127,0.2572529911994934,0.6221130591397368,0.7636819055353641,0.2953113718648911,1.0904835928102097
20,0.32839255034923553,0.07427151749531428,0.2541210353374481,0.33678558468818665,0.08226647973060608,0.25451910495758057,0.6242473060184656,0.7647554044664017,0.2925193099306556,1.0964834005542117
21,0.3276836921771367,0.07820070286591847,0.24948298931121826,0.34409597516059875,0.09120603650808334,0.2528899312019348,0.6247242447244251,0.7655591373408578,0.29741470194862185,1.092868680116661
22,0.3252335637807846,0.0771466251462698,0.24808693925539652,0.3404240608215332,0.08359338343143463,0.25683069229125977,0.6251769320495606,0.7657605291444091,0.2903002983240647,1.100637162869905
23,0.33003076662619907,0.07637987037499745,0.25365089376767475,0.33952197432518005,0.08898647874593735,0.2505354881286621,0.6244848829021605,0.7650668580733234,0.2847971403443796,1.1047546006311044
24,0.3237048387527466,0.07165709386269252,0.25204774737358093,0.33710935711860657,0.08080478757619858,0.2563045620918274,0.6243443043474697,0.7658566594315058,0.281900214223987,1.1083007495549884
25,0.3274642527103424,0.08444839715957642,0.243015855550766,0.3285263478755951,0.06396707892417908,0.264559268951416,0.6332059914838944,0.7722346129799585,0.28175700692932554,1.1236835975345274
26,0.31841841340065,0.07310625289877255,0.24531216422716776,0.3083988130092621,0.060507871210575104,0.24789094924926758,0.6324250201858829,0.7718020398104093,0.20150304850964593,1.2027240114866462
27,0.297111451625824,0.05842755859096845,0.2386838992436727,0.3525197505950928,0.11490701138973236,0.23761272430419922,0.6274087001270058,0.7694023487689536,0.2323783752500913,1.164432673645868
28,0.31422699987888336,0.09684719828267892,0.21737979849179587,0.33874213695526123,0.07276904582977295,0.2659730911254883,0.6357044216072902,0.7700258905722661,0.4444121611630867,0.9613181510164697
29,0.30149393031994504,0.06876145303249359,0.23273247480392456,0.328554630279541,0.07823264598846436,0.25032198429107666,0.6283420629639872,0.7672522742225142,0.3131910992710856,1.0824032379154158
30,0.2645767430464427,0.06206881379087766,0.20250792304674783,0.35331666469573975,0.10345864295959473,0.24985802173614502,0.6155676638526061,0.7583037387055516,0.25601003896460733,1.1178613635935504
31,0.27960848808288574,0.07125583787759145,0.20835264523824057,0.308925062417984,0.06660183519124985,0.24232321977615356,0.6541668961992907,0.7888124327726161,0.22527354697653013,1.2177057819953767
32,0.274157851934433,0.05874966333309809,0.2154081960519155,0.2889441251754761,0.07922035455703735,0.20972377061843872,0.6769753458879156,0.8013836563243285,0.2725247874044093,1.205834214807835
33,0.25416729350884754,0.06171678565442562,0.1924505035082499,0.2985072135925293,0.07692766934633255,0.22157955169677734,0.6697882904832171,0.7984452380071074,0.29416701451102145,1.174066513979303
34,0.24588110049565634,0.06390006343523662,0.1819810370604197,0.32364410161972046,0.10441534966230392,0.21922874450683594,0.660856470699697,0.7914435249418692,0.25533920135190713,1.196960794289659
