seed,group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean,pred_connected_component_count_mean,predicted_component_count_correct_rate,predicted_component_count_is_1_rate,predicted_component_count_is_2_rate,missed_component_rate,merged_component_rate,split_component_rate,component_recall_mean
all,source_dataset=multi_defect_pilot_v3,train,480,0.6542103864182489,0.7890564148414891,0.13049125530745673,3.567811223092435,676.34375,714.18125,0,0.33335311273112894,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
all,source_dataset=single_pilot_v9,train,1206,0.7109803721245456,0.8286516938944035,0.1565639714075016,2.292376956037488,385.0381426202322,402.5422885572139,0,0.23800388197870198,1.0008291873963515,0.9991708126036484,0.9991708126036484,0.0008291873963515755,0.0,0.0,0.0008291873963515755,1.0
all,source_dataset=multi_defect_pilot_v3,val,120,0.6111670260358184,0.7561516597076782,0.1283996531121014,4.407381451555646,675.0833333333334,721.225,0,0.39271042607724665,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
all,source_dataset=single_pilot_v9,val,297,0.6695252231450206,0.7992480235537248,0.2100848388445313,2.671945461306779,345.12794612794613,343.4141414141414,0,0.27450077248241767,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,source_dataset=multi_defect_pilot_v3,test,120,0.6088015076736539,0.754976445814187,0.15073180925159477,3.9133391504414297,675.5,708.875,0,0.39013058121005695,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
all,source_dataset=single_pilot_v9,test,297,0.6601348228163123,0.7926426883342018,0.23728807413929587,2.476632821290941,363.8989898989899,372.6060606060606,0,0.28527351659456085,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,source_dataset=multi_defect_pilot_v3,all,720,0.6394683465637446,0.7778922941479701,0.1335160805989205,3.76532758239447,675.9930555555555,714.4708333333333,0,0.3527089097019699,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
all,source_dataset=single_pilot_v9,all,1800,0.6957507569070653,0.8178586023707584,0.17871439148535753,2.3854079771737404,374.965,387.8466666666667,0,0.2518253586234318,1.0005555555555556,0.9994444444444445,0.9994444444444445,0.0005555555555555556,0.0,0.0,0.0005555555555555556,1.0
all,source_pack=multi_defect_pilot_v3,train,480,0.6542103864182489,0.7890564148414891,0.13049125530745673,3.567811223092435,676.34375,714.18125,0,0.33335311273112894,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
all,source_pack=pilot_v2_rectangular_notch,train,243,0.7522913072249867,0.8569867744711555,0.14756219399941928,1.915247214993325,468.7078189300411,514.1481481481482,0,0.20573922764862515,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,source_pack=pilot_v3_rotated_rect,train,90,0.678015012939722,0.8060109480730757,0.13289136152255984,2.3473218368688142,435.03333333333336,480.06666666666666,0,0.27336548931068844,1.011111111111111,0.9888888888888889,0.9888888888888889,0.011111111111111112,0.0,0.0,0.011111111111111112,1.0
all,source_pack=pilot_v5_polygon,train,126,0.723461121924591,0.8371871566965696,0.1136440659496243,2.372676448078378,395.04761904761904,386.57142857142856,0,0.22901403785697996,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,source_pack=pilot_v7_topup_polygon,train,12,0.7558887962604875,0.8592403515267408,0.10445277299845705,1.599284918305992,341.5,363.5,0,0.19269567728042603,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,source_pack=pilot_v7_topup_rotated_rect,train,48,0.7162815435513613,0.8329681243567822,0.13481741363304675,2.0519255813750834,258.6041666666667,239.5,0,0.22312933237602314,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,source_pack=pilot_v8_topup_polygon,train,72,0.6950945506685182,0.8171127551644144,0.17366413974170788,2.5275835211626423,362.9861111111111,385.25,0,0.25336738241215545,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,source_pack=pilot_v8_topup_rotated_rect,train,72,0.6976455917896351,0.8203361715602135,0.1578423149011109,2.272591181517038,275.02777777777777,239.5,0,0.2438443407623304,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,source_pack=pilot_v9_topup_polygon,train,192,0.7032240458801611,0.8234178839781897,0.14995765233631675,2.474704093616,371.984375,390.703125,0,0.24410701578017324,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,source_pack=pilot_v9_topup_rectangular_notch,train,159,0.7153572304751287,0.8309968883365444,0.17114247251767992,2.3387620779899025,461.8364779874214,545.4528301886793,0,0.23986091572533613,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,source_pack=pilot_v9_topup_rotated_rect,train,192,0.6769156366788645,0.8055477796295448,0.20355471502797076,2.493138312856687,282.4479166666667,239.75,0,0.2591205924982205,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,source_pack=multi_defect_pilot_v3,val,120,0.6111670260358184,0.7561516597076782,0.1283996531121014,4.407381451555646,675.0833333333334,721.225,0,0.39271042607724665,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
all,source_pack=pilot_v2_rectangular_notch,val,57,0.6819866786506406,0.8080623958677421,0.2501451026470867,2.5316643148094413,368.17543859649123,349.05263157894734,0,0.26807036080904173,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,source_pack=pilot_v3_rotated_rect,val,27,0.6686028592150391,0.7990231664309879,0.19563864266245223,2.715610000678858,428.037037037037,448.6666666666667,0,0.28193081032346795,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,source_pack=pilot_v5_polygon,val,27,0.6540416123953868,0.7876730717892657,0.20999392107884504,3.2826408160659577,406.8888888888889,391.3333333333333,0,0.2951678978624167,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,source_pack=pilot_v7_topup_polygon,val,24,0.6358081398888854,0.7744122475270873,0.21721739679006866,3.111943504459869,337.1666666666667,394.75,0,0.30481194518506527,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,source_pack=pilot_v7_topup_rotated_rect,val,24,0.6996299072135095,0.8207858858751663,0.05834800010995561,2.5324699336976706,239.58333333333334,240.0,0,0.23012870891640583,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,source_pack=pilot_v8_topup_polygon,val,24,0.6805272655317051,0.8070147407945286,0.2081244868910501,2.5015590226895354,354.5416666666667,392.375,0,0.2648460194468498,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,source_pack=pilot_v8_topup_rotated_rect,val,24,0.6578331132367525,0.7902501465099326,0.29538547210508076,2.5307129510186104,311.0,240.375,0,0.28517760646839935,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,source_pack=pilot_v9_topup_polygon,val,24,0.6659323848965956,0.7967064821579974,0.21446232482441904,3.009044270794709,360.6666666666667,383.875,0,0.27399849984794855,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
