seed,group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean,pred_connected_component_count_mean,predicted_component_count_is_3_rate,missed_component_rate,merged_component_rate,split_component_rate,extra_fragment_rate,component_recall_mean
all,pred_connected_component_count=3,train,232,0.7451820402824625,0.8445517265902324,0.05966843935671769,1.8627605293691145,430.62068965517244,431.3146551724138,0,0.21951422145879218,3.0,1.0,0.017241379310344827,0.0,0.0,0.0,0.9942528735632183
all,pred_connected_component_count=4,train,7,0.7422240398962645,0.8396552064606141,0.06061976135810929,2.746649937455147,405.42857142857144,428.14285714285717,0,0.2149990690605981,4.0,0.0,0.0,0.0,1.0,1.0,1.0
all,pred_connected_component_count=6,train,1,0.36363636363636365,0.5333333333333333,0.09027777777777778,4.557358134483028,393.0,432.0,0,0.5800665020942688,6.0,0.0,0.0,0.0,1.0,1.0,1.0
all,pred_connected_component_count=3,val,59,0.6918545215622889,0.8109153165182926,0.08032010764798722,2.2290054612762895,429.3728813559322,432.40677966101697,0,0.2824081203947633,3.0,1.0,0.01694915254237288,0.0,0.0,0.0,0.9943502824858758
all,pred_connected_component_count=6,val,1,0.5885826771653543,0.7410161090458488,0.08527131782945736,0.8876119719257738,420.0,387.0,0,0.43046557903289795,6.0,0.0,0.0,0.0,1.0,1.0,1.0
all,pred_connected_component_count=3,test,59,0.6202190917177967,0.7546249338653571,0.08572243016177955,2.9883779436476985,434.22033898305085,433.8305084745763,0,0.36282472640781077,3.0,1.0,0.05084745762711865,0.0,0.0,0.0,0.9830508474576272
all,pred_connected_component_count=4,test,1,0.8325991189427313,0.9086538461538461,0.11704834605597965,1.1654856136158729,439.0,393.0,0,0.12872999906539917,4.0,0.0,0.0,0.0,1.0,1.0,1.0
all,pred_connected_component_count=3,all,350,0.7151273615115895,0.823722500975912,0.0675416790329564,2.114245896297571,431.01714285714286,431.92285714285714,0,0.25427439239940475,3.0,1.0,0.022857142857142857,0.0,0.0,0.0,0.9923809523809525
all,pred_connected_component_count=4,all,8,0.7535209247770729,0.848280036422268,0.0676733344453431,2.5490043969752376,409.625,423.75,0,0.20421543531119823,4.0,0.0,0.0,0.0,1.0,1.0,1.0
all,pred_connected_component_count=6,all,2,0.47610952040085897,0.6371747211895911,0.08777454780361757,2.7224850532044007,406.5,409.5,0,0.5052660405635834,6.0,0.0,0.0,0.0,1.0,1.0,1.0
