variant,seed,selected_seed,feature_set,feature_count,curvature_weight,best_epoch,best_val_epoch_score,candidate_val_selection_score,min_train_normalized_param_mae,train_normalized_param_mae,val_normalized_param_mae,test_normalized_param_mae,train_dimension_mae_norm,val_dimension_mae_norm,test_dimension_mae_norm,train_curvature_mae,val_curvature_mae,test_curvature_mae,test_L_mae_mm,test_W_mae_mm,test_D_mae_mm,test_wLD_abs_error,test_wWD_abs_error,test_wLW_abs_error,test_projected_mask_iou,test_projected_mask_dice,test_profile_depth_rmse_m,test_final_only
H3_curv_fusion_F0F1F2_w1p0,42,False,FS_basic_physical,441,1.0,118,1.5178252846002578,1.0031831614651172,0.013766194693744183,0.40238698102809767,0.7349247806347333,,0.5173619927171572,0.5841429183880488,,0.06306784985770966,0.1948605392796871,,,,,,,,,,,False
H3_curv_fusion_F0F1F2_w1p0,123,False,FS_basic_physical,441,1.0,246,1.562232792377472,1.035394898735557,0.010582156479358673,0.2968684859389876,0.7569997249505459,,0.1697823353410687,0.6004845503813181,,0.09312339060951347,0.20060264577086157,,,,,,,,,,,False
H3_curv_fusion_F0F1F2_w1p0,2026,True,FS_basic_physical,441,1.0,114,1.5252408146858216,0.9953566888506029,0.00694624800235033,0.24219147019364215,0.7306339045365652,0.667888397971789,0.1722415351987253,0.563708419028001,0.4522588877723767,0.06855434031128009,0.19741792102845815,0.19448333899848735,2.0303866893817215,1.8066299970333393,0.9566183099761988,0.21707869340211916,0.20230379012914804,0.1640675358283214,0.77454093657963,0.8665725224434271,0.00044529733223988354,True
