normalized_param_mae_mean,dimension_param_mae_norm,curvature_param_mae_norm,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error,curvature_mae_mean,projected_mask_iou,projected_mask_dice,projected_mask_area_error,projected_mask_center_error_px,profile_depth_rmse_m,volume_proxy_rel_error,sample_count,er_like_profile_error,max_depth_error_m,strategy,perturbation_name,perturbation_category,severity,affected_axis,split,profile_rmse_degradation_pct_vs_20_85,dice_drop_vs_20_85,clean_performance_drop_vs_20_85_pct
0.6461113975555809,0.44681019853386617,0.8454125928290096,1.8511671471742936,2.0351193704078963,0.8981590664681093,0.19226883406992312,0.18994916441999835,0.17381475074791614,0.18534424914805978,0.7614980454774725,0.8562088055848226,0.34019359810654126,0.0,0.00042721784738216544,0.5254112625798034,162,0.3306872654522275,0.0008981590702508887,no_calibration,clean,additive_noise,0pct,all,train,10.182378102209865,-0.008481805584822588,10.182378102209865
0.74869443437992,0.5487818024479426,0.9486070611538031,2.5295833345407095,2.25023901481659,1.124863584072162,0.21566433478624392,0.211593950406099,0.19649168772575182,0.20791665798960587,0.7298490255306381,0.8315550804306858,0.4434292676095714,0.0,0.0005162771202053707,0.7934174933972794,39,0.3921161427711829,0.0011248635814692348,no_calibration,clean,additive_noise,0pct,all,val,33.15136811946519,0.016171919569314186,33.15136811946519
0.6780143433656448,0.4387844900528972,0.9172441905889755,1.891891377667586,2.185759879075564,0.8002313404606703,0.20943947785939926,0.2044691107211969,0.1893188265653757,0.2010758042526551,0.7506502455785019,0.8477271366767738,0.3795501294495606,0.0,0.000387737259305327,0.5764562337018135,39,0.34054370052539384,0.0008002313343473735,no_calibration,clean,additive_noise,0pct,all,test,6.687660116207187e-05,-1.366767737875918e-07,6.687660116207187e-05
0.8357124586164215,0.8071619916109392,0.8642629212067451,4.570252524021967,2.7570357565986523,1.6331526299731598,0.2050072024633855,0.20104948642813128,0.1640668816772508,0.19004118962236394,0.6226109481212073,0.7517928954608594,0.7507788342303324,0.0,0.0008017262094025357,2.523434803348712,162,0.979808184651681,0.0016331526315713555,no_calibration,gain_scaling_0.8x,gain_scaling,0.8x,all,train,106.77062271656708,0.09593410453914064,
0.8789010865566058,0.8025736938684415,0.9552284761881217,4.855757609773905,2.7217758597853856,1.5538786893280654,0.2212660205669892,0.22090560503495046,0.1871775617966285,0.20978306119258588,0.6175643703260066,0.7460746229105816,0.8000600582683105,0.0,0.0008019548812836336,2.642303680422871,39,0.9674526589612166,0.0015538786866296178,no_calibration,gain_scaling_0.8x,gain_scaling,0.8x,all,val,106.82959874441535,0.10165237708941843,
0.8774922742293432,0.8321901697378892,0.9227943550317715,4.535925485766851,2.768469211764825,1.752266756235025,0.215988739942893,0.2145685247885875,0.17780913756443903,0.2027888032488334,0.624899966290028,0.749301983901185,0.7889952445383289,0.0,0.0008679314080673533,2.906582028772797,39,1.153080087632705,0.0017522667618229603,no_calibration,gain_scaling_0.8x,gain_scaling,0.8x,all,test,123.84539212593933,0.09842501609881504,
0.7068954137740312,0.5749559465703773,0.8388348941081836,3.102996664650646,2.3536955134736166,1.0684201621140044,0.19295204090483395,0.1952978585973198,0.16436975605693865,0.18420655222862592,0.6926374924772745,0.8060882857253666,0.5342059686395786,0.0,0.000519420887805474,1.3221104975972893,162,0.5770896972145563,0.0010684201598776804,no_calibration,gain_scaling_0.9x,gain_scaling,0.9x,all,train,33.96216708889636,0.04163871427463339,
0.8045793489003793,0.6605978611952219,0.948560832402645,3.8353825486623325,2.5495770420783606,1.2136406377913096,0.2181033003024566,0.21705395288956472,0.1893810415879274,0.20817943108387482,0.6643147391175714,0.7833405408414851,0.648470389407233,0.0,0.0005963471910665528,1.642274909234647,39,0.6353832530096556,0.0012136406432359647,no_calibration,gain_scaling_0.9x,gain_scaling,0.9x,all,val,53.80198203074579,0.06438645915851493,
0.7507503506464835,0.5945218595174643,0.9069788448321514,3.144973784685135,2.450579339877153,1.1147301775904803,0.20695171906397894,0.20903275715999114,0.18111994480475402,0.19903480605437204,0.6864146665338592,0.7988628269150099,0.5747968425452228,0.0,0.0005456707940305559,1.5042564409774757,39,0.6706167553097774,0.0011147301799307268,no_calibration,gain_scaling_0.9x,gain_scaling,0.9x,all,test,40.73219580038941,0.04886417308499014,
0.7021526262899975,0.5353213219363012,0.8689839299078341,1.9843404436552967,2.0824310041642113,1.254425540112281,0.19658498263653415,0.19111537491833722,0.18331687722677065,0.1903390773790486,0.7649188485617551,0.8599781914759054,0.2811284209085059,0.0,0.0005875163729280847,0.4405900077755464,162,0.3727845520608955,0.0012544255407619072,no_calibration,gain_scaling_1.1x,gain_scaling,1.1x,all,train,51.524454186235715,-0.012251191475905365,
