observation_config,selected_for_23_1_training,variants,val_selection_score,test_total_normalized_mae,test_burial_depth_mae_mm,test_center_xyz_component_mae_mm,test_center_p95_mm,test_center_max_mm,test_burial_p95_mm,test_burial_max_mm,test_catastrophic_failure_count,test_geometry_branch_failure_count,test_shape_macro_f1,decision,notes
R1_plus_R2_combined,True,R1_9line_z0p008;R2_5line_z0p006;R1_5line_z0p008;R2_5line_z0p010;R2_5line_z0p012,1.4477560393015545,0.4425228238105774,0.693358838558197,1.607789397239685,5.374045372009277,5.695767402648926,1.5160490274429321,1.5929886102676392,2,1,0.6,selected,"23.0 evaluation gate recommends this config for 23.1 training; selection uses validation score, test is reported final only."
R2_5line_multi_liftoff,False,R2_5line_z0p006;R1_5line_z0p008;R2_5line_z0p010;R2_5line_z0p012,1.547485720316569,0.4070459008216858,0.5840021967887878,1.7248402833938599,5.582476615905762,5.720193386077881,0.8097786903381348,0.8119871020317078,2,0,0.6,not_selected,reference diagnostic only
R0_3line_z0p008,False,R0_3line_z0p008,1.5596980881690978,0.7082778215408325,1.2857052087783813,2.608006000518799,8.202906608581543,8.239126205444336,1.8329362869262695,1.8605855703353882,4,1,0.6,not_selected,reference diagnostic only
R1_5line_z0p008,False,R1_5line_z0p008,1.7885374013582864,0.5811147689819336,0.7196089029312134,2.238818407058716,8.58078384399414,8.727563858032227,1.4288166761398315,1.6068755388259888,1,0,0.6,not_selected,reference diagnostic only
R1_9line_z0p008,False,R1_9line_z0p008,1.7948640052477518,0.5999664664268494,0.868050217628479,1.7561925649642944,4.561165809631348,4.565800189971924,1.917405366897583,2.0789425373077393,4,1,0.6,not_selected,reference diagnostic only
