model,source,selected,split,sample_count,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_mae_mm,shape_accuracy,shape_macro_f1
mean_baseline,feature_baseline,False,test,16,1.088349461555481,1.7376952171325684,1.6804687976837158,0.12968748807907104,1.321874737739563,6.389713287353516,0.0,0.0
svr_rbf_C10,feature_baseline,True,test,16,0.8788832426071167,1.5398310422897339,1.959144115447998,0.15865229070186615,0.9222972393035889,3.8277647495269775,0.0,0.0
internal_conv1d_multitask,neural_gate,True,test,16,1.0042707920074463,1.6289024353027344,1.5972732305526733,0.15864811837673187,1.9465032815933228,2.6660208702087402,0.8125,0.2988505747126437
