analysis_type,candidate,seed,selected_seed,split,liftoff_subset,sensor_z_m,metric,value,reference_candidate,reference_value,delta_vs_reference,relative_change_pct_vs_reference,improved_vs_reference,notes,best_val_selection_metric,val_nominal_profile_depth_rmse_m,val_non_nominal_profile_depth_rmse_m,val_nominal_normalized_param_mae,val_non_nominal_normalized_param_mae,test_nominal_profile_depth_rmse_m,test_non_nominal_profile_depth_rmse_m
candidate_subset_metric,C0_reference_20_85_baseline,42,False,test,non_nominal,,D_mae_mm,1.8258158404690523,C0_reference_20_85_baseline,1.8258158404690523,0.0,0.0,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C0_reference_20_85_baseline,42,False,test,non_nominal,,wMAE_auxiliary,0.22040785911182562,C0_reference_20_85_baseline,0.22040785911182562,0.0,0.0,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C0_reference_20_85_baseline,42,False,test,non_nominal,,projected_mask_iou,0.5510127087448574,C0_reference_20_85_baseline,0.5510127087448574,0.0,0.0,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C0_reference_20_85_baseline,42,False,test,non_nominal,,projected_mask_dice,0.6833513107587862,C0_reference_20_85_baseline,0.6833513107587862,0.0,0.0,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,all_liftoff,,profile_depth_rmse_m,0.0006235204373297165,C0_reference_20_85_baseline,0.0007389971158318076,-0.00011547667850209109,-15.626133854678407,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,all_liftoff,,er_like_profile_error,0.8514771128538996,C0_reference_20_85_baseline,1.0016460048500448,-0.15016889199614525,-14.992211946038445,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,all_liftoff,,normalized_param_mae,0.9231534488499165,C0_reference_20_85_baseline,0.9307210445404053,-0.007567595690488815,-0.8130895647928249,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,all_liftoff,,L_mae_mm,2.4436390874907374,C0_reference_20_85_baseline,5.150373874465004,-2.706734786974266,-52.554141756464794,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,all_liftoff,,W_mae_mm,2.4613789436407387,C0_reference_20_85_baseline,3.26063746586442,-0.7992585222236812,-24.51233939961466,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,all_liftoff,,D_mae_mm,1.3713904339820147,C0_reference_20_85_baseline,1.5289002726785839,-0.1575098386965692,-10.302165648817438,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,all_liftoff,,wMAE_auxiliary,0.25756953889504075,C0_reference_20_85_baseline,0.22195333102717996,0.035616207867860794,16.046710226439135,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,all_liftoff,,projected_mask_iou,0.6863909674478177,C0_reference_20_85_baseline,0.597953641099464,0.08843732634835366,14.789997128496944,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,all_liftoff,,projected_mask_dice,0.8038494496681969,C0_reference_20_85_baseline,0.7235027438339399,0.08034670583425707,11.105238579813658,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,nominal_0p008,,profile_depth_rmse_m,0.0006978157307457877,C0_reference_20_85_baseline,0.0003330594072394888,0.00036475632350629894,109.51689565820257,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,nominal_0p008,,er_like_profile_error,0.9848661189898849,C0_reference_20_85_baseline,0.31298541370779276,0.6718807052820921,214.66837617850416,False,test-final reporting only; not used for selection,,,,,,,
