sample_id,source_index,split,defect_type,source_pack,threshold,iou,dice,area_error,center_error_px,pred_area,true_area,pred_area_zero,type_prob_rectangular_notch,type_prob_rotated_rect,pred_defect_type,type_correct,true_center_x,true_center_y,pred_center_x,pred_center_y,center_mae_m,true_width,pred_width,width_abs_error_m,true_length,pred_length,length_abs_error_m,true_depth,pred_depth,depth_abs_error_m,true_angle_deg,pred_angle_deg,angle_abs_error_deg,sin_cos_error,notes
rect_p2_0003,2,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.761168384879725,0.864390243902439,0.047619047619047616,2.1333954157633266,500.0,525.0,0.0,0.6835891604423523,0.3164108991622925,rectangular_notch,1.0,0.003000000026077032,-0.0005000000237487257,0.0021267023403197527,2.6203466404695064e-05,0.0010195778309385667,0.01600000075995922,0.014598077163100243,0.0014019235968589783,0.006500000134110451,0.008179711177945137,0.0016797110438346863,0.0015999999595806003,0.00154084840323776,5.9151556342840195e-05,0.0,3.9630507800388797,nan,0.06915449709017644,
rect_p2_0004,3,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.8456375838926175,0.9163636363636364,0.02631578947368421,1.439363648860015,407.0,418.0,0.0,0.6897157430648804,0.31028422713279724,rectangular_notch,1.0,-0.000750000006519258,0.0005000000237487257,-0.0014499067328870296,0.00021572581317741424,0.000755434484706822,0.012000000104308128,0.012202423065900803,0.00020242296159267426,0.007000000216066837,0.008020389825105667,0.0010203896090388298,0.0010000000474974513,0.0016167046269401908,0.0006167045794427395,0.0,4.525632544518497,nan,0.07896665693970861,
rect_p2_0007,6,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.5838068181818182,0.737219730941704,0.4161931818181818,2.2521826544343475,411.0,704.0,0.0,0.6682203412055969,0.33177968859672546,rectangular_notch,1.0,-0.000750000006519258,0.0010000000474974513,-0.0007068690611049533,0.0002482490090187639,0.0007529872897655364,0.014000000432133675,0.012402178719639778,0.0015978217124938965,0.009999999776482582,0.008106346242129803,0.0018936535343527794,0.0019000000320374966,0.0017445596167817712,0.00015544041525572538,0.0,5.194609873246695,nan,0.0906319975433488,
rect_p2_0008,7,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.9090909090909091,0.9523809523809523,0.09090909090909091,0.550354999068783,480.0,528.0,0.0,0.7245455384254456,0.27545446157455444,rectangular_notch,1.0,0.000750000006519258,0.0,0.0009289194131270051,3.1959458283381537e-05,0.00018175137147937985,0.014000000432133675,0.014185541309416294,0.00018554087728261948,0.007499999832361937,0.00811734702438116,0.0006173471920192242,0.0013000000035390258,0.0014141446445137262,0.00011414464097470045,0.0,4.811071272575207,nan,0.08394436773035553,
rect_p2_0009,8,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.6627680311890838,0.7971864009378663,0.15367965367965367,3.174392418114195,391.0,462.0,0.0,0.729240894317627,0.27075910568237305,rectangular_notch,1.0,-0.0022499999031424522,0.0010000000474974513,-0.0009188156109303236,0.00023411519941873848,0.001535783599641963,0.013000000268220901,0.012105356901884079,0.0008946433663368225,0.007000000216066837,0.007995782420039177,0.0009957822039723396,0.0013000000035390258,0.001820916309952736,0.0005209163064137101,0.0,4.430455139094838,nan,0.07730676611742908,
rect_p2_0010,9,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.8161209068010076,0.8987517337031901,0.002770083102493075,1.5811388300841898,360.0,361.0,0.0,0.8837742805480957,0.1162257269024849,rectangular_notch,1.0,0.0022499999031424522,-0.0005000000237487257,0.001912101753987372,-3.975568324676715e-05,0.0005709641046666536,0.012000000104308128,0.012395179830491543,0.00039517972618341446,0.006000000052154064,0.007382755167782307,0.0013827551156282425,0.0024999999441206455,0.0022652396000921726,0.0002347603440284729,0.0,-0.7866040184889547,nan,0.013728722214783327,
rect_p2_0011,10,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.6506024096385542,0.7883211678832117,0.22077922077922077,3.0413812651491097,360.0,462.0,0.0,0.9129899144172668,0.08701005578041077,rectangular_notch,1.0,0.001500000013038516,-0.0010000000474974513,0.0017645178595557809,-8.097832323983312e-05,0.000956331857036864,0.013000000268220901,0.012097750790417194,0.0009022494778037071,0.007000000216066837,0.007241518702358007,0.00024151848629117012,0.0024999999441206455,0.002304665045812726,0.0001953348983079195,0.0,-1.0082050771592284,nan,0.01759627111086272,
rect_p2_0012,11,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.5922818791946308,0.743940990516333,0.175,3.0447570828594213,429.0,520.0,0.0,0.7654487490653992,0.23455122113227844,rectangular_notch,1.0,-0.000750000006519258,0.0010000000474974513,-0.0014141940046101809,0.0001050989085342735,0.0011144512836044008,0.01600000075995922,0.012671365402638912,0.0033286353573203087,0.006500000134110451,0.007965640164911747,0.0014656400308012962,0.0013000000035390258,0.0014672466786578298,0.00016724667511880398,0.0,2.9247843327951326,nan,0.05104157424063554,
rect_p2_0013,12,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.6377952755905512,0.7788461538461539,0.19130434782608696,3.9330740609563297,465.0,575.0,0.0,0.6809351444244385,0.3190648853778839,rectangular_notch,1.0,0.0022499999031424522,-0.0010000000474974513,0.002082403749227524,0.00011832514428533614,0.001130813707154274,0.014000000432133675,0.013654513284564018,0.00034548714756965637,0.00800000037997961,0.008048431016504765,4.8430636525154114e-05,0.0019000000320374966,0.0019513657316565514,5.1365699619054794e-05,0.0,1.763213227517086,nan,0.030772661923060052,
rect_p2_0015,14,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.8336842105263158,0.9092996555683123,0.16631578947368422,1.5811388300841898,396.0,475.0,0.0,0.8986700773239136,0.10132990032434464,rectangular_notch,1.0,-0.003000000026077032,-0.0005000000237487257,-0.003070453880354762,3.346273661009036e-05,0.0005380950056468363,0.012000000104308128,0.012209206819534302,0.0002092067152261734,0.00800000037997961,0.00781361572444439,0.0001863846555352211,0.0013000000035390258,0.0014716607984155416,0.00017166079487651587,0.0,0.8581375501618502,nan,0.014977185697466415,
