group_field,group_value,split,sample_count,refinement_applied_count,baseline_profile_rmse_mean_m,refined_profile_rmse_mean_m,profile_rmse_delta_mean_m,baseline_Er_like_mean,refined_Er_like_mean,Er_like_delta_mean,baseline_IoU_mean,refined_IoU_mean,IoU_delta_mean,baseline_Dice_mean,refined_Dice_mean,Dice_delta_mean,baseline_area_error_mean,refined_area_error_mean,area_error_delta_mean,feature_residual_before_mean,feature_residual_after_mean,feature_residual_delta_mean,profile_rmse_improved_rate,forward_residual_improved_rate
target_role,already_pass_reference,all,22,22,0.0002532913497005759,0.0003391026600390606,8.581131033848475e-05,0.6601285362044127,0.7733561974704848,0.11322766126607203,0.682265726538866,0.5474486698810677,-0.13481705665779842,0.8073347622745057,0.6890050414149314,-0.11832972085957452,0.46381587607456676,0.42928572484620203,-0.03453015122836462,37.79796015126042,0.7277822957420671,-37.07017785551835,0.22727272727272727,1.0
target_role,excluded_negative_control,all,16,0,0.0007183633569005014,0.000707711936309516,-1.0651420590985396e-05,2.7936654989702503,2.7718325828367405,-0.021832916133509392,0.2024194458689453,0.2024194458689453,0.0,0.33422720299978764,0.33422720299978764,0.0,3.173946032875568,3.173946032875568,0.0,82.12331600328562,82.12331600328562,0.0,0.1875,0.0
target_role,refinement_target,all,82,82,0.0005095183510563877,0.00022038641318798514,-0.00028913193786840255,2.8001573937890787,0.9099413634161813,-1.890216030372897,0.3236014023399166,0.5785234653693038,0.2549220630293872,0.480524080842404,0.709451842350591,0.22892776150818692,2.344364540375331,0.45255619687089155,-1.8918083435044386,70.59442614894292,0.5641050369556577,-70.03032111198725,0.8902439024390244,1.0
target_role,already_pass_reference,train,12,12,0.00022376416047105636,0.00029430284892871707,7.053868845766072e-05,0.604155867627259,0.729111091732336,0.12495522410507702,0.6718594755357135,0.5958351315621386,-0.07602434397357483,0.800516427639339,0.7298660850934614,-0.07065034254587764,0.49101610938630214,0.4222522033339264,-0.06876390605237574,48.679653293888826,0.6874679760308626,-47.99218531785795,0.25,1.0
target_role,excluded_negative_control,train,9,0,0.000727914231883712,0.0007137757018045637,-1.4138530079148142e-05,3.153392045745844,3.123907098046667,-0.02948494769917624,0.2008979210715428,0.2008979210715428,0.0,0.3319858334253243,0.3319858334253243,0.0,3.5483272018546668,3.5483272018546668,0.0,86.10313159212076,86.10313159212076,0.0,0.2222222222222222,0.0
target_role,refinement_target,train,51,51,0.0005374218630695753,0.00020019012782658468,-0.0003372317352429906,3.2527597829247066,0.9078345896322003,-2.3449251932925064,0.3057732044749795,0.5817935806435787,0.27602037616859915,0.45997320130732633,0.7104358621433281,0.25046266083600155,2.571323037549887,0.436431983855547,-2.1348910536943397,70.80472070218822,0.5457808511641502,-70.25893985102408,0.9019607843137255,1.0
target_role,already_pass_reference,val,5,5,0.0002980838427937355,0.00027943822421739554,-1.8645618576339973e-05,1.0246068814665565,0.8657649381593291,-0.15884194330722728,0.7273964731978839,0.5433190176087654,-0.18407745558911826,0.8363281746893121,0.6861294557318264,-0.1501987189574858,0.39576876205564804,0.3943368421172414,-0.0014319199384066074,24.009926680714887,0.6477066892541432,-23.36221999146074,0.4,1.0
target_role,excluded_negative_control,val,3,0,0.0005205416515546075,0.0005205416515546075,0.0,2.50929634021375,2.50929634021375,0.0,0.22007065992424882,0.22007065992424882,0.0,0.35853834173857496,0.35853834173857496,0.0,1.8519855050945828,1.8519855050945828,0.0,64.50894066012332,64.50894066012332,0.0,0.0,0.0
target_role,refinement_target,val,16,16,0.0004864766385254781,0.00023969027578327917,-0.00024678636274219905,2.714192189050351,1.0753221256277223,-1.6388700634226285,0.34439908058230184,0.5379936845182778,0.19359460393597602,0.5016796431455282,0.6775940222866812,0.175914379141153,2.1924083967707997,0.48806574677166625,-1.7043426499991332,87.09107852828754,0.4809548375686324,-86.61012369071891,0.8125,1.0
target_role,already_pass_reference,test,5,5,0.0002793641107582632,0.0005062866425255503,0.00022692253176728717,0.4299845955274376,0.7871357105531969,0.35715111502575925,0.6621099822874141,0.43545081411879905,-0.22665916816861512,0.7947053529841004,0.5938141222695646,-0.2008912307145357,0.4665824301453204,0.48111505920462444,0.014532629059304036,25.469930079497807,0.9046122695368813,-24.565317809960924,0.0,1.0
