seed,group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean
42,source_pack=pilot_v2_rectangular_notch,train,81,0.736976388689702,0.8464779268919186,0.17186636233758734,1.8980991501967972,455.7037037037037,514.1481481481482,0,0.218417006050363
42,source_pack=pilot_v3_rotated_rect,train,30,0.676950974997619,0.8054782265099196,0.13165507099235005,2.1860638601492015,415.53333333333336,480.06666666666666,0,0.2752783308426539
42,source_pack=pilot_v5_polygon,train,42,0.7020291574734414,0.8229620580308866,0.1555698557272164,2.4310969984501822,365.5952380952381,386.57142857142856,0,0.23995963040561902
42,source_pack=pilot_v7_topup_polygon,train,4,0.7283487886128026,0.842301805613198,0.17220741588106842,1.510535389031044,320.5,363.5,0,0.2099759206175804
42,source_pack=pilot_v7_topup_rotated_rect,train,16,0.723588578500492,0.8385010234271155,0.11775296594460039,1.9859172135945706,252.6875,239.5,0,0.20628004521131516
42,source_pack=pilot_v8_topup_polygon,train,24,0.6852342559376154,0.8111263278967643,0.19535689583251017,2.4877437628737384,342.3333333333333,385.25,0,0.2589328996837139
42,source_pack=pilot_v8_topup_rotated_rect,train,24,0.6850231159860645,0.8113023974466816,0.09113483169530734,2.3552815511934466,248.91666666666666,239.5,0,0.2364490128432711
42,source_pack=pilot_v9_topup_polygon,train,64,0.6860986408662428,0.811719394855892,0.1792454913639067,2.552557104479402,356.484375,390.703125,0,0.25927057350054383
42,source_pack=pilot_v9_topup_rectangular_notch,train,53,0.7156820703033726,0.8304305112766196,0.17444450178832382,2.279244629123364,458.77358490566036,545.4528301886793,0,0.2492292953549691
42,source_pack=pilot_v9_topup_rotated_rect,train,64,0.6793707897869037,0.8071109247836612,0.1299032359964753,2.509430153460643,262.84375,239.75,0,0.24260087334550917
42,source_pack=pilot_v2_rectangular_notch,val,19,0.6831391226164234,0.8084652354760543,0.2160964385541042,2.407504050405751,318.2105263157895,349.05263157894734,0,0.26365102278558833
42,source_pack=pilot_v3_rotated_rect,val,9,0.6703559902819426,0.7986815946209249,0.22417886346457777,2.4745618042898276,427.22222222222223,448.6666666666667,0,0.2795342637432946
42,source_pack=pilot_v5_polygon,val,9,0.6537717589163824,0.7855846883501547,0.22305901971506945,3.0820394361814296,392.3333333333333,391.3333333333333,0,0.30184004869725967
42,source_pack=pilot_v7_topup_polygon,val,8,0.6162164425866625,0.7594250864279317,0.24342625295877562,3.2155641690510492,317.5,394.75,0,0.3483122270554304
42,source_pack=pilot_v7_topup_rotated_rect,val,8,0.7122598985898922,0.8302919365447666,0.07860714993605213,2.3315721041441497,230.375,240.0,0,0.2125971857458353
42,source_pack=pilot_v8_topup_polygon,val,8,0.6322237647920852,0.7729109697440805,0.2684268447886333,2.7012986899007725,322.25,392.375,0,0.3151303492486477
42,source_pack=pilot_v8_topup_rotated_rect,val,8,0.6815702261658468,0.8080351509944089,0.2009567897281883,2.4032640473803744,281.375,240.375,0,0.24553373828530312
42,source_pack=pilot_v9_topup_polygon,val,8,0.6773231551284571,0.8059721981509511,0.21382358925625,2.742783325029426,351.125,383.875,0,0.26809683814644814
42,source_pack=pilot_v9_topup_rectangular_notch,val,14,0.6777496552791612,0.8055373780134242,0.2269741868489104,2.4699655980985615,299.5,333.85714285714283,0,0.2665829711726734
