model,source,selected,split,sample_count,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_mae_mm,shape_accuracy,shape_macro_f1
mean_baseline,feature_baseline,False,test,40,0.8593667149543762,1.5777500867843628,1.9599529504776,0.1354375034570694,1.1499998569488525,6.150312423706055,0.325,0.16352201257861637
svr_rbf_C10,feature_baseline,True,test,40,0.416405588388443,0.7570649981498718,1.1507278680801392,0.10785912722349167,0.47151774168014526,1.5601974725723267,0.95,0.9505494505494506
internal_v2_conv1d_multitask,neural_gate,True,test,40,0.40636563301086426,0.7610000967979431,0.9470643997192383,0.09293656051158905,0.5954996347427368,1.3799970149993896,1.0,1.0
