epoch,train_loss,train_bce_loss,train_dice_loss,val_threshold,val_iou,val_dice,val_area_error,val_score,best_epoch,best_val_score
1,0.823661348398994,0.18218479480813532,0.6414765575352837,0.4,0.48125778337289216,0.643631318794826,0.9335241932422111,0.19136490892550717,1,0.19136490892550717
2,0.5971949170617497,0.07853579762227395,0.5186591183438021,0.5,0.5129121501413499,0.6712115865535876,0.6196592569163502,0.5644644797785874,2,0.5644644797785874
3,0.4331822193720761,0.09100268912665985,0.34217952980714683,0.9,0.5253718138627441,0.681544297277051,0.23821518327470018,0.9687009278650951,3,0.9687009278650951
4,0.40269770780030417,0.08512138410964433,0.3175763224854189,0.9,0.5160122297434283,0.6723480189266493,0.2071585263247234,0.9812017223453543,4,0.9812017223453543
5,0.3966410624630311,0.08342290220453459,0.3132181588341208,0.9,0.5100643585519674,0.6657485267032967,0.19503759433586815,0.9807752909193959,4,0.9812017223453543
6,0.3884857928051668,0.07986703098696821,0.3086187629138722,0.9,0.548763900670519,0.7023557145539321,0.2593184666612226,0.9918011485632284,6,0.9918011485632284
7,0.345720071126433,0.07319202285040827,0.2725280470707837,0.8,0.6370928385172969,0.7754298448160766,0.22773438418200306,1.1847882991513705,7,1.1847882991513705
8,0.3206001826945473,0.06809816728619968,0.25250201365526986,0.9,0.6500774372599986,0.7860795927147493,0.20432092673184257,1.231836103242905,8,1.231836103242905
9,0.29031362735173283,0.061217781046734136,0.22909584816764383,0.9,0.6349598542573784,0.7732630881503884,0.27760477682050044,1.1306181655872662,8,1.231836103242905
10,0.2940219149870031,0.06432986555292326,0.22969204713316524,0.9,0.6812270449475293,0.8081864269206446,0.18071941186134977,1.308694060006824,10,1.308694060006824
11,0.2680056217838736,0.057279682663433695,0.2107259403256809,0.7,0.6710198128455946,0.8006120482969127,0.18810573300729194,1.2835261281352155,10,1.308694060006824
12,0.2687898120459388,0.056191612473305536,0.21259819935349858,0.8,0.6819154571048301,0.8089782551376608,0.1497317907618143,1.3411619214806767,12,1.3411619214806767
13,0.26455694393200035,0.05741167419097003,0.20714526667314417,0.7,0.6683264745770747,0.7990907494722932,0.192757896651776,1.274659327397592,12,1.3411619214806767
14,0.2529307034085779,0.05371718152480967,0.19921352232203765,0.9,0.6464916278715129,0.7818309358052216,0.2080281071344374,1.220294456542297,12,1.3411619214806767
15,0.25324102710275087,0.053900326109107805,0.19934070285628824,0.9,0.6729469130970291,0.8019235870702609,0.19236677298296012,1.2825037271843298,12,1.3411619214806767
16,0.24560033091727426,0.052341587951078135,0.1932587413226857,0.6,0.6777861619523384,0.8054191851778666,0.1639033914883378,1.319301955641867,12,1.3411619214806767
17,0.2465050847214811,0.05257149566622341,0.19393358861698823,0.5,0.6748772570235301,0.8032524155087697,0.16389307380904272,1.314236598723257,12,1.3411619214806767
18,0.24279525130987167,0.05144330804400584,0.19135194315629847,0.9,0.6744713526419289,0.8032425435916719,0.17371209202578966,1.304001804207811,12,1.3411619214806767
19,0.2305283200214891,0.048969308955266196,0.1815590104636024,0.8,0.6716898281493183,0.8006130709718917,0.1784316589483171,1.293871240172893,12,1.3411619214806767
20,0.23214703929774902,0.04997636509292266,0.18217067332828746,0.8,0.688401575909083,0.8127861748746005,0.1759352376027995,1.3252525131808839,12,1.3411619214806767
21,0.2191626867827247,0.04641213821356788,0.1727505484048058,0.9,0.6805110874462933,0.8066124703322022,0.15541326946172862,1.3317102883167666,12,1.3411619214806767
22,0.22481859563028112,0.04816438958925359,0.17665420560275807,0.8,0.6671806503199317,0.7973916143604782,0.17899556219445595,1.2855767024859541,12,1.3411619214806767
23,0.22032687155639424,0.047944615430691666,0.1723822583170498,0.7,0.673343348837192,0.8016147917305991,0.17785437590076214,1.2971037646670291,12,1.3411619214806767
24,0.21684490100425832,0.045790393782012606,0.171054507003111,0.9,0.6664573854742124,0.7966985957980561,0.1917317183284561,1.2714242629438124,12,1.3411619214806767
25,0.2148688190123614,0.047457866261110586,0.167410952203414,0.8,0.6658439379215361,0.7963743824970633,0.17960079736936727,1.282617523049232,12,1.3411619214806767
26,0.212509324445444,0.044102507752968985,0.16840681608985453,0.8,0.6792007781923627,0.8060956398032885,0.18305094043560485,1.3022454775600463,12,1.3411619214806767
27,0.2030762214871014,0.04367531069061335,0.15940091013908386,0.8,0.6742596310746176,0.8021606229091021,0.15885348324533244,1.3175667707383871,12,1.3411619214806767
28,0.20124360787517884,0.04306149280027432,0.15818211611579447,0.9,0.681177997842884,0.8073521569290737,0.16728210706938165,1.321248047702576,12,1.3411619214806767
29,0.1950424379285644,0.04129589294247767,0.15374654531478882,0.7,0.6673429219574138,0.7973292042927868,0.18104610390081266,1.283626022349388,12,1.3411619214806767
30,0.1945724443477743,0.04175713970599806,0.15281530513482935,0.9,0.6612663809663608,0.7925069054852448,0.18134321390945665,1.272430072542149,12,1.3411619214806767
31,0.19285962774473078,0.041202584062429035,0.15165704488754272,0.8,0.6647316862765488,0.7946664450577839,0.1846198758529778,1.274778255481355,12,1.3411619214806767
32,0.19001561578582316,0.0407434709589271,0.1492721455938676,0.8,0.6703411419235636,0.7994207491489738,0.1776577090081921,1.2921041820643453,12,1.3411619214806767
33,0.1833749119849766,0.03986262579393737,0.14351228580755346,0.8,0.6536987979783971,0.7861178566521737,0.20547406164636295,1.2343425929842078,12,1.3411619214806767
34,0.18143636163543253,0.038599898600403,0.14283646380200105,0.9,0.6628719912539316,0.7933052684759407,0.1984090626062726,1.2577681971235997,12,1.3411619214806767
35,0.18065760372316136,0.03937832512618864,0.14127928018569946,0.9,0.6724786665038899,0.8009074019135637,0.20612611674155285,1.2672599516759007,12,1.3411619214806767
36,0.17553063657353907,0.03753738066948512,0.13799325683537653,0.8,0.6690884322200131,0.7976758029501274,0.20421381352401022,1.2625504216461305,12,1.3411619214806767
37,0.16997967397465424,0.0374569305602242,0.13252274253789117,0.5,0.6568908734960991,0.7875537295733209,0.20668237445459745,1.2377622286148227,12,1.3411619214806767
38,0.15674967274946325,0.03380852099508047,0.12294115213786855,0.8,0.6635663415091708,0.793091223223999,0.19615320756966081,1.260504357163509,12,1.3411619214806767
39,0.14874175760675878,0.03185397479683161,0.11688778330298032,0.8,0.6647703913439985,0.7951354103018018,0.19355700780287458,1.2663487938429259,12,1.3411619214806767
40,0.1489372003604384,0.031461102668853366,0.11747609867769129,0.9,0.6431847666018555,0.7775425344157381,0.20897559722147144,1.211751703796122,12,1.3411619214806767
41,0.14154662630137274,0.030349685153102175,0.11119694218916051,0.9,0.6454103661002868,0.7795417657060533,0.2073958323989825,1.2175562994073577,12,1.3411619214806767
42,0.1374917604467448,0.029587935930227533,0.10790382413303151,0.6,0.6446370329914582,0.778485142176175,0.19863895642059415,1.2244832187470391,12,1.3411619214806767
43,0.1376803725519601,0.02942522823372308,0.10825514442780439,0.9,0.6566619587583966,0.7874983387025558,0.17548275531380197,1.2686775421471506,12,1.3411619214806767
44,0.1263162627377931,0.027116165112923172,0.0992000962004942,0.7,0.6587261143719363,0.7889076403745423,0.2080193902287122,1.2396143645177664,12,1.3411619214806767
