scope,group,residual_method,direction_combo,axis_combo,direction_count,axis_count,normalized,base_count,row_count,pair_count,ordering_accuracy,mismatch_rate,expected_rank_ordering_accuracy,expected_rank_pair_count,residual_error_correlation,spearman_residual_error,kendall_residual_error,mean_residual,mean_quality_error
source_defect_type,rectangular_notch,direction_0_Bz_only,direction_0,Bz,1,1,False,6.0,48.0,168.0,0.4523809523809524,0.5476190476190477,0.5972222222222222,144.0,-0.18044346534562966,-0.16260567477405444,-0.1105121293800539,0.33085205697281844,0.8257064407505178
source_defect_type,rectangular_notch,direction_0_all_axis_trainstd_normalized,direction_0,Bx+By+Bz,1,3,True,6.0,48.0,168.0,0.44642857142857145,0.5535714285714286,0.625,144.0,-0.07385268002161148,0.02200310667674308,0.009883198562443846,0.531236769026475,0.8257064407505178
source_defect_type,rectangular_notch,direction_45_Bz_only,direction_45,Bz,1,1,False,6.0,48.0,168.0,0.4583333333333333,0.5416666666666667,0.6180555555555556,144.0,-0.20546737019160957,-0.2112841527551947,-0.14285714285714285,0.35215513351747907,0.8257064407505178
source_defect_type,rectangular_notch,direction_45_all_axis_trainstd_normalized,direction_45,Bx+By+Bz,1,3,True,6.0,48.0,168.0,0.35714285714285715,0.6428571428571428,0.6319444444444444,144.0,-0.13867060811238227,-0.09849785778996346,-0.07097933513027853,0.5711764990372203,0.8257064407505178
source_defect_type,rectangular_notch,direction_90_Bz_only,direction_90,Bz,1,1,False,6.0,48.0,168.0,0.5238095238095238,0.47619047619047616,0.6597222222222222,144.0,-0.09576913497374316,0.013527835956812412,0.004492362982929021,0.997730718957528,0.8257064407505178
source_defect_type,rectangular_notch,direction_90_all_axis_trainstd_normalized,direction_90,Bx+By+Bz,1,3,True,6.0,48.0,168.0,0.43452380952380953,0.5654761904761905,0.6388888888888888,144.0,-0.2009226381404586,-0.16945108574015227,-0.09074573225516622,0.9004692367624543,0.8257064407505178
source_defect_type,rectangular_notch,multi_direction_Bz_trainstd_normalized,direction_0+direction_45+direction_90,Bz,3,1,True,6.0,48.0,168.0,0.5476190476190477,0.45238095238095233,0.6666666666666666,144.0,-0.23103757002352762,-0.2164997039674597,-0.12848158131176998,0.6514062360017358,0.8257064407505178
source_defect_type,rectangular_notch,multi_direction_all_axis_trainstd_normalized,direction_0+direction_45+direction_90,Bx+By+Bz,3,3,True,6.0,48.0,168.0,0.39880952380952384,0.6011904761904762,0.6597222222222222,144.0,-0.15964538703756034,-0.0736153322147824,-0.047619047619047616,0.6896029457680646,0.8257064407505178
source_defect_type,rotated_rect,direction_0_Bz_only,direction_0,Bz,1,1,False,6.0,48.0,167.0,0.46107784431137727,0.5389221556886228,0.6805555555555556,144.0,0.07795612466279928,0.2544280124654266,0.17086330935251798,0.34592344429127736,0.72291587778369
source_defect_type,rotated_rect,direction_0_all_axis_trainstd_normalized,direction_0,Bx+By+Bz,1,3,True,6.0,48.0,167.0,0.5449101796407185,0.45508982035928147,0.6319444444444444,144.0,0.022651736113809252,0.14000875253542694,0.07733812949640288,0.5663049513390184,0.72291587778369
source_defect_type,rotated_rect,direction_45_Bz_only,direction_45,Bz,1,1,False,6.0,48.0,167.0,0.46107784431137727,0.5389221556886228,0.625,144.0,0.02667174773490611,0.14826693273930155,0.09352517985611511,0.3612673472843748,0.72291587778369
source_defect_type,rotated_rect,direction_45_all_axis_trainstd_normalized,direction_45,Bx+By+Bz,1,3,True,6.0,48.0,167.0,0.5149700598802395,0.4850299401197605,0.625,144.0,0.16391993569441488,0.43246785804501303,0.29136690647482016,0.6408807167612163,0.72291587778369
source_defect_type,rotated_rect,direction_90_Bz_only,direction_90,Bz,1,1,False,6.0,48.0,167.0,0.5449101796407185,0.45508982035928147,0.5347222222222222,144.0,-0.07874327540971224,-0.09344782862279176,-0.06294964028776978,1.1147376990580684,0.72291587778369
source_defect_type,rotated_rect,direction_90_all_axis_trainstd_normalized,direction_90,Bx+By+Bz,1,3,True,6.0,48.0,167.0,0.5209580838323353,0.47904191616766467,0.5763888888888888,144.0,0.1824349819800995,0.42339472584733495,0.2931654676258993,0.925087672893603,0.72291587778369
source_defect_type,rotated_rect,multi_direction_Bz_trainstd_normalized,direction_0+direction_45+direction_90,Bz,3,1,True,6.0,48.0,167.0,0.5149700598802395,0.4850299401197605,0.5625,144.0,0.09085744837456947,0.30049996518177974,0.21402877697841727,0.6542283690366785,0.72291587778369
source_defect_type,rotated_rect,multi_direction_all_axis_trainstd_normalized,direction_0+direction_45+direction_90,Bx+By+Bz,3,3,True,6.0,48.0,167.0,0.49700598802395207,0.5029940119760479,0.5972222222222222,144.0,0.15180627703902871,0.4440401763570215,0.302158273381295,0.7295671842235528,0.72291587778369
split,test,direction_0_Bz_only,direction_0,Bz,1,1,False,2.0,16.0,55.0,0.45454545454545453,0.5454545454545454,0.9791666666666666,48.0,-0.676023076698285,-0.1605301914580265,-0.11864406779661017,0.3249266012440396,0.4098974620011195
split,test,direction_0_all_axis_trainstd_normalized,direction_0,Bx+By+Bz,1,3,True,2.0,16.0,55.0,0.41818181818181815,0.5818181818181818,0.8541666666666666,48.0,-0.7444242397831548,-0.24594992636229748,-0.22033898305084745,0.51524662990065,0.4098974620011195
