sample_id,source_index,split,defect_type,stage,steps,lr,lambda_smooth,lambda_forward,iou,dice,area_error,center_error_px,pred_area,true_area,forward_mse,forward_nrmse
rect_p2_0003,2,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.6856677524429967,0.8135265700483092,0.02857142857142857,1.8071794962431618,510.0,525.0,1.3679670095443726,0.5950208902359009
rect_p2_0004,3,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.8219461697722568,0.9022727272727272,0.10526315789473684,1.713259181478201,462.0,418.0,2.1378753185272217,0.6319125294685364
rect_p2_0007,6,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.6694677871148459,0.802013422818792,0.3068181818181818,3.3215190419903897,488.0,704.0,1.9981553554534912,0.633691668510437
rect_p2_0008,7,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.7985480943738656,0.887991927346115,0.12310606060606061,1.0242603410297169,463.0,528.0,2.0809130668640137,0.6206358671188354
rect_p2_0009,8,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.7555555555555555,0.8607594936708861,0.05194805194805195,2.3948089326801054,486.0,462.0,1.432421326637268,0.6002776622772217
rect_p2_0010,9,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.7017543859649122,0.8247422680412371,0.11911357340720222,1.5179952439120272,318.0,361.0,0.984417736530304,0.6549510955810547
rect_p2_0011,10,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.7754318618042226,0.8735135135135135,0.0021645021645021645,2.445061060907083,463.0,462.0,0.7570392489433289,0.6358337998390198
rect_p2_0012,11,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.6651090342679128,0.7988774555659495,0.05576923076923077,2.6876720181791147,549.0,520.0,2.208294630050659,0.6241468787193298
rect_p2_0013,12,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.5655737704918032,0.7225130890052356,0.3391304347826087,3.5346523609853633,380.0,575.0,1.7304513454437256,0.6559070348739624
rect_p2_0015,14,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.6652719665271967,0.7989949748743719,0.32421052631578945,1.9237157411362846,321.0,475.0,2.2138209342956543,0.619377613067627
rect_p2_0016,15,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.62109375,0.7662650602409639,0.14732142857142858,0.37749017869344,382.0,448.0,1.8880311250686646,0.6586505770683289
rect_p2_0017,16,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.697463768115942,0.8217716115261473,0.2775735294117647,2.935769589092454,393.0,544.0,1.3101874589920044,0.6275938749313354
rect_p2_0019,18,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.6861063464837049,0.8138351983723296,0.12761904761904763,1.8990613200056377,458.0,525.0,0.8719611763954163,0.5320788025856018
rect_p2_0020,19,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.8397435897435898,0.9128919860627178,0.029748283752860413,1.1011625503367577,424.0,437.0,0.9503543376922607,0.5892024040222168
rect_p2_0021,20,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.6162988115449916,0.7626050420168067,0.016666666666666666,3.8874509218297715,472.0,480.0,1.3277130126953125,0.5589391589164734
rect_p2_0022,21,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.7810858143607706,0.8770894788593904,0.21578947368421053,0.5057524346718897,447.0,570.0,1.8104352951049805,0.6416070461273193
rect_p2_0023,22,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.5784447476125512,0.7329299913569577,0.22,3.982515331032343,507.0,650.0,1.2685668468475342,0.6145764589309692
rect_p2_0024,23,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.7535460992907801,0.8594539939332659,0.07212475633528265,3.1305932925553304,476.0,513.0,2.3478012084960938,0.6232039928436279
rect_p2_0027,26,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.7738095238095238,0.87248322147651,0.031818181818181815,0.9894747773223024,454.0,440.0,1.5045047998428345,0.6113756895065308
rect_p2_0028,27,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.6710280373831776,0.8031319910514542,0.36507936507936506,0.8097366776738179,516.0,378.0,1.8908740282058716,0.6046209931373596
rect_p2_0029,28,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.8178438661710037,0.8997955010224948,0.14772727272727273,0.9958928000220687,450.0,528.0,0.946955680847168,0.5851399302482605
rect_p2_0031,30,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.7384341637010676,0.849539406345957,0.13904761904761906,2.2490774381017027,452.0,525.0,2.4557924270629883,0.6381775736808777
rect_p2_0032,31,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.7743589743589744,0.8728323699421965,0.03409090909090909,1.6672086777264878,510.0,528.0,1.9139639139175415,0.6177339553833008
rect_p2_0033,32,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.7036450079239303,0.826046511627907,0.05253623188405797,2.991332852368175,523.0,552.0,1.6997160911560059,0.5948396921157837
rect_p2_0034,33,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.6377551020408163,0.778816199376947,0.35384615384615387,2.0444173319704757,504.0,780.0,2.6947433948516846,0.6457026600837708
rect_p2_0036,35,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.5723404255319149,0.7280108254397835,0.14786967418546365,3.4680648852700138,340.0,399.0,0.6351156830787659,0.4901655614376068
rect_p2_0037,36,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.7244897959183674,0.8402366863905325,0.2474074074074074,1.2611167891321962,508.0,675.0,1.2834972143173218,0.5760927796363831
rect_p2_0038,37,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.5625,0.72,0.4375,0.6590222679502314,378.0,672.0,1.509114384651184,0.6551250219345093
rect_p2_0039,38,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.6145610278372591,0.7612732095490716,0.2626728110599078,1.851427342113372,320.0,434.0,1.3916285037994385,0.6831004023551941
rect_p2_0042,41,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.7371794871794872,0.8487084870848709,0.1750841750841751,2.3848866426329525,490.0,594.0,1.0161492824554443,0.6082939505577087
rect_p2_0044,43,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.6824561403508772,0.8112617309697602,0.3175438596491228,1.7591518097583407,389.0,570.0,1.8886475563049316,0.6557554602622986
rect_p2_0046,45,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.6274787535410765,0.7711053089643168,0.3678977272727273,3.1350243587705315,445.0,704.0,1.6352782249450684,0.5993673801422119
rect_p2_0048,47,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.6125356125356125,0.7597173144876325,0.12781954887218044,2.5117966124314712,300.0,266.0,0.7053482532501221,0.5648829340934753
rect_p2_0051,50,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.747457627118644,0.8554801163918526,0.04734848484848485,2.066233398954727,503.0,528.0,2.292355537414551,0.6261863112449646
rect_p2_0052,51,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.7077131258457375,0.8288431061806656,0.28532608695652173,2.347581603107701,526.0,736.0,1.493634581565857,0.6664445400238037
rect_p2_0053,52,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.6479690522243714,0.7863849765258216,0.32941176470588235,2.2701152560030433,342.0,510.0,1.252685546875,0.5685139298439026
rect_p2_0054,53,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.7686084142394822,0.869167429094236,0.20525451559934318,2.168950165251141,484.0,609.0,2.8202106952667236,0.6448352932929993
rect_p2_0055,54,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.8382687927107062,0.9120198265179678,0.1011764705882353,1.414603589014918,382.0,425.0,1.9203933477401733,0.6585578918457031
rect_p2_0056,55,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.7612781954887218,0.8644610458911419,0.12471655328798185,1.496967321036014,496.0,441.0,1.0528024435043335,0.6014341711997986
rect_p2_0057,56,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.819078947368421,0.9005424954792043,0.1505016722408027,0.7257481852687293,508.0,598.0,2.7456538677215576,0.6387810111045837
rect_p2_0058,57,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.7360703812316716,0.847972972972973,0.23809523809523808,1.346677917080961,512.0,672.0,1.3956938982009888,0.5726959109306335
rect_p2_0060,59,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.7532188841201717,0.8592411260709915,0.2631578947368421,1.4740643437255045,456.0,361.0,1.06533944606781,0.6231276988983154
rect_p2_0061,60,train,rectangular_notch,pre_refine,50,0.003,0.01,0.0,0.660245183887916,0.7953586497890295,0.16933638443935928,1.4128358906419844,511.0,437.0,1.7330174446105957,0.6292487382888794
