gallery_bucket,rank,sample_id,sample_index,split,shape_type,representation_target,target_role,diagnosis,failure_reason,baseline_profile_rmse_m,refined_profile_rmse_m,oracle_profile_rmse_m,profile_rmse_improvement_m,baseline_Dice,refined_Dice,oracle_Dice,Dice_improvement,baseline_IoU,refined_IoU,oracle_IoU,IoU_improvement,feature_residual_before,feature_residual_after,feature_residual_improvement,suitability_flag,preview_path,preview_generated,preview_note
worst_5_remaining_failures,1,surf_shape_073_elongated_crack_like_surface_defect,72,train,elongated_crack_like_surface_defect,polygon_or_contour,refinement_target,rbc_representable_but_model_fail,rbc_representable_but_model_fail,0.000709653200101005,0.000623327736516512,4.551822443269681e-05,8.6325463584493e-05,0.34824902723735407,0.5136298421807748,0.9138381201044387,0.16538081494342072,0.21083627797408716,0.34555984555984554,0.8413461538461539,0.13472356758575837,20.37346880827859,0.5451109803137312,19.82835782796486,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\worst_5_remaining_failures_01_surf_shape_073_elongated_crack_like_surface_defect.png,True,preview generated
worst_5_remaining_failures,2,surf_shape_031_flat_bottom_pit,30,train,flat_bottom_pit,polygon_or_contour,refinement_target,rbc_representable_but_model_fail,profile_rmse_not_improved|dice_not_improved|er_like_not_improved,0.00036174996843863085,0.0005129718240420332,0.00015282541025000033,-0.0001512218556034023,0.6200657894736842,0.6033898305084746,0.9556400506970849,-0.01667595896520957,0.44934445768772346,0.4320388349514563,0.9150485436893204,-0.01730562273626718,11.177255175740962,0.3199870241717534,10.857268151569208,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\worst_5_remaining_failures_02_surf_shape_031_flat_bottom_pit.png,True,preview generated
worst_5_remaining_failures,3,surf_shape_083_elongated_crack_like_surface_defect,82,val,elongated_crack_like_surface_defect,polygon_or_contour,refinement_target,rbc_representable_but_model_fail,profile_rmse_not_improved|dice_not_improved|er_like_not_improved,0.0004033049781607859,0.0004884613931204387,9.162499635709624e-05,-8.515641495965282e-05,0.5016216216216216,0.475177304964539,0.9228130360205832,-0.02644431665708258,0.3347763347763348,0.3116279069767442,0.856687898089172,-0.023148427799590587,9.408939096457328,0.3282616786906116,9.080677417766715,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\worst_5_remaining_failures_03_surf_shape_083_elongated_crack_like_surface_defect.png,True,preview generated
worst_5_remaining_failures,4,surf_shape_047_sharp_wall_boxy_corrosion,46,train,sharp_wall_boxy_corrosion,polygon_or_contour,refinement_target,rbc_representable_but_model_fail,profile_rmse_not_improved|er_like_not_improved,0.00043140673289178704,0.00048108724581781895,0.00021113086825279086,-4.9680512926031915e-05,0.5903614457831325,0.7159090909090909,0.9133192389006343,0.1255476451259584,0.4188034188034188,0.5575221238938053,0.8404669260700389,0.13871870509038647,60.73885975490522,0.44578128329217764,60.29307847161304,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\worst_5_remaining_failures_04_surf_shape_047_sharp_wall_boxy_corrosion.png,True,preview generated
worst_5_remaining_failures,5,surf_shape_079_elongated_crack_like_surface_defect,78,train,elongated_crack_like_surface_defect,polygon_or_contour,refinement_target,rbc_representable_but_model_fail,rbc_representable_but_model_fail,0.0004752822346749575,0.00047116741135781135,0.0001622184790698734,4.1148233171461705e-06,0.4624017957351291,0.4634146341463415,0.9193245778611632,0.0010128384112124134,0.3007299270072993,0.30158730158730157,0.8506944444444444,0.0008573745800022903,9.589096674314122,0.3001422702855584,9.288954404028564,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\worst_5_remaining_failures_05_surf_shape_079_elongated_crack_like_surface_defect.png,True,preview generated
all_degraded_target_rows,1,surf_shape_046_sharp_wall_boxy_corrosion,45,train,sharp_wall_boxy_corrosion,polygon_or_contour,refinement_target,rbc_representable_but_model_fail,profile_rmse_not_improved|er_like_not_improved,0.00023057969025119324,0.0004067592747346167,0.00012830843930873774,-0.00017617958448342346,0.6771653543307087,0.7643312101910829,0.91875,0.08716585586037418,0.5119047619047619,0.6185567010309279,0.8497109826589595,0.106651939126166,3.5670768194037907,0.28472881338320205,3.2823480060205887,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\all_degraded_target_rows_01_surf_shape_046_sharp_wall_boxy_corrosion.png,True,preview generated
all_degraded_target_rows,2,surf_shape_031_flat_bottom_pit,30,train,flat_bottom_pit,polygon_or_contour,refinement_target,rbc_representable_but_model_fail,profile_rmse_not_improved|dice_not_improved|er_like_not_improved,0.00036174996843863085,0.0005129718240420332,0.00015282541025000033,-0.0001512218556034023,0.6200657894736842,0.6033898305084746,0.9556400506970849,-0.01667595896520957,0.44934445768772346,0.4320388349514563,0.9150485436893204,-0.01730562273626718,11.177255175740962,0.3199870241717534,10.857268151569208,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\all_degraded_target_rows_02_surf_shape_031_flat_bottom_pit.png,True,preview generated
all_degraded_target_rows,3,surf_shape_083_elongated_crack_like_surface_defect,82,val,elongated_crack_like_surface_defect,polygon_or_contour,refinement_target,rbc_representable_but_model_fail,profile_rmse_not_improved|dice_not_improved|er_like_not_improved,0.0004033049781607859,0.0004884613931204387,9.162499635709624e-05,-8.515641495965282e-05,0.5016216216216216,0.475177304964539,0.9228130360205832,-0.02644431665708258,0.3347763347763348,0.3116279069767442,0.856687898089172,-0.023148427799590587,9.408939096457328,0.3282616786906116,9.080677417766715,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\all_degraded_target_rows_03_surf_shape_083_elongated_crack_like_surface_defect.png,True,preview generated
all_degraded_target_rows,4,surf_shape_015_rbc_like_smooth_pit,14,val,rbc_like_smooth_pit,six_param_rbc,refinement_target,rbc_representable_but_model_fail,profile_rmse_not_improved|dice_not_improved|er_like_not_improved,0.0002163964454773409,0.00029815023995123776,6.759837471551316e-05,-8.175379447389685e-05,0.6773547094188377,0.3671497584541063,0.9615384615384616,-0.3102049509647314,0.5121212121212121,0.22485207100591717,0.9259259259259259,-0.2872691411152949,16.054804047959607,0.5333837258034618,15.521420322156144,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\all_degraded_target_rows_04_surf_shape_015_rbc_like_smooth_pit.png,True,preview generated
all_degraded_target_rows,5,surf_shape_078_elongated_crack_like_surface_defect,77,train,elongated_crack_like_surface_defect,polygon_or_contour,refinement_target,rbc_representable_but_model_fail,profile_rmse_not_improved|er_like_not_improved,0.0003507134442320541,0.00040534449599889617,0.00012683441708348883,-5.463105176684209e-05,0.562429696287964,0.7975646879756468,0.9261992619926199,0.23513499168768281,0.39123630672926446,0.6632911392405063,0.8625429553264605,0.27205483251124185,8.538172484915778,0.4219895228881283,8.11618296202765,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\all_degraded_target_rows_05_surf_shape_078_elongated_crack_like_surface_defect.png,True,preview generated
