seed,group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean,pred_connected_component_count_mean,predicted_component_count_correct_rate,predicted_component_count_is_1_rate,predicted_component_count_is_2_rate,missed_component_rate,merged_component_rate,split_component_rate,component_recall_mean
all,component_type_combination=polygon,train,402,0.7096830631212651,0.8276736767605447,0.14146336541196497,2.4260643059092777,376.69154228855723,387.6194029850746,0,0.23950028721595285,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,component_type_combination=rectangular_notch,train,402,0.7376830529881027,0.8467071926417944,0.1568887220700746,2.082756824984509,465.99004975124376,526.5298507462686,0,0.21923511920135413,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,component_type_combination=rectangular_notch+polygon,train,96,0.6565387528229152,0.7904200366297074,0.12822444696730337,3.5512370012998162,674.1041666666666,668.78125,0,0.33160831313580275,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
all,component_type_combination=rectangular_notch+rectangular_notch,train,96,0.6528325210278677,0.7884772241858798,0.13703002726119182,3.983060986630781,677.40625,732.09375,0,0.3344931712684532,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
all,component_type_combination=rectangular_notch+rotated_rect,train,96,0.6670435354726818,0.7986200223237462,0.12815742362663274,3.3968361425563187,680.0729166666666,755.6875,0,0.31884434369082254,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
all,component_type_combination=rotated_rect,train,402,0.6855750002642689,0.8115742122808716,0.17133982674046522,2.3683097372186763,312.43283582089555,293.4776119402985,0,0.255276239518799,1.0024875621890548,0.9975124378109452,0.9975124378109452,0.0024875621890547263,0.0,0.0,0.0024875621890547263,1.0
all,component_type_combination=rotated_rect+polygon,train,96,0.6474642036124104,0.7838331794321758,0.12838666737076895,3.687975374160176,665.0416666666666,663.96875,0,0.34114829869940877,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
all,component_type_combination=rotated_rect+rotated_rect,train,96,0.6471729191553689,0.783931611635936,0.1306577113113869,3.2199466108150863,685.09375,750.375,0,0.3406714368611574,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
all,component_type_combination=polygon,val,99,0.6589247525483626,0.7913371336345545,0.21237511993193658,2.985580052368076,366.09090909090907,390.6060606060606,0,0.28502311504850486,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,component_type_combination=rectangular_notch,val,99,0.6831398611291652,0.8092534425692479,0.22564894924154308,2.5121781668139507,349.64646464646466,342.6060606060606,0,0.2647999589792406,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,component_type_combination=rectangular_notch+polygon,val,24,0.6104266550492928,0.7537346237721073,0.11588415433091377,4.780407032190013,681.9583333333334,702.125,0,0.39999003397921723,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
all,component_type_combination=rectangular_notch+rectangular_notch,val,24,0.5980073337070414,0.7460517267934638,0.13237836658193022,4.705492493937332,676.5833333333334,759.5,0,0.40471971904238063,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
all,component_type_combination=rectangular_notch+rotated_rect,val,24,0.630749620756589,0.7713463579229449,0.1200803754714223,3.3379921473274194,672.5,727.5,0,0.3781418055295944,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
