split,defect_type,sample_count,initial_forward_nrmse_mean,refined_forward_nrmse_mean,forward_nrmse_reduction_mean,delta_iou_mean,delta_dice_mean,delta_area_error_mean,angle_error_delta_mean,parameter_drift_norm_mean,forward_nrmse_vs_1_minus_initial_iou_corr,forward_nrmse_vs_1_minus_refined_iou_corr,forward_reduction_vs_iou_delta_corr,forward_reduction_vs_dice_delta_corr,forward_reduction_vs_area_delta_corr,forward_reduction_vs_drift_corr,residual_down_mask_up,residual_down_mask_down,residual_up_mask_up,residual_up_mask_down,high_forward_reduction_high_geometry_drift,high_forward_reduction_angle_worse
train,overall,268,0.47489186550236545,0.4161042620826329,0.058787603419732534,-0.004639082528748979,-0.003530077082670221,-0.007978906681799873,0.08577259111153746,0.41337588749026866,-0.0530823843967797,0.0020074371739867707,-0.18544347487525673,-0.20312379458281493,0.20728800953162896,0.2575922289149168,128,140,0,0,0,65
train,rectangular_notch,134,0.5110552357099862,0.4616432889148617,0.04941194679512459,-0.007889004696128318,-0.005776272202685108,0.007760942073654399,nan,0.4442937418074862,0.0401389061099136,0.11024643205015176,-0.2683555151696801,-0.29910309437309857,0.4510705034352118,0.548401348962718,60,74,0,0,0,0
train,rotated_rect,134,0.43872849529474456,0.3705652352504041,0.06816326004434048,-0.0013891603613696419,-0.0012838819626553343,-0.023718755437254144,0.08577259111153746,0.38245803317305116,-0.15999456898262404,-0.13310779728707756,-0.15135183443288946,-0.158611959391321,0.10674141083811485,0.36855312533769813,68,66,0,0,0,65
val,overall,66,0.4653650291062371,0.4086793639408314,0.056685665165405776,-0.002170492888826696,-0.0018807385670913063,-0.012978475076805154,1.3291632210401834,0.3997323681854168,-0.12855595556993668,-0.052720469056185965,-0.1598865438967738,-0.18099336401636265,0.08638797876917677,0.19754785827384186,34,32,0,0,0,17
val,rectangular_notch,33,0.5371059347833239,0.4769280198269502,0.060177914956373715,-0.014734178791371195,-0.011307761279264287,0.019311350438387442,nan,0.42913519287578,-0.17270138484773587,-0.18650002648131378,-0.12347811878463541,-0.14414303560521335,0.03964988919807698,0.17164717187086556,11,22,0,0,0,0
val,rotated_rect,33,0.3936241234291504,0.3404307080547125,0.05319341537443786,0.010393193013717801,0.007546284145081674,-0.045268300591997754,1.3291632210401834,0.37032954349505365,0.0883260448840691,0.2615007393367263,-0.1952672761824588,-0.21911172660025513,0.08076195780163072,0.20194196137144627,23,10,0,0,0,17
test,overall,66,0.4632480058289897,0.4048733052829213,0.05837470054606844,-0.007916196236003025,-0.005891680656512716,-0.019171444476426186,-0.1660920405652675,0.4062043727039329,0.12840305602987492,0.12148820478078766,-0.039799601948119795,-0.07341110342268502,-0.07368870616250062,0.13760456675173874,27,39,0,0,0,15
test,rectangular_notch,33,0.4886262696408151,0.43389768412600166,0.05472858551481336,-0.02145895929022697,-0.016024700994205446,0.02422595874797847,nan,0.4183794043679351,0.17289921973335978,0.17367111231210325,-0.38132500603330644,-0.4283635807244202,0.1909198819297104,0.11727263128191295,9,24,0,0,0,0
test,rotated_rect,33,0.4378697420171644,0.3758489264398408,0.0620208155773235,0.005626566818220921,0.004241339681180015,-0.06256884770083083,-0.1660920405652675,0.39402934103993065,0.08454412449910935,-0.023252942956765468,0.5688867873540184,0.5650967924696565,-0.45898513557212084,0.22326922861951717,18,15,0,0,0,15
