candidate,epoch,train_loss,train_bce_loss,train_dice_loss,train_type_loss,train_center_loss,train_size_loss,train_depth_loss,train_angle_loss,train_residual_l2_loss,best_val_threshold,val_iou,val_dice,val_area_error,val_type_accuracy,val_angle_mae_deg,val_score
shared_sincos_softmix,1,0.7887429647585925,0.07938888811451547,0.3363838791847229,0.6958624983535093,0.46603482435731325,0.4621615681578131,0.45031814978403206,0.024660697946434513,0.0,0.8,0.52143698194461,0.6781231975650901,0.21210655714351467,0.5,18.306658005467067,0.982533648349784
shared_sincos_softmix,2,0.7844345254056594,0.07933059838764808,0.33418944127419414,0.6947346855612362,0.46293603146777434,0.46188994014964385,0.437152766786954,0.019125293899217948,0.0,0.8,0.5159988107964074,0.67371617837605,0.21036106085711967,0.5,19.820285497051174,0.9698930718241842
shared_sincos_softmix,3,0.7841131371610305,0.07931790051653105,0.3344470017096576,0.6941915610257317,0.4658283516764641,0.4552496093160966,0.44117777619291754,0.018701592419186935,0.0,0.8,0.5201977611397659,0.6770912398479977,0.2099937230033973,0.5,19.40455691983147,0.979081607224872
shared_sincos_softmix,4,0.7874794427086326,0.08004246334380963,0.33553992474780364,0.6946544401785907,0.47083910160204945,0.46013158209183636,0.4399089839528589,0.01859653784948237,0.0,0.8,0.5189943065501375,0.6760265840933274,0.20413347103438556,0.5,17.45730333961089,0.9885155095902465
shared_sincos_softmix,5,0.7842916530721328,0.07894059139139512,0.3346381415339077,0.6936119724722469,0.4681500915218802,0.45356811144772696,0.44473347900544896,0.02134903721675715,0.0,0.8,0.5213322845495469,0.6780487193022123,0.2121577992894088,0.5,19.175987097090218,0.9796952432710797
shared_sincos_softmix,6,0.7854953408241272,0.07950500683749423,0.33514778929598193,0.694321392213597,0.46616307514555316,0.4583813241299461,0.4392059945008334,0.019041574875111964,0.0,0.8,0.52143698194461,0.6781231975650901,0.21210655714351467,0.5,18.856942503891478,0.9808827948545108
shared_sincos_softmix,7,0.7863777963554158,0.07979657774900689,0.33433813908520865,0.6957155413487378,0.46691831069834094,0.46515011173837323,0.4372260846635875,0.018568239527453175,0.0,0.8,0.52143698194461,0.6781231975650901,0.21210655714351467,0.5,18.919388269578967,0.9806954575574484
shared_sincos_softmix,8,0.7843244180959814,0.07924534939229488,0.33430567559073954,0.693760509000105,0.4654998498804429,0.4575720823862973,0.44608303597744775,0.01880288914339069,0.0,0.8,0.52143698194461,0.6781231975650901,0.21210655714351467,0.5,18.872334458886257,0.9808366189895265
shared_sincos_softmix,9,0.7866013961679795,0.07964324271854233,0.3350736866979038,0.6940035732353435,0.4704679224420996,0.4613837398150388,0.4410710442153847,0.018520853067885208,0.0,0.8,0.5184233779263123,0.6756822598363008,0.20779416125756056,0.5,19.7943729365129,0.9769283576955138
shared_sincos_softmix,10,0.7861091249129352,0.07937863348599743,0.33541618024601655,0.6936766505241394,0.4699057524695116,0.4577815690461327,0.4434157993425341,0.01887411725200603,0.0,0.8,0.52143698194461,0.6781231975650901,0.21210655714351467,0.5,18.606656214948213,0.9816336537213406
