target_type,key,current_count,target_count,needed_success
split,train,76,160,84
split,val,18,40,22
split,test,18,40,22
curvature_template,sharp,22,48,26
curvature_template,round,23,48,25
curvature_template,boxy,23,48,25
curvature_template,LD_dominant,24,48,24
curvature_template,WD_dominant,20,48,28
depth_bin,shallow,41,80,39
depth_bin,medium,36,80,44
depth_bin,deep,35,80,45
aspect_bin,narrow,22,60,38
aspect_bin,compact,30,60,30
aspect_bin,balanced,30,60,30
aspect_bin,wide,30,60,30
split_curvature,train/sharp,17,32,15
split_curvature,train/round,19,32,13
split_curvature,train/boxy,18,32,14
split_curvature,train/LD_dominant,12,32,20
split_curvature,train/WD_dominant,10,32,22
split_curvature,val/sharp,2,8,6
split_curvature,val/round,2,8,6
split_curvature,val/boxy,3,8,5
split_curvature,val/LD_dominant,6,8,2
split_curvature,val/WD_dominant,5,8,3
split_curvature,test/sharp,3,8,5
split_curvature,test/round,2,8,6
split_curvature,test/boxy,2,8,6
split_curvature,test/LD_dominant,6,8,2
split_curvature,test/WD_dominant,5,8,3
coverage_cell_low_count,sharp/medium/narrow,1,2,1
coverage_cell_low_count,sharp/deep/narrow,0,2,2
coverage_cell_low_count,round/deep/narrow,1,2,1
coverage_cell_low_count,boxy/medium/narrow,1,2,1
coverage_cell_low_count,WD_dominant/medium/narrow,0,2,2
coverage_cell_low_count,WD_dominant/deep/narrow,1,2,1
coverage_cell_low_count,WD_dominant/deep/compact,1,2,1
